,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
0,Patrick van Aanholt,nl NED,DF,Sunderland,Premier League,23.0,1990.0,25.6,4.0,0.0,,21.0,,,,,,,,
1,Rolando Aarons,eng ENG,MF,Newcastle Utd,Premier League,18.0,1995.0,1.5,1.0,0.0,,1.0,,,,,,,,
2,Ignazio Abate,it ITA,"DF,MF",Milan,Serie A,27.0,1986.0,20.9,5.0,0.0,,25.0,,,,,,,,
3,Christian Abbiati,it ITA,GK,Milan,Serie A,37.0,1977.0,10.1,0.0,0.0,,0.0,,,,,,,,
4,Kassim Abdallah,km COM,DF,Evian,Ligue 1,27.0,1987.0,28.7,5.0,1.0,,16.0,,,,,,,,
5,Aymen Abdennour,tn TUN,DF,Monaco,Ligue 1,24.0,1989.0,16.9,2.0,1.0,,10.0,,,,,,,,
6,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,20.0,1994.0,16.9,6.0,0.0,,32.0,,,,,,,,
7,Mehdi Abeid,dz ALG,MF,Newcastle Utd,Premier League,21.0,1992.0,7.4,0.0,0.0,,12.0,,,,,,,,
8,Vincent Aboubakar,cm CMR,FW,Lorient,Ligue 1,22.0,1992.0,2.0,1.0,0.0,,3.0,,,,,,,,
9,David Abraham,ar ARG,DF,Hoffenheim,Bundesliga,28.0,1986.0,9.9,3.0,0.0,,10.0,,,,,,,,
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,26.0,1988.0,32.0,8.0,1.0,,19.0,,,,,,,,
11,Karim Achahbar,ma MAR,FW,Guingamp,Ligue 1,18.0,1996.0,0.2,0.0,0.0,,0.0,,,,,,,,
12,Afriyie Acquah,gh GHA,MF,Sampdoria,Serie A,22.0,1992.0,7.9,4.0,1.0,,21.0,,,,,,,,
13,Afriyie Acquah,gh GHA,MF,Parma,Serie A,22.0,1992.0,12.4,7.0,1.0,,32.0,,,,,,,,
14,Charlie Adam,sct SCO,MF,Stoke City,Premier League,28.0,1985.0,16.8,5.0,0.0,,37.0,,,,,,,,
15,Emmanuel Adebayor,tg TOG,FW,Tottenham,Premier League,30.0,1984.0,9.0,1.0,0.0,,13.0,,,,,,,,
16,Jordan Adéoti,bj BEN,"DF,MF",Caen,Ligue 1,25.0,1989.0,19.4,5.0,0.0,,38.0,,,,,,,,
17,René Adler,de GER,GK,Hamburger SV,Bundesliga,29.0,1985.0,11.8,1.0,0.0,,0.0,,,,,,,,
18,Issam El Adoua,ma MAR,DF,Levante,La Liga,27.0,1986.0,3.2,0.0,0.0,,3.0,,,,,,,,
19,Adrián,es ESP,GK,West Ham,Premier League,27.0,1987.0,37.7,3.0,1.0,,,,,,,,,,
