,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
0,Patrick van Aanholt,nl NED,DF,Sunderland,Premier League,24.0,1990.0,33.0,2970.0,90.0,86.8,33.0,33.0,,33.0,0.0,,4.0,1.03,41.0,56.0,-15.0,-0.45,-0.65
1,Rolando Aarons,eng ENG,"DF,MF",Newcastle Utd,Premier League,19.0,1995.0,10.0,381.0,38.0,11.1,4.2,3.0,,2.0,7.0,,6.0,0.7,5.0,11.0,-6.0,-1.42,-0.97
2,Ignazio Abate,it ITA,DF,Milan,Serie A,28.0,1986.0,27.0,2248.0,83.0,65.7,25.0,27.0,,23.0,0.0,,3.0,1.52,31.0,24.0,7.0,0.28,0.36
3,Christian Abbiati,it ITA,GK,Milan,Serie A,38.0,1977.0,1.0,72.0,72.0,2.1,0.8,0.0,,0.0,1.0,,35.0,1.0,0.0,0.0,0.0,0.0,-0.16
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,25.0,1989.0,22.0,1851.0,84.0,54.1,20.6,22.0,84.0,20.0,0.0,,3.0,1.05,19.0,24.0,-5.0,-0.24,-0.42
5,Almen Abdi,ch SUI,MF,Watford,Premier League,28.0,1986.0,32.0,1974.0,62.0,57.7,21.9,25.0,,5.0,7.0,,4.0,1.22,29.0,33.0,-4.0,-0.18,0.19
6,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,21.0,1994.0,12.0,579.0,48.0,16.9,6.4,6.0,,1.0,6.0,,11.0,1.58,12.0,9.0,3.0,0.47,0.91
7,Nura Abdullahi,ng NGA,DF,Roma,Serie A,17.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,6.0,,,,,,
8,Federico Abelli,it ITA,MF,Sassuolo,Serie A,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,
9,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,29.0,1986.0,31.0,2547.0,82.0,83.2,28.3,28.0,,25.0,3.0,,1.0,1.06,27.0,43.0,-16.0,-0.57,-0.21
10,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,17.0,1997.0,2.0,55.0,28.0,1.6,0.6,0.0,,0.0,2.0,,0.0,1.0,1.0,2.0,-1.0,-1.64,-1.82
11,Joel Abu Hanna,il ISR,DF,Leverkusen,Bundesliga,17.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
12,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,27.0,1988.0,36.0,3240.0,90.0,94.7,36.0,36.0,,36.0,0.0,,0.0,1.67,48.0,38.0,10.0,0.28,0.78
13,Robert Acquafresca,it ITA,FW,Bologna,Serie A,27.0,1987.0,6.0,208.0,35.0,6.1,2.3,2.0,,0.0,4.0,,20.0,0.0,1.0,8.0,-7.0,-3.03,-2.89
14,Afriyie Acquah,gh GHA,MF,Torino,Serie A,23.0,1992.0,29.0,1888.0,65.0,55.2,21.0,22.0,,12.0,7.0,,2.0,1.21,31.0,28.0,3.0,0.14,0.5
15,Charlie Adam,sct SCO,MF,Stoke City,Premier League,29.0,1985.0,22.0,1044.0,47.0,30.5,11.6,12.0,,4.0,10.0,,7.0,1.23,9.0,8.0,1.0,0.09,0.65
16,Antonio Adán,es ESP,GK,Betis,La Liga,28.0,1987.0,36.0,3212.0,89.0,93.9,35.7,36.0,89.0,35.0,0.0,,0.0,1.14,31.0,50.0,-19.0,-0.53,-0.97
17,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,Premier League,31.0,1984.0,12.0,619.0,52.0,18.1,6.9,7.0,,2.0,5.0,,1.0,0.33,5.0,15.0,-10.0,-1.45,-1.39
18,Jordan Adéoti,bj BEN,"MF,DF",Caen,Ligue 1,26.0,1989.0,32.0,1718.0,54.0,50.2,19.1,16.0,,13.0,16.0,,5.0,1.44,18.0,28.0,-10.0,-0.52,-0.37
19,Claud Adjapong,it ITA,"DF,MF",Sassuolo,Serie A,17.0,1998.0,2.0,20.0,10.0,0.6,0.2,0.0,,0.0,2.0,,8.0,0.0,0.0,1.0,-1.0,-4.5,-4.76
20,René Adler,de GER,GK,Hamburger SV,Bundesliga,30.0,1985.0,24.0,2071.0,86.0,67.7,23.0,24.0,,22.0,0.0,,3.0,1.13,29.0,33.0,-4.0,-0.17,0.01
21,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,Serie A,21.0,1993.0,28.0,1904.0,68.0,55.7,21.2,21.0,,15.0,7.0,,8.0,1.21,20.0,31.0,-11.0,-0.52,0.31
22,Adrián,es ESP,GK,West Ham,Premier League,28.0,1987.0,32.0,2880.0,90.0,84.2,32.0,32.0,,31.0,0.0,,0.0,1.66,52.0,39.0,13.0,0.41,0.24
23,Adriano,br BRA,DF,Barcelona,La Liga,30.0,1984.0,8.0,434.0,54.0,12.7,4.8,4.0,85.0,2.0,4.0,23.0,15.0,3.0,17.0,4.0,13.0,2.7,0.59
24,Luiz Adriano,br BRA,FW,Milan,Serie A,28.0,1987.0,26.0,1194.0,46.0,34.9,13.3,12.0,,6.0,14.0,,3.0,1.23,15.0,20.0,-5.0,-0.38,-0.82
26,Adryan,br BRA,"MF,FW",Nantes,Ligue 1,20.0,1994.0,26.0,1423.0,55.0,41.6,15.8,19.0,,2.0,7.0,,8.0,1.42,12.0,17.0,-5.0,-0.32,-0.05
27,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,34.0,1981.0,34.0,2776.0,82.0,81.2,30.8,30.0,89.0,25.0,4.0,30.0,0.0,1.71,52.0,35.0,17.0,0.55,1.11
28,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,29.0,1986.0,31.0,2102.0,68.0,61.5,23.4,24.0,,13.0,7.0,,1.0,1.48,29.0,35.0,-6.0,-0.26,0.29
29,Benik Afobe,cd COD,FW,Bournemouth,Premier League,22.0,1993.0,15.0,930.0,62.0,27.2,10.3,12.0,,2.0,3.0,,0.0,1.2,14.0,17.0,-3.0,-0.29,0.4
30,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,37.0,1978.0,11.0,901.0,82.0,26.3,10.0,11.0,,9.0,0.0,,20.0,1.18,12.0,13.0,-1.0,-0.1,0.33
31,Gabby Agbonlahor,eng ENG,FW,Aston Villa,Premier League,28.0,1986.0,15.0,1031.0,69.0,30.1,11.5,13.0,,6.0,2.0,,0.0,0.47,8.0,21.0,-13.0,-1.13,0.22
32,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,28.0,1987.0,16.0,1170.0,73.0,34.2,13.0,14.0,81.0,8.0,2.0,19.0,2.0,0.94,15.0,18.0,-3.0,-0.23,-0.23
33,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,27.0,1988.0,30.0,2360.0,79.0,69.0,26.2,29.0,,13.0,1.0,,2.0,1.73,46.0,30.0,16.0,0.61,-0.58
34,Rodrigo Aguirre,uy URU,FW,Udinese,Serie A,20.0,1994.0,10.0,340.0,34.0,9.9,3.8,3.0,,0.0,7.0,,10.0,1.0,4.0,7.0,-3.0,-0.79,-0.15
35,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,24.0,1990.0,33.0,2661.0,81.0,77.8,29.6,30.0,,25.0,3.0,,1.0,1.15,31.0,48.0,-17.0,-0.57,0.37
36,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,23.0,1991.0,6.0,540.0,90.0,15.8,6.0,6.0,,6.0,0.0,,8.0,0.33,4.0,15.0,-11.0,-1.83,-1.86
37,Stefan Aigner,de GER,"MF,FW",Eint Frankfurt,Bundesliga,27.0,1987.0,31.0,2394.0,77.0,78.2,26.6,27.0,,13.0,4.0,,1.0,1.0,22.0,39.0,-17.0,-0.64,-0.5
38,Ola Aina,ng NGA,"DF,MF",Chelsea,Premier League,18.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
39,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,La Liga,22.0,1993.0,18.0,1060.0,59.0,31.0,11.8,11.0,88.0,10.0,7.0,14.0,11.0,1.28,16.0,23.0,-7.0,-0.59,-0.02
40,Albian Ajeti,ch SUI,FW,Augsburg,Bundesliga,18.0,1997.0,1.0,37.0,37.0,1.2,0.4,0.0,,0.0,1.0,,5.0,1.0,2.0,0.0,2.0,4.86,5.22
41,Arlind Ajeti,al ALB,DF,Frosinone,Serie A,21.0,1993.0,16.0,1218.0,76.0,35.6,13.5,15.0,,13.0,1.0,,5.0,0.88,13.0,22.0,-9.0,-0.67,0.64
42,Nathan Aké,nl NED,DF,Watford,Premier League,20.0,1995.0,24.0,1875.0,78.0,54.8,20.8,20.0,,18.0,4.0,,3.0,1.38,25.0,24.0,1.0,0.05,0.69
43,Ager Aketxe,es ESP,MF,Athletic Club,La Liga,21.0,1993.0,3.0,185.0,62.0,5.4,2.1,2.0,79.0,1.0,1.0,28.0,1.0,1.0,3.0,3.0,0.0,0.0,-0.36
44,Sergio Akieme,es ESP,DF,Rayo Vallecano,La Liga,17.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Toulouse,Ligue 1,22.0,1992.0,33.0,2555.0,77.0,74.7,28.4,29.0,,23.0,4.0,,2.0,1.0,31.0,48.0,-17.0,-0.6,-1.33
46,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,23.0,1992.0,30.0,2492.0,83.0,81.4,27.7,27.0,,26.0,3.0,,0.0,2.63,71.0,14.0,57.0,2.06,1.11
47,Fabrizio Alastra,it ITA,GK,Palermo,Serie A,17.0,1997.0,2.0,144.0,72.0,4.2,1.6,1.0,,1.0,1.0,,24.0,0.0,0.0,6.0,-6.0,-3.75,-3.17
48,Jordi Alba,es ESP,DF,Barcelona,La Liga,26.0,1989.0,31.0,2589.0,84.0,75.7,28.8,29.0,87.0,25.0,2.0,29.0,3.0,2.35,82.0,18.0,64.0,2.22,0.17
49,Raúl Albentosa,es ESP,DF,Málaga,La Liga,26.0,1988.0,29.0,2555.0,88.0,74.7,28.4,27.0,90.0,27.0,2.0,63.0,7.0,1.38,29.0,24.0,5.0,0.18,0.38
50,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,Serie A,24.0,1991.0,10.0,702.0,70.0,20.5,7.8,9.0,,2.0,1.0,,13.0,1.4,9.0,9.0,0.0,0.0,0.96
52,Luis Alberto,es ESP,"MF,FW",La Coruña,La Liga,22.0,1992.0,29.0,2098.0,72.0,61.3,23.3,25.0,79.0,13.0,4.0,29.0,3.0,1.0,30.0,40.0,-10.0,-0.43,-0.02
53,Raúl Albiol,es ESP,DF,Napoli,Serie A,29.0,1985.0,36.0,3240.0,90.0,94.7,36.0,36.0,,36.0,0.0,,0.0,2.11,73.0,31.0,42.0,1.17,-1.83
54,Miiko Albornoz,cl CHI,DF,Hannover 96,Bundesliga,24.0,1990.0,23.0,2069.0,90.0,67.6,23.0,23.0,,22.0,0.0,,5.0,0.91,25.0,38.0,-13.0,-0.57,1.07
55,Marc Albrighton,eng ENG,MF,Leicester City,Premier League,25.0,1989.0,38.0,2749.0,72.0,80.4,30.5,34.0,,12.0,4.0,,0.0,2.13,54.0,22.0,32.0,1.05,1.05
56,Paco Alcácer,es ESP,FW,Valencia,La Liga,21.0,1993.0,34.0,2419.0,71.0,70.7,26.9,25.0,87.0,18.0,9.0,28.0,1.0,1.24,38.0,36.0,2.0,0.07,0.43
57,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,24.0,1991.0,27.0,1643.0,61.0,53.7,18.3,16.0,,11.0,11.0,,4.0,2.67,43.0,9.0,34.0,1.86,0.02
58,Antolín Alcaraz,py PAR,DF,Las Palmas,La Liga,33.0,1982.0,6.0,540.0,90.0,15.8,6.0,6.0,90.0,6.0,0.0,,1.0,0.83,6.0,7.0,-1.0,-0.17,0.05
59,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,26.0,1989.0,38.0,3419.0,90.0,100.0,38.0,38.0,,37.0,0.0,,0.0,1.84,69.0,35.0,34.0,0.89,0.89
60,Alexis Alegue,fr FRA,MF,Nantes,Ligue 1,18.0,1996.0,3.0,97.0,32.0,2.8,1.1,1.0,,0.0,2.0,,2.0,1.0,2.0,2.0,0.0,0.0,0.3
61,Nauzet Alemán,es ESP,MF,Las Palmas,La Liga,30.0,1985.0,10.0,248.0,25.0,7.3,2.8,2.0,66.0,0.0,8.0,15.0,9.0,0.9,2.0,4.0,-2.0,-0.73,-0.56
62,Diego Alende,es ESP,DF,Celta Vigo,La Liga,17.0,1997.0,1.0,40.0,40.0,1.2,0.4,0.0,,0.0,1.0,40.0,5.0,1.0,0.0,1.0,-1.0,-2.25,-2.06
63,Romain Alessandrini,fr FRA,"MF,FW",Marseille,Ligue 1,26.0,1989.0,22.0,1246.0,57.0,36.4,13.8,16.0,,4.0,6.0,,2.0,1.41,24.0,17.0,7.0,0.51,0.55
64,Alex,br BRA,DF,Milan,Serie A,33.0,1982.0,25.0,2091.0,84.0,61.1,23.2,24.0,,21.0,1.0,,8.0,1.68,30.0,23.0,7.0,0.3,0.37
65,Edgar Alexandre,fr FRA,MF,Bastia,Ligue 1,18.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
66,Alexis,es ESP,DF,Getafe,La Liga,29.0,1985.0,15.0,1350.0,90.0,39.5,15.0,15.0,90.0,15.0,0.0,,0.0,1.0,17.0,25.0,-8.0,-0.53,0.42
