,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Patrick van Aanholt,nl NED,DF,Sunderland,Premier League,24.0,1990.0,33.0,33.0,2970.0,33.0,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.12,0.09,0.21,0.12,0.21
1,Rolando Aarons,eng ENG,"DF,MF",Newcastle Utd,Premier League,19.0,1995.0,10.0,3.0,381.0,4.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.24,0.24,0.47,0.24,0.47
2,Ignazio Abate,it ITA,DF,Milan,Serie A,28.0,1986.0,27.0,27.0,2248.0,25.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.08,0.04,0.08
3,Christian Abbiati,it ITA,GK,Milan,Serie A,38.0,1977.0,1.0,0.0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,25.0,1989.0,22.0,22.0,1851.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Almen Abdi,ch SUI,MF,Watford,Premier League,28.0,1986.0,32.0,25.0,1974.0,21.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09
6,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,21.0,1994.0,12.0,6.0,579.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.16,0.0,0.16,0.16,0.16
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,29.0,1986.0,31.0,28.0,2547.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,17.0,1997.0,2.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,27.0,1988.0,36.0,36.0,3240.0,36.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11
10,Robert Acquafresca,it ITA,FW,Bologna,Serie A,27.0,1987.0,6.0,2.0,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,23.0,1992.0,29.0,22.0,1888.0,21.0,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,0.1,0.14,0.24,0.1,0.24
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,29.0,1985.0,22.0,12.0,1044.0,11.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.09,0.09,0.17,0.09,0.17
13,Antonio Adán,es ESP,GK,Betis,La Liga,28.0,1987.0,36.0,36.0,3212.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,Premier League,31.0,1984.0,12.0,7.0,619.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.29,0.15,0.29
15,Jordan Adéoti,bj BEN,"MF,DF",Caen,Ligue 1,26.0,1989.0,32.0,16.0,1718.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
