,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adán,ESP,GK,Betis,es La Liga,29.0,1987.0,37.0,37.0,3330.0,37.0,62.0,1.68,182.0,125.0,68.1,10.0,8.0,19.0,10.0,27.0,5.0,4.0,1.0,0.0,20.0
1,René Adler,DEU,GK,Hamburger SV,de Bundesliga,31.0,1985.0,19.0,19.0,1710.0,19.0,38.0,2.0,87.0,49.0,59.8,5.0,4.0,10.0,5.0,26.3,6.0,3.0,1.0,2.0,25.0
2,Adrián,ESP,GK,West Ham,eng Premier League,29.0,1987.0,16.0,16.0,1440.0,16.0,25.0,1.56,78.0,53.0,70.5,5.0,4.0,7.0,6.0,37.5,3.0,2.0,0.0,1.0,0.0
3,Ryan Allsop,GBR,GK,Bournemouth,eng Premier League,24.0,1992.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Sergio Álvarez,ESP,GK,Celta Vigo,es La Liga,29.0,1986.0,26.0,26.0,2340.0,26.0,51.0,1.96,137.0,90.0,65.7,8.0,3.0,15.0,5.0,19.2,5.0,4.0,0.0,1.0,0.0
5,Diego Alves,BRA,GK,Valencia,es La Liga,31.0,1985.0,33.0,33.0,2970.0,33.0,56.0,1.7,134.0,87.0,61.9,11.0,7.0,15.0,6.0,18.2,11.0,5.0,4.0,2.0,44.4
6,Jon Ander Serantes,ESP,GK,Leganés,es La Liga,26.0,1989.0,13.0,13.0,1110.0,12.3,22.0,1.78,50.0,31.0,62.0,4.0,1.0,8.0,4.0,30.8,3.0,3.0,0.0,0.0,0.0
7,Miguel Ángel Moyá,ESP,GK,Atlético Madrid,es La Liga,32.0,1984.0,9.0,8.0,769.0,8.6,6.0,0.7,30.0,24.0,80.0,6.0,2.0,0.0,5.0,62.5,0.0,0.0,0.0,0.0,
8,Markel Areitio,ESP,GK,Eibar,es La Liga,19.0,1996.0,1.0,0.0,45.0,0.5,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
9,Alphonse Areola,FRA,GK,Paris S-G,fr Ligue 1,23.0,1993.0,15.0,14.0,1297.0,14.4,14.0,0.97,35.0,21.0,62.9,9.0,2.0,3.0,6.0,42.9,1.0,1.0,0.0,0.0,0.0
10,Kepa Arrizabalaga,ESP,GK,Athletic Club,es La Liga,21.0,1994.0,23.0,23.0,2016.0,22.4,22.0,0.98,62.0,40.0,64.5,14.0,3.0,6.0,8.0,34.8,0.0,0.0,0.0,0.0,
11,Sergio Asenjo,ESP,GK,Villarreal,es La Liga,27.0,1989.0,24.0,24.0,2105.0,23.4,15.0,0.64,80.0,67.0,82.5,10.0,9.0,5.0,11.0,45.8,2.0,1.0,1.0,0.0,50.0
