,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
0,Patrick van Aanholt,NLD,"DF,MF",Crystal Palace,eng Premier League,25.0,1990.0,7.9,1.0,0.0,0.0,3.0,2.0,0.0,22.0,14.0,5.0,0.0,0.0,0.0
1,Patrick van Aanholt,NLD,"DF,MF",Sunderland,eng Premier League,25.0,1990.0,19.8,2.0,0.0,0.0,11.0,15.0,6.0,56.0,46.0,28.0,0.0,1.0,0.0
2,Ignazio Abate,ITA,DF,Milan,it Serie A,29.0,1986.0,21.4,2.0,0.0,0.0,22.0,9.0,2.0,52.0,33.0,45.0,0.0,2.0,0.0
3,Yunis Abdelhamid,MAR,DF,Dijon,fr Ligue 1,28.0,1987.0,14.6,3.0,0.0,0.0,21.0,8.0,1.0,1.0,42.0,36.0,0.0,1.0,0.0
4,Aymen Abdennour,TUN,DF,Valencia,es La Liga,26.0,1989.0,9.8,4.0,0.0,0.0,16.0,4.0,0.0,2.0,34.0,11.0,0.0,2.0,0.0
5,Mehdi Abeid,DZA,MF,Dijon,fr Ligue 1,23.0,1992.0,26.4,8.0,0.0,0.0,56.0,41.0,0.0,56.0,46.0,67.0,0.0,0.0,0.0
6,David Abraham,ARG,DF,Eint Frankfurt,de Bundesliga,30.0,1986.0,28.7,5.0,1.0,0.0,25.0,28.0,1.0,3.0,90.0,32.0,0.0,0.0,0.0
7,Amir Abrashi,ALB,MF,Freiburg,de Bundesliga,26.0,1990.0,14.7,3.0,0.0,0.0,34.0,28.0,0.0,2.0,33.0,26.0,0.0,0.0,0.0
8,Francesco Acerbi,ITA,DF,Sassuolo,it Serie A,28.0,1988.0,38.0,2.0,0.0,0.0,15.0,39.0,3.0,6.0,103.0,47.0,0.0,1.0,0.0
9,Geoffrey Acheampong,GHA,MF,Bastia,fr Ligue 1,19.0,1997.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Maxwell Acosty,GHA,"MF,FW",Crotone,it Serie A,24.0,1991.0,4.2,2.0,0.0,0.0,10.0,9.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0
11,Afriyie Acquah,GHA,MF,Torino,it Serie A,24.0,1992.0,12.0,5.0,6.0,3.0,24.0,16.0,1.0,10.0,25.0,14.0,0.0,0.0,0.0
12,Charlie Adam,SYC,MF,Stoke City,eng Premier League,30.0,1985.0,16.9,7.0,0.0,0.0,41.0,26.0,0.0,86.0,24.0,17.0,0.0,0.0,0.0
13,Antonio Adán,ESP,GK,Betis,es La Liga,29.0,1987.0,37.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0
14,Jordan Adéoti,BEN,DF,Caen,fr Ligue 1,27.0,1989.0,23.6,3.0,0.0,0.0,27.0,22.0,0.0,12.0,54.0,37.0,0.0,2.0,0.0
15,Claud Adjapong,ITA,"DF,FW",Sassuolo,it Serie A,18.0,1998.0,5.7,3.0,0.0,0.0,9.0,6.0,0.0,15.0,14.0,8.0,0.0,1.0,0.0
16,René Adler,DEU,GK,Hamburger SV,de Bundesliga,31.0,1985.0,19.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,Ali Adnan Kadhim,IRQ,"DF,MF",Udinese,it Serie A,22.0,1993.0,9.7,2.0,0.0,0.0,14.0,11.0,1.0,53.0,15.0,13.0,0.0,2.0,0.0
18,Albert Adomah,GHA,MF,Middlesbrough,eng Premier League,28.0,1987.0,1.4,0.0,0.0,0.0,3.0,2.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0
19,Adrián,ESP,GK,West Ham,eng Premier League,29.0,1987.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Luiz Adriano,BRA,FW,Milan,it Serie A,29.0,1987.0,1.4,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,ESP,FW,Athletic Club,es La Liga,35.0,1981.0,27.3,8.0,1.0,1.0,38.0,58.0,18.0,23.0,4.0,10.0,2.0,0.0,0.0
22,Ibrahim Afellay,NLD,MF,Stoke City,eng Premier League,30.0,1986.0,4.3,0.0,0.0,0.0,3.0,7.0,2.0,15.0,5.0,2.0,0.0,0.0,0.0
23,Akram Afif,QAT,MF,Sporting Gijón,es La Liga,19.0,1996.0,2.6,2.0,0.0,0.0,3.0,9.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0
24,Benik Afobe,COD,FW,Bournemouth,eng Premier League,23.0,1993.0,16.2,1.0,0.0,0.0,22.0,13.0,14.0,3.0,6.0,9.0,0.0,0.0,0.0
26,Sergio Agüero,ARG,FW,Manchester City,eng Premier League,28.0,1988.0,26.7,4.0,1.0,0.0,23.0,34.0,23.0,18.0,4.0,14.0,1.0,0.0,0.0
27,Dan Agyei,GBR,FW,Burnley,eng Premier League,19.0,1997.0,0.3,0.0,0.0,,1.0,,,,,,,,
28,Emmanuel Agyemang-Badu,GHA,MF,Udinese,it Serie A,25.0,1990.0,22.6,2.0,0.0,0.0,27.0,40.0,2.0,37.0,40.0,21.0,0.0,1.0,0.0
29,Ola Aina,NGA,"DF,MF",Chelsea,eng Premier League,19.0,1996.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Youssef Aït Bennasser,MAR,MF,Nancy,fr Ligue 1,20.0,1996.0,21.4,3.0,0.0,0.0,25.0,27.0,1.0,10.0,32.0,31.0,0.0,0.0,0.0
31,Rachid Aït-Atmane,DZA,MF,Sporting Gijón,es La Liga,23.0,1993.0,5.5,3.0,0.0,0.0,7.0,12.0,0.0,4.0,6.0,10.0,0.0,0.0,0.0
32,Arlind Ajeti,ALB,DF,Torino,it Serie A,22.0,1993.0,2.8,1.0,0.0,0.0,8.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
33,Nathan Aké,NLD,DF,Bournemouth,eng Premier League,21.0,1995.0,8.2,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,14.0,0.0,0.0,0.0
34,Nathan Aké,NLD,DF,Chelsea,eng Premier League,21.0,1995.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
35,Jean-Daniel Akpa-Akpro,CIV,"DF,MF",Toulouse,fr Ligue 1,23.0,1992.0,0.8,1.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
36,David Alaba,AUT,DF,Bayern Munich,de Bundesliga,24.0,1992.0,27.8,1.0,0.0,0.0,15.0,11.0,7.0,85.0,64.0,27.0,0.0,0.0,0.0
37,Javi Álamo,ESP,"FW,MF",Osasuna,es La Liga,27.0,1988.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,Jordi Alba,ESP,DF,Barcelona,es La Liga,27.0,1989.0,21.9,4.0,0.0,0.0,21.0,16.0,8.0,21.0,29.0,27.0,1.0,0.0,0.0
39,Raúl Albentosa,ESP,DF,La Coruña,es La Liga,27.0,1988.0,25.9,10.0,1.0,0.0,31.0,10.0,2.0,5.0,43.0,23.0,1.0,1.0,1.0
40,Luis Alberto,ESP,"MF,FW",Lazio,it Serie A,23.0,1992.0,4.1,0.0,0.0,0.0,2.0,3.0,1.0,34.0,5.0,2.0,0.0,0.0,0.0
41,Raúl Albiol,ESP,DF,Napoli,it Serie A,30.0,1985.0,25.5,8.0,0.0,0.0,22.0,12.0,1.0,4.0,22.0,24.0,0.0,1.0,0.0
42,Marc Albrighton,GBR,MF,Leicester City,eng Premier League,26.0,1989.0,26.8,5.0,0.0,0.0,21.0,20.0,2.0,212.0,38.0,45.0,0.0,0.0,0.0
43,Paco Alcácer,ESP,FW,Barcelona,es La Liga,22.0,1993.0,9.5,1.0,0.0,0.0,9.0,7.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0
44,Paco Alcácer,ESP,FW,Valencia,es La Liga,22.0,1993.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
