,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
0,Patrick van Aanholt,NLD,"DF,MF",Crystal Palace,eng Premier League,25.0,1990.0,11.0,714.0,65.0,20.9,7.9,8.0,,5.0,3.0,,1.0,1.45,7.0,14.0,-7.0,-0.88,-0.68
1,Patrick van Aanholt,NLD,"DF,MF",Sunderland,eng Premier League,25.0,1990.0,21.0,1784.0,85.0,52.2,19.8,20.0,,19.0,1.0,,0.0,0.71,20.0,39.0,-19.0,-0.96,0.2
2,Ignazio Abate,ITA,DF,Milan,it Serie A,29.0,1986.0,23.0,1924.0,84.0,56.3,21.4,22.0,,20.0,1.0,,3.0,1.87,34.0,24.0,10.0,0.47,0.35
3,Yunis Abdelhamid,MAR,DF,Dijon,fr Ligue 1,28.0,1987.0,18.0,1314.0,73.0,38.4,14.6,15.0,,13.0,3.0,,9.0,1.0,18.0,23.0,-5.0,-0.34,-0.04
4,Aymen Abdennour,TUN,DF,Valencia,es La Liga,26.0,1989.0,13.0,879.0,68.0,25.7,9.8,9.0,83.0,7.0,4.0,34.0,11.0,0.92,15.0,19.0,-4.0,-0.41,-0.23
5,Nura Abdullahi,NGA,DF,Roma,it Serie A,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
6,Mehdi Abeid,DZA,MF,Dijon,fr Ligue 1,23.0,1992.0,28.0,2374.0,85.0,69.4,26.4,27.0,,23.0,1.0,,0.0,1.07,34.0,39.0,-5.0,-0.19,0.41
7,David Abraham,ARG,DF,Eint Frankfurt,de Bundesliga,30.0,1986.0,30.0,2584.0,86.0,84.4,28.7,30.0,,28.0,0.0,,0.0,1.4,32.0,31.0,1.0,0.03,1.55
8,Amir Abrashi,ALB,MF,Freiburg,de Bundesliga,26.0,1990.0,20.0,1320.0,66.0,43.1,14.7,16.0,,10.0,4.0,,12.0,1.4,15.0,26.0,-11.0,-0.75,-0.39
9,Marco Acatullo,ITA,FW,Pescara,it Serie A,18.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
10,Francesco Acerbi,ITA,DF,Sassuolo,it Serie A,28.0,1988.0,38.0,3420.0,90.0,100.0,38.0,38.0,,38.0,0.0,,0.0,1.21,60.0,61.0,-1.0,-0.03,
11,Geoffrey Acheampong,GHA,MF,Bastia,fr Ligue 1,19.0,1997.0,2.0,12.0,6.0,0.4,0.1,0.0,,0.0,2.0,,8.0,0.0,0.0,1.0,-1.0,-7.5,-6.87
12,Maxwell Acosty,GHA,"MF,FW",Crotone,it Serie A,24.0,1991.0,11.0,378.0,34.0,11.1,4.2,3.0,,1.0,8.0,,7.0,1.18,2.0,6.0,-4.0,-0.95,-0.36
