,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,5.0,33.0,11.0,33.3,1.36,0.45,0.15,0.45,23.4,4.0,0.0,0.0,3.1,3.1,0.09,1.9,1.9
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,0.0,2.0,0.0,0.0,1.29,0.0,0.0,,19.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,0.0,3.0,0.0,0.0,0.52,0.0,0.0,,17.4,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,1.0,4.0,2.0,50.0,0.34,0.17,0.25,0.5,17.1,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,0.0,2.0,1.0,50.0,0.36,0.18,0.0,0.0,11.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,0.0,21.0,6.0,28.6,1.61,0.46,0.0,0.0,25.2,2.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,0.0,7.0,1.0,14.3,0.27,0.04,0.0,0.0,19.2,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,5.0,42.0,13.0,31.0,2.19,0.68,0.12,0.38,13.1,0.0,0.0,0.0,6.8,6.8,0.16,-1.8,-1.8
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,0.0,5.0,0.0,0.0,0.53,0.0,0.0,,22.2,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,0.0,15.0,2.0,13.3,0.39,0.05,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,10.6,1.0,9.0,3.0,33.3,0.85,0.28,0.11,0.33,24.2,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,4.6,0.0,9.0,2.0,22.2,1.97,0.44,0.0,0.0,31.5,3.0,0.0,1.0,1.6,0.9,0.09,-1.6,-0.9
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,20.4,2.0,31.0,12.0,38.7,1.52,0.59,0.03,0.08,22.8,5.0,1.0,2.0,2.8,1.3,0.04,-0.8,-0.3
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,32.5,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,9.1,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,19.0,1998.0,13.6,0.0,14.0,4.0,28.6,1.03,0.3,0.0,0.0,20.7,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8
17,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
18,Yacine Adli,fr FRA,FW,Paris S-G,Ligue 1,17.0,2000.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
19,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,Serie A,23.0,1993.0,18.6,0.0,12.0,3.0,25.0,0.65,0.16,0.0,0.0,27.6,5.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5
20,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,36.0,1981.0,23.9,9.0,56.0,23.0,41.1,2.34,0.96,0.11,0.26,13.5,0.0,3.0,5.0,11.1,7.6,0.13,-2.1,-1.6
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,31.0,1986.0,1.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
23,Benik Afobe,cd COD,FW,Bournemouth,Premier League,24.0,1993.0,6.8,0.0,8.0,3.0,37.5,1.18,0.44,0.0,0.0,8.6,0.0,0.0,0.0,1.6,1.6,0.21,-1.6,-1.6
24,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,21.0,1996.0,20.3,0.0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,36.8,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,30.0,1987.0,2.6,0.0,6.0,2.0,33.3,2.33,0.78,0.0,0.0,10.4,0.0,0.0,0.0,1.2,1.2,0.19,-1.2,-1.2
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,29.0,1988.0,21.8,21.0,90.0,38.0,42.2,4.13,1.74,0.19,0.45,13.9,1.0,4.0,4.0,16.2,13.1,0.15,4.8,3.9
28,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,24.0,1993.0,27.3,0.0,16.0,4.0,25.0,0.59,0.15,0.0,0.0,18.6,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7
29,Matías Aguirregaray,uy URU,DF,Las Palmas,La Liga,28.0,1989.0,12.8,0.0,9.0,0.0,0.0,0.7,0.0,0.0,,21.1,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,23.0,1994.0,33.4,5.0,39.0,7.0,17.9,1.17,0.21,0.13,0.71,23.8,0.0,0.0,0.0,2.2,2.2,0.06,2.8,2.8
31,Ailton,br BRA,"DF,MF",Stuttgart,Bundesliga,22.0,1995.0,1.2,0.0,1.0,0.0,0.0,0.83,0.0,0.0,,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
32,Youssef Aït Bennasser,ma MAR,MF,Caen,Ligue 1,21.0,1996.0,22.7,0.0,23.0,3.0,13.0,1.01,0.13,0.0,0.0,31.5,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7
33,Arlind Ajeti,al ALB,DF,Crotone,Serie A,23.0,1993.0,14.1,0.0,8.0,0.0,0.0,0.57,0.0,0.0,,19.5,0.0,0.0,0.0,0.9,0.9,0.12,-0.9,-0.9
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,22.0,1995.0,10.0,0.0,5.0,2.0,40.0,0.5,0.2,0.0,0.0,20.3,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
35,Nathan Aké,nl NED,DF,Bournemouth,Premier League,22.0,1995.0,37.3,2.0,18.0,8.0,44.4,0.48,0.21,0.11,0.25,11.2,0.0,0.0,0.0,1.4,1.4,0.08,0.6,0.6
36,Ager Aketxe,es ESP,MF,Athletic Club,La Liga,23.0,1993.0,0.4,0.0,2.0,0.0,0.0,4.86,0.0,0.0,,26.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
37,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,22.0,1995.0,12.2,5.0,32.0,15.0,46.9,2.61,1.23,0.16,0.33,18.0,0.0,0.0,1.0,4.7,4.0,0.12,0.3,1.0
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,22.0,1995.0,18.8,0.0,5.0,2.0,40.0,0.27,0.11,0.0,0.0,20.4,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
39,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,25.0,1992.0,17.2,2.0,24.0,7.0,29.2,1.39,0.41,0.08,0.29,26.9,8.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7
40,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,24.0,1992.0,17.2,9.0,56.0,20.0,35.7,3.25,1.16,0.14,0.4,13.1,1.0,1.0,2.0,10.5,8.9,0.16,-1.5,-0.9
41,David Alba,es ESP,DF,Getafe,La Liga,18.0,1999.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
