,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,2.3,12.0,6.0,7.0,5.0,0.0,5.0,10.0,50.0,5.0,5.0,0.0,5.0,8.0,20.0,9.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,35.5,48.0,24.0,35.0,11.0,2.0,24.0,40.0,60.0,16.0,33.0,9.0,24.0,40.0,88.0,91.0,2.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,14.5,34.0,19.0,16.0,13.0,5.0,14.0,22.0,63.6,8.0,19.0,6.0,13.0,18.0,52.0,50.0,0.0
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,60.0,33.0,48.0,11.0,1.0,30.0,40.0,75.0,10.0,44.0,24.0,20.0,65.0,125.0,196.0,0.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,22.5,51.0,33.0,27.0,16.0,8.0,15.0,45.0,33.3,30.0,33.0,7.0,26.0,29.0,80.0,23.0,1.0
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,0.4,4.0,4.0,2.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,15.8,22.0,14.0,13.0,8.0,1.0,11.0,25.0,44.0,14.0,23.0,12.0,11.0,24.0,46.0,64.0,0.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,8.8,20.0,11.0,7.0,10.0,3.0,6.0,19.0,31.6,13.0,11.0,3.0,8.0,14.0,34.0,15.0,0.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,36.8,40.0,30.0,22.0,13.0,5.0,12.0,16.0,75.0,4.0,50.0,32.0,18.0,61.0,101.0,169.0,1.0
10,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,16.8,27.0,9.0,9.0,12.0,6.0,4.0,11.0,36.4,7.0,11.0,1.0,10.0,12.0,39.0,16.0,0.0
11,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,19.0,1999.0,8.0,29.0,17.0,12.0,16.0,1.0,11.0,26.0,42.3,15.0,17.0,1.0,16.0,16.0,45.0,8.0,0.0
12,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aday,es ESP,"DF,MF",Girona,La Liga,30.0,1987.0,7.2,9.0,8.0,2.0,5.0,2.0,6.0,7.0,85.7,1.0,1.0,0.0,1.0,7.0,16.0,17.0,1.0
14,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,33.0,1985.0,22.2,31.0,22.0,20.0,11.0,0.0,16.0,28.0,57.1,12.0,26.0,11.0,15.0,31.0,62.0,101.0,0.0
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,Serie A,20.0,1998.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,0.0
16,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,18.0,2000.0,2.4,7.0,2.0,2.0,3.0,2.0,3.0,9.0,33.3,6.0,3.0,0.0,3.0,2.0,9.0,0.0,0.0
17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,Serie A,24.0,1993.0,1.8,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,3.0,4.0,6.0,0.0
18,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,37.0,1981.0,10.5,4.0,2.0,1.0,1.0,2.0,1.0,7.0,14.3,6.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0
19,Luis Advíncula,pe PER,DF,Rayo Vallecano,La Liga,28.0,1990.0,26.5,52.0,38.0,38.0,12.0,2.0,21.0,31.0,67.7,10.0,22.0,2.0,20.0,19.0,71.0,60.0,1.0
20,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,22.0,1996.0,22.6,45.0,29.0,32.0,10.0,3.0,28.0,46.0,60.9,18.0,33.0,11.0,22.0,27.0,72.0,65.0,1.0
21,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,22.0,1996.0,11.7,17.0,12.0,8.0,9.0,0.0,8.0,19.0,42.1,11.0,20.0,11.0,9.0,14.0,31.0,59.0,1.0
22,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,30.0,1988.0,27.3,17.0,9.0,1.0,10.0,6.0,5.0,9.0,55.6,4.0,15.0,1.0,14.0,9.0,26.0,3.0,0.0
23,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,25.0,1993.0,28.1,88.0,51.0,40.0,33.0,15.0,39.0,69.0,56.5,30.0,23.0,3.0,20.0,37.0,125.0,50.0,1.0
24,Juan Aguilera,es ESP,MF,Huesca,La Liga,32.0,1985.0,3.8,2.0,2.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,4.0,2.0,2.0,4.0,6.0,2.0,0.0
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,27.0,1990.0,1.8,4.0,0.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1.0,5.0,2.0,0.0
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,24.0,1994.0,11.9,20.0,11.0,6.0,11.0,3.0,8.0,16.0,50.0,8.0,7.0,0.0,7.0,17.0,37.0,12.0,0.0
28,Antonis Aidonis,de GER,DF,Stuttgart,Bundesliga,17.0,2001.0,0.9,3.0,1.0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,2.0,5.0,2.0,0.0
29,Ola Aina,ng NGA,DF,Torino,Serie A,21.0,1996.0,24.0,54.0,36.0,32.0,20.0,2.0,23.0,48.0,47.9,25.0,30.0,3.0,27.0,39.0,93.0,59.0,2.0
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,Ligue 1,22.0,1996.0,10.4,25.0,13.0,9.0,12.0,4.0,13.0,28.0,46.4,15.0,15.0,2.0,13.0,19.0,44.0,6.0,2.0
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,Ligue 1,22.0,1996.0,11.9,33.0,16.0,14.0,18.0,1.0,13.0,29.0,44.8,16.0,15.0,5.0,10.0,15.0,48.0,19.0,0.0
32,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,Ligue 1,17.0,2001.0,0.6,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,24.0,1994.0,17.0,17.0,13.0,1.0,10.0,6.0,4.0,9.0,44.4,5.0,5.0,0.0,5.0,5.0,22.0,9.0,0.0
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,23.0,1995.0,24.5,29.0,19.0,14.0,13.0,2.0,14.0,25.0,56.0,11.0,22.0,13.0,9.0,27.0,56.0,92.0,2.0
35,Carlos Akapo,gq EQG,DF,Huesca,La Liga,25.0,1993.0,11.4,28.0,15.0,18.0,8.0,2.0,19.0,33.0,57.6,14.0,12.0,2.0,10.0,23.0,51.0,36.0,0.0
36,Nathan Aké,nl NED,DF,Bournemouth,Premier League,23.0,1995.0,37.9,66.0,35.0,42.0,21.0,3.0,22.0,35.0,62.9,13.0,51.0,35.0,16.0,32.0,98.0,241.0,0.0
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,La Liga,20.0,1997.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,23.0,1995.0,5.8,9.0,6.0,2.0,7.0,0.0,1.0,3.0,33.3,2.0,7.0,0.0,7.0,4.0,13.0,1.0,0.0
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,23.0,1995.0,5.5,23.0,15.0,13.0,10.0,0.0,11.0,21.0,52.4,10.0,18.0,5.0,13.0,12.0,35.0,20.0,2.0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,Bundesliga,23.0,1995.0,3.5,10.0,6.0,5.0,5.0,0.0,6.0,7.0,85.7,1.0,7.0,2.0,5.0,10.0,20.0,7.0,2.0
41,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,26.0,1992.0,28.1,34.0,21.0,13.0,13.0,8.0,17.0,26.0,65.4,9.0,24.0,3.0,21.0,31.0,65.0,40.0,0.0
42,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,20.0,1998.0,21.1,81.0,44.0,44.0,31.0,6.0,36.0,63.0,57.1,27.0,15.0,4.0,11.0,46.0,127.0,57.0,0.0
