,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Ismael Aaneba,2.3,3,0,0,6,0,0,11,8,6,0,0,0,18,1,5,16.7
1,Patrick van Aanholt,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5
2,Ignazio Abate,14.5,4,0,0,13,6,0,26,18,19,0,1,0,71,13,8,61.9
4,Yunis Abdelhamid,38.0,2,0,0,34,20,1,0,65,33,0,1,1,205,113,71,61.4
5,Mehdi Abeid,22.5,6,0,0,57,28,1,24,29,33,0,0,0,145,17,26,39.5
6,Charles Abi,0.4,0,0,0,2,1,0,0,0,4,0,0,0,5,2,1,66.7
7,David Abraham,15.8,2,0,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5
8,Amir Abrashi,8.8,5,0,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6
9,Francesco Acerbi,36.8,4,1,1,24,42,3,6,61,30,0,0,0,226,96,43,69.1
10,Afriyie Acquah,16.8,4,0,0,27,32,1,34,12,9,0,0,0,88,22,28,44.0
11,Tyler Adams,8.0,0,0,0,13,11,0,2,16,17,0,0,0,60,17,14,54.8
13,Aday,7.2,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6
14,Khaled Adenon,22.2,7,1,1,32,20,2,0,31,22,0,0,1,107,51,58,46.8
15,Claud Adjapong,3.0,1,0,0,3,6,2,5,1,2,0,0,0,12,2,4,33.3
16,Yacine Adli,2.4,1,0,0,4,1,0,9,2,2,0,0,0,16,2,1,66.7
17,Ali Adnan Kadhim,1.8,0,0,0,2,2,0,14,3,1,0,0,0,8,6,3,66.7
18,Aritz Aduriz,10.5,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7
19,Luis Advincula,26.5,6,2,2,48,46,0,54,19,38,2,0,0,131,24,33,42.1
20,Martin Agirregabiria,22.6,4,0,0,24,28,0,42,27,29,0,0,0,116,19,27,41.3
21,Nayef Aguerd,11.7,4,1,0,19,8,0,3,14,12,0,1,0,58,41,23,64.1
22,Sergio Aguero,27.3,4,0,0,21,25,26,13,9,9,0,0,0,70,17,22,43.6
23,Ruben Aguilar,28.1,8,0,0,37,40,1,115,37,51,0,1,0,185,28,32,46.7
24,Juan Aguilera,3.8,1,0,0,3,6,0,2,4,2,0,0,0,27,4,4,50.0
26,Emmanuel Agyemang-Badu,1.8,0,0,0,2,4,0,2,1,0,0,0,0,6,4,4,50.0
27,Jean-Eudes Aholou,11.9,2,0,0,26,17,0,5,17,11,0,0,0,79,22,25,46.8
28,Antonis Aidonis,0.9,1,0,0,1,0,0,6,2,1,0,0,0,4,2,4,33.3
29,Ola Aina,24.0,5,1,0,31,38,4,63,39,36,0,0,0,167,41,29,58.6
30,Youssef Ait Bennasser,10.4,0,0,0,10,10,0,4,19,13,0,0,0,74,7,10,41.2
31,Youssef Ait Bennasser,11.9,2,0,0,11,11,0,2,15,16,0,0,0,119,7,10,41.2
32,Rayan Ait Nouri,0.6,1,0,0,1,1,0,0,0,2,0,1,0,2,0,2,0.0
33,Ludovic Ajorque,17.0,5,0,0,45,16,2,5,5,13,1,0,0,32,104,60,63.4
34,Manuel Akanji,24.5,1,0,0,13,17,0,2,27,19,0,0,0,121,44,37,54.3
35,Carlos Akapo,11.4,2,0,0,16,13,0,7,23,15,0,0,0,54,20,14,58.8
36,Nathan Ake,37.9,3,0,0,28,21,2,6,32,35,1,1,0,182,86,66,56.6
37,Sergio Akieme,2.0,0,0,0,2,2,0,8,1,3,0,0,1,8,1,5,16.7
38,Chadrac Akolo,5.8,0,0,0,8,15,1,8,4,6,0,0,0,31,6,17,26.1
39,Kevin Akpoguma,5.5,2,0,0,6,10,0,0,12,15,0,0,0,31,5,7,41.7
40,Kevin Akpoguma,3.5,2,0,0,4,2,0,0,10,6,0,1,0,14,6,5,54.5
41,David Alaba,28.1,4,0,0,13,11,5,115,31,21,0,0,0,148,24,22,52.2
42,Sofiane Alakouch,21.1,4,0,0,29,32,0,40,46,44,0,0,0,93,18,26,40.9
43,Lucas Alario,14.1,1,0,0,23,24,14,5,1,8,0,0,0,37,40,72,35.7
44,Jordi Alba,33.2,6,0,0,25,19,9,52,60,22,1,0,0,208,16,37,30.2
45,Luis Alberto,22.1,5,1,0,23,24,3,171,10,22,0,0,0,117,14,21,40.0
46,Raul Albiol,19.0,4,0,0,10,7,0,3,20,8,0,1,0,102,46,33,58.2
47,Miiko Albornoz,18.4,3,1,0,34,37,1,57,16,26,0,1,0,94,8,24,25.0
48,Marc Albrighton,18.1,3,0,0,10,20,2,125,23,22,0,0,0,141,15,18,45.5
49,Paco Alcacer,13.5,0,0,0,5,7,9,3,6,1,0,0,0,26,12,33,26.7
50,Pedro Alcala,20.8,9,0,0,21,13,2,3,36,23,0,0,0,106,84,46,64.6
52,Thiago Alcantara,26.8,5,0,0,52,34,0,69,44,65,0,1,0,266,34,38,47.2
53,Ruben Alcaraz,33.1,13,0,0,69,109,1,39,38,54,0,0,0,268,49,66,42.6
54,Toby Alderweireld,32.5,3,0,0,10,1,1,6,24,23,0,0,1,193,54,47,53.5
55,Alex Alegria,1.6,0,0,0,7,4,3,0,0,1,0,0,0,4,6,8,42.9
57,Ivan Alejo,1.6,2,1,0,10,7,0,7,0,0,0,0,0,5,3,3,50.0
58,Carles Alena,7.1,2,0,0,9,14,1,3,2,4,0,0,0,38,5,4,55.6
59,Runar Alex Runarsson,25.0,0,0,0,0,4,0,0,1,0,0,0,0,33,10,0,100.0
61,Trent Alexander-Arnold,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1
62,Rachid Alioui,13.9,1,0,0,11,11,5,19,10,5,0,0,0,40,42,67,38.5
63,Alisson,38.0,1,0,0,0,1,0,0,1,1,0,0,0,70,11,1,91.7
64,Bobby Allain,13.0,1,0,0,1,6,0,0,0,0,0,1,0,14,9,3,75.0
65,Allan,29.1,10,0,0,50,62,0,14,36,70,0,0,0,275,13,16,44.8
66,Allan,2.0,1,0,0,5,5,0,3,0,4,0,0,0,10,1,3,25.0
67,Dele Alli,20.3,4,0,0,23,20,3,10,19,19,0,0,0,124,20,20,50.0
68,Miguel Almiron,8.4,0,0,0,6,17,4,21,8,12,0,0,0,61,1,9,10.0
69,Junior Alonso,6.0,2,0,0,6,2,1,12,5,9,0,0,0,33,18,7,72.0
70,Marcos Alonso,30.7,6,0,0,28,37,2,98,39,46,2,1,0,212,66,54,55.0
71,Mickael Alphonse,6.3,0,0,0,9,10,0,22,9,5,0,0,0,27,14,3,82.4
72,Sergio Alvarez,11.9,1,0,0,19,6,1,0,17,25,0,0,0,76,35,20,63.6
73,Sergio Alvarez,13.0,1,0,0,1,0,0,0,0,0,0,1,0,18,4,0,100.0
74,Yeray Alvarez,29.0,10,0,0,31,24,0,4,63,30,0,0,0,138,93,66,58.5
75,Bruno Alves,32.5,9,1,1,31,12,0,17,29,8,0,1,1,129,102,38,72.9
76,Dani Alves,18.0,4,0,0,43,23,4,61,8,22,0,0,1,121,11,18,37.9
78,Alfons Amade,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100.0
79,Ibrahim Amadou,8.5,2,0,0,12,10,1,6,11,20,0,0,0,45,24,16,60.0
80,Romain Amalfitano,28.0,3,1,0,42,29,1,25,47,33,0,0,0,154,13,35,27.1
81,Daniel Amartey,7.1,2,0,0,6,1,1,3,17,12,0,1,0,58,14,9,60.9
82,Jordi Amat,30.7,9,0,0,47,9,1,0,43,31,0,2,0,147,48,48,50.0
83,Amath,11.1,4,0,0,27,21,3,11,10,13,0,0,0,55,12,22,35.3
84,Jordan Amavi,24.2,7,2,0,46,33,1,82,46,50,0,1,0,110,71,31,69.6
85,Kelvin Amian,32.0,6,0,0,38,11,3,21,36,45,0,1,0,148,47,49,49.0
86,Nadiem Amiri,8.4,1,0,0,14,14,0,11,7,9,0,0,0,44,3,8,27.3
