,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Patrick van Aanholt,Crystal Palace,27.9,0,0,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0
1,Max Aarons,Norwich City,36.0,7,0,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0
2,Yunis Abdelhamid,Reims,28.0,0,0,0,21,17,0,1,47,33,0,1,0,140,85,51,62.5
3,Suleiman Abdullahi,Union Berlin,1.7,1,0,0,0,0,3,8,1,0,0,0,0,7,6,11,35.3
4,Mehdi Abeid,Nantes,20.2,5,0,0,55,43,1,63,23,29,0,1,0,153,13,17,43.3
5,Charles Abi,Saint-Étienne,6.9,2,0,0,16,11,7,5,4,9,1,0,0,22,28,34,45.2
6,David Abraham,Eint Frankfurt,18.8,2,1,0,14,12,0,9,25,14,0,0,0,125,48,30,61.5
7,Tammy Abraham,Chelsea,24.6,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1
8,Amir Abrashi,Freiburg,7.4,3,0,0,17,12,0,7,7,8,0,0,0,51,9,9,50.0
9,Francesco Acerbi,Lazio,35.1,4,0,0,26,41,5,26,42,29,1,0,0,179,56,32,63.6
10,Che Adams,Southampton,12.3,0,0,0,17,16,10,13,2,4,1,0,0,51,41,75,35.3
11,Tyler Adams,RB Leipzig,10.6,0,0,0,9,16,0,10,14,15,0,0,0,58,14,14,50.0
12,Sargis Adamyan,Hoffenheim,8.3,1,0,0,12,7,7,11,2,7,1,0,0,32,12,34,26.1
13,Antonio Adan,Atlético Madrid,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,Bobby Adekanye,Lazio,2.1,1,0,0,2,3,1,1,2,2,0,0,0,6,1,4,20.0
15,Claud Adjapong,Hellas Verona,2.6,0,0,0,3,2,1,3,3,3,0,0,0,11,3,4,42.9
16,Amine Adli,Toulouse,0.5,1,0,0,2,0,0,4,1,0,0,0,0,3,1,1,50.0
17,Yacine Adli,Bordeaux,11.3,3,0,0,13,18,0,39,8,14,0,0,0,57,10,13,43.5
18,Adrian,Liverpool,9.7,1,0,0,0,1,0,0,0,1,0,0,0,5,4,0,100.0
19,Aritz Aduriz,Athletic Club,2.3,3,0,0,7,1,0,0,0,2,0,0,0,2,21,10,67.7
20,Lumor Agbenyenu,Mallorca,20.1,5,1,1,13,9,0,81,21,21,0,0,0,118,17,16,51.5
21,Martin Agirregabiria,Alavés,23.3,5,1,0,33,19,1,33,18,30,0,1,0,125,26,27,49.1
22,Lucien Agoume,Inter,0.8,1,0,0,1,0,0,2,0,2,0,0,0,6,0,0,0.0
23,Kevin Agudelo,Fiorentina,0.7,0,0,0,3,1,0,0,1,1,0,0,0,6,0,2,0.0
24,Kevin Agudelo,Genoa,7.4,5,1,1,20,11,1,11,6,14,0,1,0,30,3,6,33.3
26,Nayef Aguerd,Dijon,10.6,2,0,0,13,6,0,1,18,9,0,0,0,55,43,13,76.8
27,Sergio Aguero,Manchester City,16.1,1,0,0,9,9,6,9,3,4,2,0,0,37,3,12,20.0
28,Ruben Aguilar,Monaco,11.9,2,2,0,10,20,0,63,11,22,0,0,0,72,16,13,55.2
29,Emmanuel Agyemang-Badu,Hellas Verona,2.6,2,0,0,7,3,1,1,1,1,0,0,0,10,5,12,29.4
30,Jean-Eudes Aholou,Saint-Étienne,7.0,3,1,0,11,14,1,3,15,12,0,0,0,57,10,11,47.6
31,Joseph Aidoo,Celta Vigo,27.8,4,0,0,17,17,0,1,45,27,0,2,0,143,49,51,49.0
32,Ola Aina,Torino,23.1,8,0,0,25,36,2,62,41,24,0,0,0,130,28,26,51.9
33,Youssef Ait Bennasser,Bordeaux,6.0,1,0,0,10,3,0,2,4,8,0,0,0,43,5,5,50.0
34,Rayan Ait Nouri,Angers,14.2,3,0,0,12,12,0,43,18,22,0,0,0,99,17,6,73.9
35,Albian Ajeti,West Ham,1.5,0,0,0,6,0,2,0,0,0,0,0,0,2,1,10,9.1
36,Ludovic Ajorque,Strasbourg,22.9,3,0,0,38,21,4,13,2,10,1,1,0,43,114,78,59.4
37,Manuel Akanji,Dortmund,25.7,2,0,0,11,23,0,2,30,21,0,0,1,119,31,33,48.4
38,Marley Ake,Marseille,1.1,1,0,0,3,3,0,1,1,2,0,0,0,4,0,3,0.0
39,Nathan Ake,Bournemouth,27.8,2,0,0,9,13,3,5,36,21,0,0,0,140,60,61,49.6
40,Chadrac Akolo,Amiens,6.0,1,0,0,9,8,2,6,5,8,0,0,0,36,4,10,28.6
41,Kevin Akpoguma,Hoffenheim,12.7,2,0,0,8,13,1,3,13,16,0,1,1,72,21,27,43.8
42,David Alaba,Bayern Munich,27.8,0,0,0,10,7,1,29,29,17,0,0,0,213,21,29,42.0
43,Sofiane Alakouch,Nîmes,15.6,3,0,0,14,27,1,29,23,26,0,1,1,74,10,16,38.5
44,Lucas Alario,Leverkusen,13.0,6,0,0,23,13,19,4,1,3,0,0,0,24,42,53,44.2
45,Jordi Alba,Barcelona,24.3,7,0,0,18,18,5,65,37,13,0,0,0,129,6,15,28.6
46,Luis Alberto,Lazio,34.6,5,0,0,20,38,0,177,21,30,0,0,0,217,7,14,33.3
47,Raul Albiol,Villarreal,36.0,9,0,0,30,25,2,3,42,23,0,2,0,155,74,55,57.4
48,Marc Albrighton,Leicester City,9.6,2,0,0,7,11,1,69,10,17,0,1,0,67,3,7,30.0
49,Paco Alcacer,Villarreal,10.3,1,0,0,4,11,13,1,2,3,1,0,0,25,6,22,21.4
50,Paco Alcacer,Dortmund,5.9,0,0,0,2,3,7,1,2,2,0,0,0,4,3,15,16.7
52,Thiago Alcantara,Bayern Munich,19.7,7,0,0,24,13,0,7,45,26,0,0,0,195,35,37,48.6
53,Ruben Alcaraz,Valladolid,21.4,10,0,0,37,58,0,26,15,30,0,2,0,178,49,52,48.5
54,Toby Alderweireld,Tottenham,32.9,7,0,0,18,4,1,9,31,29,0,0,1,154,73,73,50.0
55,Haitam Aleesami,Amiens,21.3,4,0,0,31,9,1,44,34,16,0,0,0,117,39,19,67.2
56,Alex Alegria,Mallorca,1.2,0,0,0,5,4,1,1,0,0,0,0,0,4,9,10,47.4
57,Carles Alena,Barcelona,1.9,0,0,0,3,2,0,4,0,1,0,0,0,10,1,4,20.0
58,Carles Alena,Betis,8.2,1,0,0,9,19,3,3,1,9,0,0,0,27,2,11,15.4
59,Runar Alex Runarsson,Dijon,10.0,0,0,0,0,2,0,0,0,0,0,0,0,9,6,0,100.0
60,Trent Alexander-Arnold,Liverpool,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3
61,Enrico Alfonso,Brescia,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
62,Rachid Alioui,Angers,17.4,1,0,0,24,34,5,15,2,5,0,0,0,40,43,63,40.6
63,Alisson,Liverpool,28.3,0,1,0,1,1,0,0,1,0,0,0,0,63,6,0,100.0
64,Allan,Napoli,14.2,3,0,0,30,24,0,13,16,27,0,0,0,87,9,7,56.3
65,Dele Alli,Tottenham,20.5,2,0,0,12,33,6,7,17,16,0,0,0,103,19,37,33.9
66,Miguel Almiron,Newcastle Utd,33.6,5,0,0,30,59,24,41,31,39,0,0,0,189,9,28,24.3
67,Marcos Alonso,Chelsea,15.9,4,0,0,16,15,2,66,20,16,1,0,0,96,42,29,59.2
68,Mickael Alphonse,Dijon,15.3,2,0,0,16,13,1,31,17,25,0,0,1,70,36,10,78.3
69,Sergio Alvarez,Eibar,12.7,6,0,0,24,7,0,2,17,22,0,1,0,70,24,35,40.7
70,Sergio Alvarez,Celta Vigo,2.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
71,Yeray Alvarez,Athletic Club,31.2,2,0,0,18,32,1,12,62,19,0,1,0,167,104,69,60.1
72,Bruno Alves,Parma,29.7,4,0,0,24,12,1,13,25,11,0,2,0,116,84,21,80.0
73,Steven Alzate,Brighton,13.2,1,0,0,17,18,3,8,14,19,0,0,0,75,9,16,36.0
74,Ibrahim Amadou,Norwich City,8.4,1,0,0,8,2,0,1,16,11,0,1,0,39,16,12,57.1
75,Ibrahim Amadou,Leganés,8.6,2,0,0,15,6,0,5,12,9,0,0,0,42,19,14,57.6
76,Romain Amalfitano,Dijon,18.8,5,0,0,26,43,0,25,36,27,0,0,0,107,8,14,36.4
78,Amath,Getafe,0.7,0,0,0,3,4,0,0,0,1,0,0,0,4,1,0,100.0
79,Jordan Amavi,Marseille,24.0,9,0,0,41,19,1,31,56,29,0,2,0,126,63,23,73.3
80,Thierry Ambrose,Metz,6.1,1,0,0,7,9,1,15,3,5,0,0,0,32,23,18,56.1
81,Kelvin Amian,Toulouse,18.1,3,0,0,23,8,0,12,18,21,0,1,0,84,21,21,50.0
82,Nadiem Amiri,Leverkusen,20.6,3,0,0,27,39,3,114,14,16,1,0,0,140,9,17,34.6
