Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Patrick van Aanholt,0,NLD,DF,Crystal Palace,eng Premier League,28.0,1990.0,29.0,29.0,2507.0,27.9,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.11,0.07,0.18,0.07,0.14,2.1,1.3,3.7,5.1,0.08,0.13,0.21,0.05,0.18
Max Aarons,1,GBR,DF,Norwich City,eng Premier League,19.0,2000.0,36.0,36.0,3240.0,36.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,3.9,4.5,0.02,0.11,0.12,0.02,0.12
Yunis Abdelhamid,2,MAR,DF,Reims,fr Ligue 1,31.0,1987.0,28.0,28.0,2520.0,28.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.7,1.7,1.2,2.9,0.06,0.04,0.1,0.06,0.1
Suleiman Abdullahi,3,NGA,"FW,MF",Union Berlin,de Bundesliga,22.0,1996.0,6.0,1.0,157.0,1.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.57,0.0,0.57,0.57,0.57,1.1,1.1,0.2,1.3,0.65,0.09,0.74,0.65,0.74
Mehdi Abeid,4,DZA,MF,Nantes,fr Ligue 1,26.0,1992.0,25.0,20.0,1817.0,20.2,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.1,0.15,0.05,0.15,1.5,1.5,1.8,3.3,0.07,0.09,0.16,0.07,0.16
Charles Abi,5,FRA,FW,Saint-Étienne,fr Ligue 1,19.0,2000.0,15.0,6.0,623.0,6.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.5,0.05,0.17,0.22,0.05,0.22
David Abraham,6,ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,20.0,19.0,1688.0,18.8,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.11,0.0,0.11,0.11,0.11,1.6,1.6,0.1,1.7,0.08,0.01,0.09,0.08,0.09
Tammy Abraham,7,GBR,FW,Chelsea,eng Premier League,21.0,1997.0,34.0,25.0,2215.0,24.6,15.0,3.0,15.0,0.0,0.0,2.0,0.0,0.61,0.12,0.73,0.61,0.73,16.4,16.4,2.7,19.0,0.67,0.11,0.77,0.67,0.77
Amir Abrashi,8,ALB,MF,Freiburg,de Bundesliga,29.0,1990.0,13.0,8.0,663.0,7.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.07,0.02,0.08,0.07,0.08
Francesco Acerbi,9,ITA,DF,Lazio,it Serie A,31.0,1988.0,36.0,36.0,3162.0,35.1,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,1.7,4.2,0.07,0.05,0.12,0.07,0.12
Che Adams,10,SYC,FW,Southampton,eng Premier League,23.0,1996.0,30.0,12.0,1111.0,12.3,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.32,0.16,0.49,0.32,0.49,5.3,5.3,1.7,7.0,0.43,0.14,0.57,0.43,0.57
Tyler Adams,11,USA,"MF,DF",RB Leipzig,de Bundesliga,20.0,1999.0,14.0,10.0,953.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,0.04,0.06,0.1,0.04,0.1
Sargis Adamyan,12,ARM,"FW,MF",Hoffenheim,de Bundesliga,26.0,1993.0,15.0,6.0,746.0,8.3,5.0,1.0,5.0,0.0,0.0,1.0,0.0,0.6,0.12,0.72,0.6,0.72,5.9,5.9,0.6,6.5,0.71,0.08,0.78,0.71,0.78
Antonio Adán,13,ESP,GK,Atlético Madrid,es La Liga,32.0,1987.0,1.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,14,NLD,FW,Lazio,it Serie A,20.0,1999.0,11.0,0.0,188.0,2.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,1.4,1.4,0.2,1.6,0.65,0.09,0.74,0.65,0.74
Claud Adjapong,15,ITA,DF,Hellas Verona,it Serie A,21.0,1998.0,5.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.09,0.0,0.09,0.09,0.09
Amine Adli,16,FRA,"MF,FW",Toulouse,fr Ligue 1,19.0,2000.0,4.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.13,0.13,0.0,0.13
Yacine Adli,17,FRA,MF,Bordeaux,fr Ligue 1,19.0,2000.0,21.0,11.0,1020.0,11.3,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.26,0.26,0.53,0.26,0.53,0.8,0.8,2.2,3.0,0.07,0.19,0.26,0.07,0.26
