,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Adrián,es ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,3.0,270.0,3.0,9.0,3.0,18.0,9.0,50.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
1,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,Premier League,25.0,1995.0,1.0,0.0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2,Alisson,br BRA,GK,Liverpool,Premier League,27.0,1992.0,33.0,33.0,2970.0,33.0,32.0,0.97,115.0,82.0,75.7,18.0,8.0,7.0,10.0,30.3,8.0,4.0,1.0,3.0,20.0
3,Saturnin Allagbé,bj BEN,GK,Dijon,Ligue 1,26.0,1993.0,12.0,12.0,1080.0,12.0,30.0,2.5,66.0,36.0,56.1,2.0,2.0,8.0,3.0,25.0,3.0,1.0,1.0,1.0,50.0
4,Nícolas Andrade,br BRA,GK,Udinese,Serie A,32.0,1988.0,2.0,2.0,180.0,2.0,5.0,2.5,6.0,1.0,16.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,Ángel,es ESP,GK,Granada,La Liga,18.0,2002.0,1.0,1.0,90.0,1.0,2.0,2.0,9.0,6.0,88.9,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0
6,Alphonse Areola,fr FRA,GK,Fulham,Premier League,27.0,1993.0,36.0,36.0,3240.0,36.0,48.0,1.33,161.0,114.0,73.9,5.0,13.0,18.0,9.0,25.0,6.0,6.0,0.0,0.0,0.0
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,25.0,1994.0,7.0,6.0,585.0,6.5,8.0,1.23,23.0,15.0,69.6,2.0,2.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0
8,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,31.0,1989.0,36.0,36.0,3240.0,36.0,40.0,1.11,118.0,79.0,72.0,15.0,13.0,8.0,10.0,27.8,9.0,7.0,1.0,1.0,12.5
9,Emil Audero,it ITA,GK,Sampdoria,Serie A,23.0,1997.0,37.0,37.0,3330.0,37.0,54.0,1.46,173.0,118.0,72.8,14.0,7.0,16.0,6.0,16.2,9.0,7.0,2.0,0.0,22.2
10,Édgar Badía,es ESP,GK,Elche,La Liga,28.0,1992.0,30.0,30.0,2700.0,30.0,46.0,1.53,141.0,92.0,70.9,5.0,11.0,14.0,5.0,16.7,9.0,5.0,3.0,1.0,37.5
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,Ligue 1,18.0,2001.0,1.0,1.0,90.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,
12,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,30.0,1990.0,31.0,31.0,2790.0,31.0,51.0,1.65,132.0,81.0,65.9,10.0,8.0,13.0,6.0,19.4,9.0,6.0,2.0,1.0,25.0
13,Walter Benítez,ar ARG,GK,Nice,Ligue 1,27.0,1993.0,38.0,38.0,3420.0,38.0,53.0,1.39,176.0,123.0,73.9,15.0,7.0,16.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0
14,Alessandro Berardi,it ITA,GK,Hellas Verona,Serie A,29.0,1991.0,1.0,0.0,28.0,0.3,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
15,Paul Bernardoni,fr FRA,GK,Angers,Ligue 1,23.0,1997.0,38.0,38.0,3420.0,38.0,58.0,1.53,139.0,82.0,63.3,12.0,8.0,18.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5
16,Dimitry Bertaud,fr FRA,GK,Montpellier,Ligue 1,22.0,1998.0,9.0,7.0,745.0,8.3,11.0,1.33,42.0,31.0,76.2,4.0,2.0,1.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0
17,Rubén Blanco,es ESP,GK,Celta Vigo,La Liga,25.0,1995.0,19.0,19.0,1637.0,18.2,27.0,1.48,61.0,34.0,57.4,7.0,6.0,6.0,4.0,21.1,1.0,1.0,0.0,0.0,0.0
18,Elias Bördner,de GER,GK,Eint Frankfurt,Bundesliga,18.0,2002.0,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Yassine Bounou,ma MAR,GK,Sevilla,La Liga,29.0,1991.0,33.0,33.0,2970.0,33.0,28.0,0.85,106.0,78.0,77.4,21.0,5.0,7.0,15.0,45.5,6.0,4.0,2.0,0.0,33.3
20,Claudio Bravo,cl CHI,GK,Betis,La Liga,37.0,1983.0,20.0,20.0,1800.0,20.0,25.0,1.25,75.0,50.0,72.0,8.0,8.0,4.0,7.0,35.0,5.0,4.0,1.0,0.0,20.0
21,Fabian Bredlow,de GER,GK,Stuttgart,Bundesliga,25.0,1995.0,1.0,1.0,90.0,1.0,1.0,1.0,9.0,8.0,88.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,Gianluigi Buffon,it ITA,GK,Juventus,Serie A,42.0,1978.0,8.0,8.0,720.0,8.0,5.0,0.62,21.0,15.0,85.7,7.0,1.0,0.0,3.0,37.5,3.0,2.0,1.0,0.0,33.3
23,Roman Bürki,ch SUI,GK,Dortmund,Bundesliga,29.0,1990.0,19.0,18.0,1665.0,18.5,30.0,1.62,92.0,62.0,71.7,9.0,2.0,7.0,4.0,22.2,4.0,4.0,0.0,0.0,0.0
24,Jack Butland,eng ENG,GK,Crystal Palace,Premier League,27.0,1993.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,David Button,eng ENG,GK,West Brom,Premier League,31.0,1989.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,Marcin Bułka,pl POL,GK,Paris S-G,Ligue 1,20.0,1999.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,Willy Caballero,ar ARG,GK,Chelsea,Premier League,38.0,1981.0,1.0,1.0,90.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,Marc-Aurèle Caillard,fr FRA,GK,Metz,Ligue 1,26.0,1994.0,5.0,4.0,361.0,4.0,10.0,2.49,23.0,13.0,69.6,0.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
30,Cárdenas,es ESP,GK,Levante,La Liga,23.0,1997.0,8.0,8.0,720.0,8.0,11.0,1.37,39.0,28.0,71.8,1.0,3.0,4.0,1.0,12.5,1.0,0.0,0.0,1.0,
31,Scott Carson,eng ENG,GK,Manchester City,Premier League,34.0,1985.0,1.0,1.0,90.0,1.0,3.0,3.0,5.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0
32,Kiko Casilla,es ESP,GK,Leeds United,Premier League,33.0,1986.0,3.0,3.0,270.0,3.0,2.0,0.67,10.0,8.0,80.0,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
33,Koen Casteels,be BEL,GK,Wolfsburg,Bundesliga,28.0,1992.0,32.0,32.0,2880.0,32.0,33.0,1.03,108.0,74.0,72.2,17.0,9.0,6.0,14.0,43.8,5.0,3.0,2.0,0.0,40.0
34,Sébastien Cibois,fr FRA,GK,Brest,Ligue 1,22.0,1998.0,3.0,3.0,270.0,3.0,4.0,1.33,11.0,7.0,72.7,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
35,Alberto Cifuentes,es ESP,GK,Cádiz,La Liga,41.0,1979.0,2.0,2.0,180.0,2.0,3.0,1.5,6.0,2.0,50.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,
36,Jasper Cillessen,nl NED,GK,Valencia,La Liga,31.0,1989.0,10.0,10.0,900.0,10.0,11.0,1.1,45.0,33.0,77.8,5.0,1.0,4.0,3.0,30.0,2.0,1.0,1.0,0.0,50.0
37,Simone Colombi,it ITA,GK,Parma,Serie A,29.0,1991.0,2.0,2.0,180.0,2.0,7.0,3.5,10.0,3.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,Andrea Consigli,it ITA,GK,Sassuolo,Serie A,33.0,1987.0,37.0,37.0,3330.0,37.0,56.0,1.51,185.0,129.0,71.9,17.0,10.0,10.0,7.0,18.9,5.0,4.0,1.0,0.0,20.0
39,Alex Cordaz,it ITA,GK,Crotone,Serie A,37.0,1983.0,36.0,36.0,3240.0,36.0,91.0,2.53,207.0,118.0,58.5,6.0,3.0,27.0,2.0,5.6,5.0,5.0,0.0,0.0,0.0
40,Angelo da Costa Júnior,br BRA,GK,Bologna,Serie A,36.0,1983.0,6.0,6.0,540.0,6.0,9.0,1.5,27.0,18.0,70.4,0.0,5.0,1.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0
41,Benoît Costil,fr FRA,GK,Bordeaux,Ligue 1,33.0,1987.0,38.0,38.0,3420.0,38.0,56.0,1.47,156.0,100.0,68.6,13.0,6.0,19.0,14.0,36.8,8.0,7.0,1.0,0.0,12.5
42,Thibaut Courtois,be BEL,GK,Real Madrid,La Liga,28.0,1992.0,38.0,38.0,3420.0,38.0,28.0,0.74,116.0,88.0,81.9,25.0,9.0,4.0,17.0,44.7,8.0,7.0,1.0,0.0,12.5
43,Alessio Cragno,it ITA,GK,Cagliari,Serie A,26.0,1994.0,34.0,34.0,3060.0,34.0,53.0,1.56,182.0,129.0,73.6,6.0,10.0,18.0,6.0,17.6,5.0,5.0,0.0,0.0,0.0
44,Gian Crespi,it ITA,GK,Crotone,Serie A,19.0,2001.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
45,Finn Dahmen,de GER,GK,Mainz 05,Bundesliga,22.0,1998.0,3.0,3.0,270.0,3.0,10.0,3.33,20.0,10.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
46,Karl Darlow,eng ENG,GK,Newcastle Utd,Premier League,29.0,1990.0,25.0,25.0,2250.0,25.0,43.0,1.72,126.0,84.0,68.3,7.0,4.0,14.0,4.0,16.0,4.0,3.0,1.0,0.0,25.0
47,Yehvann Diouf,fr FRA,GK,Reims,Ligue 1,20.0,1999.0,2.0,1.0,135.0,1.5,1.0,0.67,6.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
48,Marko Dmitrović,rs SRB,GK,Eibar,La Liga,28.0,1992.0,35.0,35.0,3120.0,34.7,49.0,1.41,129.0,79.0,64.3,6.0,11.0,18.0,9.0,25.7,5.0,3.0,1.0,1.0,25.0
49,Jaume Doménech,es ESP,GK,Valencia,La Liga,29.0,1990.0,28.0,28.0,2520.0,28.0,42.0,1.5,130.0,88.0,70.8,5.0,12.0,11.0,4.0,14.3,6.0,4.0,2.0,0.0,33.3
50,Gianluigi Donnarumma,it ITA,GK,Milan,Serie A,21.0,1999.0,37.0,37.0,3330.0,37.0,38.0,1.03,126.0,88.0,71.4,24.0,6.0,7.0,14.0,37.8,4.0,2.0,1.0,1.0,33.3
52,Bartłomiej Drągowski,pl POL,GK,Fiorentina,Serie A,22.0,1997.0,36.0,36.0,3148.0,35.0,55.0,1.57,141.0,85.0,66.7,9.0,12.0,15.0,7.0,19.4,10.0,8.0,2.0,0.0,20.0
53,Matthieu Dreyer,fr FRA,GK,Lorient,Ligue 1,31.0,1989.0,15.0,15.0,1350.0,15.0,25.0,1.67,56.0,32.0,66.1,5.0,5.0,5.0,2.0,13.3,6.0,6.0,0.0,0.0,0.0
54,Martin Dúbravka,sk SVK,GK,Newcastle Utd,Premier League,31.0,1989.0,13.0,13.0,1170.0,13.0,19.0,1.46,62.0,44.0,71.0,5.0,5.0,3.0,3.0,23.1,1.0,1.0,0.0,0.0,0.0
