,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,1164.0,959.0,192.0,31.0,0.0,4.0,40.0,159.0,2.0,0.0,2.0,0.0,906.0,13.0,26.0
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,0.2,15.0,12.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,1762.0,1697.0,60.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,5.0,10.0
4,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,14.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
5,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,718.0,662.0,52.0,33.0,0.0,9.0,40.0,5.0,14.0,7.0,7.0,0.0,605.0,4.0,7.0
6,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,1564.0,1521.0,38.0,31.0,1.0,11.0,26.0,7.0,0.0,0.0,0.0,0.0,1288.0,5.0,34.0
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,10.1,202.0,192.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,10.0
8,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,681.0,653.0,27.0,25.0,0.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,521.0,1.0,2.0
10,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,678.0,616.0,59.0,17.0,0.0,10.0,13.0,42.0,0.0,0.0,0.0,0.0,558.0,3.0,7.0
11,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,211.0,195.0,16.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,9.0
12,Amir Abrashi,al ALB,"MF,DF",Freiburg,Bundesliga,30.0,1990.0,0.7,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,Serie A,26.0,1994.0,4.9,223.0,216.0,5.0,4.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,185.0,2.0,1.0
14,Francesco Acerbi,it ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,2097.0,1974.0,119.0,73.0,0.0,24.0,32.0,22.0,0.0,0.0,0.0,0.0,1854.0,4.0,11.0
15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,32.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0
16,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,1767.0,1487.0,277.0,46.0,0.0,21.0,119.0,206.0,25.0,2.0,20.0,0.0,1415.0,3.0,30.0
17,Che Adams,sct SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,622.0,615.0,2.0,1.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,431.0,5.0,19.0
18,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,21.0,1999.0,20.6,1375.0,1273.0,100.0,22.0,0.0,2.0,19.0,78.0,0.0,0.0,0.0,0.0,1173.0,2.0,17.0
19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,27.0,1993.0,5.3,156.0,151.0,5.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,103.0,0.0,10.0
20,Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,1918.0,1872.0,42.0,35.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,1647.0,4.0,11.0
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,La Liga,21.0,1999.0,0.4,10.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
22,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,1631.0,1559.0,65.0,40.0,6.0,25.0,53.0,6.0,18.0,7.0,8.0,0.0,1327.0,7.0,22.0
23,Andrea Adorante,it ITA,FW,Parma,Serie A,20.0,2000.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
