,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Adrian,Liverpool,3,3,270,3.0,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,0.0
1,Runar Alex Runarsson,Arsenal,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,0.0,0,0,0,0,0.0
2,Alisson,Liverpool,33,33,2970,33.0,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0
3,Saturnin Allagbe,Dijon,12,12,1080,12.0,30,2.50,66,36,56.1,2,2,8,3,25.0,3,1,1,1,50.0
4,Nicolas Andrade,Udinese,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,0.0
5,Angel,Granada,1,1,90,1.0,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0
6,Alphonse Areola,Fulham,36,36,3240,36.0,48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0
7,Kepa Arrizabalaga,Chelsea,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0
8,Sergio Asenjo,Villarreal,36,36,3240,36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5
9,Emil Audero,Sampdoria,37,37,3330,37.0,54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,0,22.2
10,Edgar Badia,Elche,30,30,2700,30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5
11,Stefan Bajic,Saint-Étienne,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,0.0
12,Oliver Baumann,Hoffenheim,31,31,2790,31.0,51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0
13,Walter Benitez,Nice,38,38,3420,38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0
14,Alessandro Berardi,Hellas Verona,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
15,Paul Bernardoni,Angers,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5
16,Dimitry Bertaud,Montpellier,9,7,745,8.3,11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,0.0
17,Ruben Blanco,Celta Vigo,19,19,1637,18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0
18,Elias Bordner,Eint Frankfurt,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,0.0
19,Yassine Bounou,Sevilla,33,33,2970,33.0,28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3
20,Claudio Bravo,Betis,20,20,1800,20.0,25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0
21,Fabian Bredlow,Stuttgart,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,0.0
22,Gianluigi Buffon,Juventus,8,8,720,8.0,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3
23,Roman Burki,Dortmund,19,18,1665,18.5,30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0
24,Jack Butland,Crystal Palace,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,0.0
26,David Button,West Brom,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,0.0
27,Marcin Bulka,Paris S-G,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,0.0
28,Willy Caballero,Chelsea,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0
29,Marc-Aurele Caillard,Metz,5,4,361,4.0,10,2.49,23,13,69.6,0,1,3,0,0.0,3,3,0,0,0.0
30,Cardenas,Levante,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,0.0
31,Scott Carson,Manchester City,1,1,90,1.0,3,3.00,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0
32,Kiko Casilla,Leeds United,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,0.0
33,Koen Casteels,Wolfsburg,32,32,2880,32.0,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0
34,Sebastien Cibois,Brest,3,3,270,3.0,4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,0.0
35,Alberto Cifuentes,Cádiz,2,2,180,2.0,3,1.50,6,2,50.0,1,0,1,1,50.0,0,0,0,0,0.0
36,Jasper Cillessen,Valencia,10,10,900,10.0,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0
37,Simone Colombi,Parma,2,2,180,2.0,7,3.50,10,3,40.0,0,0,2,0,0.0,1,1,0,0,0.0
38,Andrea Consigli,Sassuolo,37,37,3330,37.0,56,1.51,185,129,71.9,17,10,10,7,18.9,5,4,1,0,20.0
39,Alex Cordaz,Crotone,36,36,3240,36.0,91,2.53,207,118,58.5,6,3,27,2,5.6,5,5,0,0,0.0
40,Angelo da Costa Junior,Bologna,6,6,540,6.0,9,1.50,27,18,70.4,0,5,1,1,16.7,1,1,0,0,0.0
41,Benoit Costil,Bordeaux,38,38,3420,38.0,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5
42,Thibaut Courtois,Real Madrid,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5
43,Alessio Cragno,Cagliari,34,34,3060,34.0,53,1.56,182,129,73.6,6,10,18,6,17.6,5,5,0,0,0.0
44,Gian Crespi,Crotone,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,0.0
45,Finn Dahmen,Mainz 05,3,3,270,3.0,10,3.33,20,10,55.0,1,0,2,0,0.0,1,1,0,0,0.0
46,Karl Darlow,Newcastle Utd,25,25,2250,25.0,43,1.72,126,84,68.3,7,4,14,4,16.0,4,3,1,0,25.0
47,Yehvann Diouf,Reims,2,1,135,1.5,1,0.67,6,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0
