,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,Strasbourg,2,11,6,0.3,0.1,0,0.0,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81
1,Patrick van Aanholt,Crystal Palace,22,1777,81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,-0.13
2,Issah Abbas,Mainz 05,2,18,9,0.6,0.2,0,0.0,0,2,9,5,0.00,0,0,0,0.00,+0.50,0.9,0.0,+0.9,+4.36,+4.45
3,Basit Abdallah,Benevento,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Yunis Abdelhamid,Reims,33,2889,88,84.5,32.1,33,88,32,0,0.0,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20
5,Sabit Abdulai,Getafe,3,60,20,1.8,0.7,0,0.0,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51
6,Eris Abedini,Granada,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mehdi Abeid,Nantes,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54
8,Laurent Abergel,Lorient,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52
9,Charles Abi,Saint-Étienne,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03
10,Matthis Abline,Rennes,1,2,2,0.1,0.0,0,0.0,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50
11,Pape Abou Cisse,Saint-Étienne,14,1260,90,36.8,14.0,14,90,14,0,0.0,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10
12,Abdel Abqar,Alavés,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,David Abraham,Eint Frankfurt,14,1222,87,39.9,13.6,14,87,12,0,0.0,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55
14,Tammy Abraham,Chelsea,22,1040,47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,20.0,8.2,+11.8,+1.02,+0.25
15,Amir Abrashi,Freiburg,5,60,12,2.0,0.7,0,0.0,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24
16,Gennaro Acampora,Spezia,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18
17,Francesco Acerbi,Lazio,32,2813,88,82.3,31.3,32,88,30,0,0.0,0,1.88,51,44,+7,+0.22,+0.37,48.6,39.2,+9.3,+0.30,+0.08
18,Ragnar Ache,Eint Frankfurt,7,100,14,3.3,1.1,0,0.0,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58
19,Marcos Acuna,Sevilla,30,2330,78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48
20,Che Adams,Southampton,36,2667,74,78.0,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.1,37.4,-5.3,-0.18,+0.60
21,Tyler Adams,RB Leipzig,27,1850,69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36
22,Sargis Adamyan,Hoffenheim,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20
23,Tosin Adarabioyo,Fulham,33,2953,89,86.3,32.8,33,89,32,0,0.0,1,0.85,24,41,-17,-0.52,+1.22,35.8,46.2,-10.4,-0.32,+0.01
24,Enzo Adeagbo,Lazio,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bobby Adekanye,Lazio,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Bobby Adekanye,Cádiz,3,36,12,1.1,0.4,0,0.0,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.9,0.5,+0.4,+0.91,+1.47
28,Yacine Adli,Bordeaux,35,2418,69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24
29,Andrea Adorante,Parma,1,10,10,0.3,0.1,0,0.0,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,0.0,0.9,-0.8,-7.55,-7.08
30,Adrian,Liverpool,3,270,90,7.9,3.0,3,90,3,0,0.0,27,1.33,6,9,-3,-1.00,-1.83,7.1,4.6,+2.4,+0.81,+0.17
31,Martin Agirregabiria,Alavés,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,16.7,26.0,-9.3,-0.54,-0.63
32,Giuseppe Agostino,Genoa,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Lucien Agoume,Spezia,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,12.6,16.1,-3.5,-0.39,+0.13
34,Felix Agu,Werder Bremen,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.7,14.8,-6.1,-0.78,-0.24
35,Kevin Agudelo,Spezia,29,1356,47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,19.7,22.7,-3.0,-0.20,+0.48
36,Nayef Aguerd,Rennes,35,3147,90,92.0,35.0,35,90,34,0,0.0,0,1.54,46,36,+10,+0.29,-0.37,41.7,35.0,+6.7,+0.19,-0.79
37,Sergio Aguero,Manchester City,12,559,47,16.3,6.2,7,69,2,5,16,7,2.42,11,4,+7,+1.13,-0.26,10.9,4.5,+6.4,+1.03,+0.04
38,Ruben Aguilar,Monaco,33,2225,67,65.1,24.7,27,79,15,6,14,2,1.97,37,30,+7,+0.28,-1.75,38.2,24.8,+13.4,+0.54,-1.02
39,Naouirou Ahamada,Stuttgart,6,252,42,8.2,2.8,3,43,0,3,41,6,0.50,3,12,-9,-3.21,-3.53,4.9,7.0,-2.1,-0.75,-0.79
40,Soren Ahlers,Schalke 04,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Matteo Ahlinvi,Nîmes,20,899,45,26.3,10.0,10,77,5,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.2,21.8,-12.6,-1.26,-0.96
42,Jean-Eudes Aholou,Strasbourg,27,2146,79,62.7,23.8,26,82,14,1,17,0,1.19,34,38,-4,-0.17,+0.19,34.0,35.3,-1.2,-0.05,-0.29
43,Jean-Eudes Aholou,Monaco,2,36,18,1.1,0.4,0,0.0,0,2,18,1,2.00,0,0,0,0.00,-0.90,0.2,0.5,-0.4,-0.93,-1.85
44,Antonis Aidonis,Stuttgart,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Joseph Aidoo,Celta Vigo,25,1289,52,37.7,14.3,14,80,11,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.1,19.1,+1.0,+0.07,+0.14
46,Ola Aina,Fulham,31,2664,86,77.9,29.6,31,86,24,0,0.0,4,0.84,22,36,-14,-0.47,+0.96,30.4,42.0,-11.6,-0.39,-0.33
47,Rayan Ait Nouri,Wolves,21,1404,67,41.1,15.6,16,83,10,5,15,8,1.00,16,23,-7,-0.45,-0.05,15.1,18.5,-3.5,-0.22,+0.20
48,Rayan Ait Nouri,Angers,3,187,62,5.5,2.1,2,80,0,1,28,0,1.00,3,8,-5,-2.41,-2.04,2.0,5.7,-3.7,-1.79,-1.60
49,Semi Ajayi,West Brom,33,2780,84,81.3,30.9,31,88,30,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.1,58.7,-32.6,-1.06,-1.13
50,Ludovic Ajorque,Strasbourg,35,2967,85,86.8,33.0,34,87,28,1,25,1,1.20,46,49,-3,-0.09,+1.10,48.7,45.0,+3.7,+0.11,+0.43
52,Manuel Akanji,Dortmund,28,2350,84,76.8,26.1,26,89,23,2,25,0,1.82,60,37,+23,+0.88,+0.12,53.4,30.9,+22.5,+0.86,+0.59
53,Carlos Akapo,Cádiz,13,865,67,25.3,9.6,10,74,7,3,41,14,1.46,10,8,+2,+0.21,+1.05,8.7,10.2,-1.5,-0.15,+0.52
54,Marley Ake,Juventus,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Marley Ake,Marseille,9,146,16,4.3,1.6,0,0.0,0,9,16,11,1.56,3,3,0,0.00,-0.19,3.1,3.4,-0.4,-0.23,-0.23
56,Nathan Ake,Manchester City,10,797,80,23.3,8.9,9,86,8,1,20,7,1.70,16,13,+3,+0.34,-1.31,15.6,9.4,+6.2,+0.70,-0.39
57,Paul Akouokou,Betis,10,378,38,11.1,4.2,4,75,1,6,13,21,1.50,6,3,+3,+0.71,+0.80,7.3,4.3,+3.0,+0.71,+0.73
58,Jean-Daniel Akpa-Akpro,Lazio,32,1056,33,30.9,11.7,6,83,2,26,22,4,2.00,18,15,+3,+0.26,+0.14,15.0,13.8,+1.2,+0.11,-0.26
59,Kevin Akpoguma,Hoffenheim,16,1184,74,38.7,13.2,14,83,10,2,14,2,1.06,21,22,-1,-0.08,-0.03,20.0,22.7,-2.7,-0.20,-0.27
60,David Alaba,Bayern Munich,32,2675,84,87.4,29.7,30,88,27,2,23,0,2.25,82,43,+39,+1.31,-2.43,62.7,37.5,+25.2,+0.85,-1.62
61,Sofiane Alakouch,Nîmes,22,1505,68,44.0,16.7,17,84,9,5,17,9,0.77,22,34,-12,-0.72,+0.18,19.8,28.4,-8.6,-0.51,+0.07
62,Jony Alamo,Elche,1,73,73,2.1,0.8,1,73,0,0,0.0,15,1.00,2,1,+1,+1.23,+1.82,0.6,0.8,-0.2,-0.29,+0.54
