,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Ismael Aaneba,Strasbourg,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Patrick van Aanholt,Crystal Palace,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0
2,Issah Abbas,Mainz 05,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Yunis Abdelhamid,Reims,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0
4,Sabit Abdulai,Getafe,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Mehdi Abeid,Nantes,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0
6,Laurent Abergel,Lorient,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0
7,Charles Abi,Saint-Étienne,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0
8,Matthis Abline,Rennes,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Pape Abou Cisse,Saint-Étienne,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0
10,David Abraham,Eint Frankfurt,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0
11,Tammy Abraham,Chelsea,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0
12,Amir Abrashi,Freiburg,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Gennaro Acampora,Spezia,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
14,Francesco Acerbi,Lazio,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0
15,Ragnar Ache,Eint Frankfurt,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Marcos Acuna,Sevilla,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0
