,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,32.0,46.0,1.44,34.0,3.0,2.0,3.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,33.1,22.0,0.66,17.0,0.0,2.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,27.4,50.0,1.83,41.0,0.0,0.0,4.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,32.8,83.0,2.53,67.0,2.0,3.0,1.0,7.0,3.0,9.0,0.27,8.0,0.0,0.0,0.0,1.0,0.0
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,8.1,15.0,1.85,10.0,0.0,0.0,2.0,2.0,1.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,34.3,94.0,2.74,62.0,1.0,6.0,17.0,7.0,1.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,6.2,3.0,0.48,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,28.2,17.0,0.61,13.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,Bundesliga,23.0,1998.0,2.9,8.0,2.78,4.0,0.0,1.0,2.0,1.0,0.0,1.0,0.35,0.0,0.0,0.0,1.0,0.0,0.0
11,Mohamed Achi,fr FRA,MF,Nantes,Ligue 1,19.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29.0,1991.0,25.1,75.0,2.99,48.0,19.0,2.0,3.0,3.0,0.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0
13,Che Adams,sct SCO,FW,Southampton,Premier League,25.0,1996.0,22.7,51.0,2.25,32.0,0.0,2.0,4.0,11.0,2.0,5.0,0.22,3.0,0.0,1.0,0.0,0.0,1.0
14,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,22.0,1999.0,15.0,26.0,1.73,23.0,1.0,1.0,1.0,0.0,0.0,4.0,0.27,4.0,0.0,0.0,0.0,0.0,0.0
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,28.0,1993.0,3.7,11.0,2.98,8.0,0.0,2.0,0.0,0.0,1.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0
