Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Playing Time - Mn/MP,Playing Time - Min%,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
Max Aarons,0,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,34.0,32.0,2881.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,1.7,2.5,78.0,117.0,85.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,32.0,0.0,13.0,2.0,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0.0,0.0,0.06,-0.8,-0.8,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2.0,1.7,1.7,0.3,20.0,50.0,37.0,9.0,117.0,1469.0,1130.0,332.0,17.0,5.0,4.0,50.0,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0,46.0,1.44,34.0,3.0,2.0,3.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,64.0,44.0,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28.0,92.0,96.0,1.0,1841.0,160.0,721.0,703.0,440.0,23.0,1841.0,68.0,34.0,50.0,34.0,50.0,953.0,6454.0,3377.0,78.0,47.0,12.0,38.0,23.0,1030.0,85.0,85.0,84.2,32.0,89.0,29.0,2.0,22.0,2.0,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35,0.0,27.0,52.0,1.0,50.0,28.0,44.0,0.0,2.0,1.0,154.0,13.0,50.0,20.6,,,,,,,,,,,,,,,
Yunis Abdelhamid,1,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,34.0,34.0,2983.0,33.1,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.2,1.2,0.8,2.0,23.0,119.0,14.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,33.1,2.0,18.0,6.0,33.3,0.54,0.18,0.11,0.33,18.3,0.0,0.0,0.0,0.07,0.8,0.8,1284.0,1578.0,81.4,25516.0,9586.0,415.0,469.0,88.5,715.0,787.0,90.9,145.0,266.0,54.5,0.0,0.8,0.6,-0.8,9.0,95.0,7.0,0.0,119.0,1578.0,1471.0,101.0,89.0,0.0,32.0,4.0,9.0,0.0,0.0,0.0,0.0,1284.0,6.0,26.0,22.0,0.66,17.0,0.0,2.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,48.0,27.0,34.0,14.0,0.0,16.0,32.0,50.0,16.0,50.0,25.0,25.0,68.0,116.0,104.0,0.0,1919.0,212.0,1017.0,843.0,84.0,24.0,1919.0,18.0,14.0,77.8,4.0,22.2,1194.0,6451.0,3558.0,23.0,19.0,0.0,28.0,13.0,1202.0,14.0,88.0,87.2,34.0,88.0,33.0,0.0,,0.0,1.12,38.0,41.0,-3.0,-0.09,-0.5,31.8,41.3,-9.5,-0.29,-0.46,0.0,39.0,25.0,0.0,4.0,68.0,27.0,0.0,1.0,0.0,195.0,62.0,38.0,62.0,,,,,,,,,,,,,,,
Salis Abdul Samed,2,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,31.0,29.0,2462.0,27.4,1.0,0.0,1.0,1.0,0.0,0.0,12.0,3.0,0.7,0.7,0.9,1.6,24.0,108.0,47.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,27.4,1.0,18.0,5.0,27.8,0.66,0.18,0.06,0.2,21.5,0.0,0.0,0.0,0.04,0.3,0.3,1535.0,1701.0,90.2,25518.0,5456.0,748.0,805.0,92.9,655.0,699.0,93.7,108.0,129.0,83.7,0.0,0.9,0.8,-0.9,17.0,87.0,13.0,1.0,108.0,1701.0,1678.0,21.0,17.0,1.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,1535.0,2.0,29.0,50.0,1.83,41.0,0.0,0.0,4.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,43.0,23.0,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42.0,85.0,15.0,0.0,1948.0,39.0,557.0,1146.0,261.0,16.0,1948.0,41.0,26.0,63.4,15.0,36.6,1386.0,6570.0,2687.0,24.0,23.0,3.0,42.0,30.0,1481.0,47.0,79.0,72.0,29.0,82.0,19.0,2.0,38.0,1.0,1.1,26.0,44.0,-18.0,-0.66,0.56,28.9,36.2,-7.3,-0.27,-0.2,2.0,43.0,37.0,0.0,14.0,42.0,23.0,0.0,0.0,0.0,186.0,17.0,20.0,45.9,,,,,,,,,,,,,,,
Laurent Abergel,3,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,34.0,34.0,2956.0,32.8,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.5,1.5,3.7,5.1,30.0,171.0,73.0,0.0,0.06,0.06,0.0,0.06,0.04,0.11,0.16,0.04,0.16,32.8,0.0,29.0,7.0,24.1,0.88,0.21,0.0,0.0,24.2,0.0,0.0,0.0,0.05,-1.5,-1.5,1342.0,1660.0,80.8,23767.0,6837.0,606.0,679.0,89.2,535.0,620.0,86.3,152.0,236.0,64.4,2.0,3.7,2.6,-1.7,35.0,147.0,23.0,9.0,171.0,1660.0,1617.0,35.0,25.0,7.0,21.0,37.0,8.0,2.0,0.0,1.0,0.0,1342.0,8.0,49.0,83.0,2.53,67.0,2.0,3.0,1.0,7.0,3.0,9.0,0.27,8.0,0.0,0.0,0.0,1.0,0.0,110.0,60.0,44.0,53.0,13.0,71.0,166.0,42.8,95.0,58.0,1.0,57.0,55.0,165.0,13.0,0.0,2032.0,24.0,404.0,1298.0,357.0,13.0,2032.0,61.0,39.0,63.9,22.0,36.1,1311.0,5629.0,2353.0,30.0,39.0,3.0,52.0,40.0,1410.0,73.0,87.0,86.4,34.0,87.0,26.0,0.0,,0.0,0.82,27.0,59.0,-32.0,-0.97,-1.75,35.5,45.7,-10.2,-0.31,-0.5,0.0,41.0,69.0,1.0,37.0,55.0,60.0,0.0,0.0,0.0,264.0,11.0,7.0,61.1,,,,,,,,,,,,,,,
Charles Abi,4,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,3.0,7.0,42.9,46.0,0.0,2.0,3.0,66.7,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,8.0,1.0,12.0,0.0,0.0,,0.0,,7.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,9.0,4.0,45.0,1.3,1.0,45.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.93,0.5,0.3,0.2,0.4,0.94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
Dickson Abiama,5,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,24.0,5.0,726.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.8,1.8,1.3,3.2,14.0,17.0,38.0,0.0,0.12,0.12,0.0,0.12,0.23,0.16,0.39,0.23,0.39,8.1,0.0,18.0,4.0,22.2,2.23,0.5,0.0,0.0,16.7,0.0,0.0,0.0,0.1,-1.8,-1.8,84.0,137.0,61.3,1009.0,278.0,53.0,78.0,67.9,23.0,36.0,63.9,1.0,3.0,33.3,1.0,1.3,0.6,-0.3,7.0,5.0,6.0,0.0,17.0,137.0,129.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,6.0,15.0,1.85,10.0,0.0,0.0,2.0,2.0,1.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,11.0,7.0,4.0,5.0,2.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,4.0,15.0,8.0,0.0,246.0,6.0,24.0,108.0,115.0,23.0,246.0,20.0,7.0,35.0,13.0,65.0,131.0,629.0,266.0,14.0,5.0,6.0,29.0,10.0,160.0,38.0,30.0,23.7,5.0,79.0,2.0,19.0,17.0,8.0,0.46,8.0,29.0,-21.0,-2.6,-1.33,6.6,17.6,-11.0,-1.36,-0.62,0.0,17.0,11.0,15.0,3.0,4.0,7.0,0.0,0.0,0.0,28.0,19.0,30.0,38.8,,,,,,,,,,,,,,,
Matthis Abline,6,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,7.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,1.1,0.0,2.0,0.0,0.0,1.75,0.0,0.0,,9.5,0.0,0.0,0.0,0.14,-0.3,-0.3,7.0,9.0,77.8,72.0,15.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,20.0,1.0,1.0,6.0,13.0,3.0,20.0,6.0,3.0,50.0,3.0,50.0,11.0,55.0,17.0,1.0,1.0,0.0,1.0,3.0,12.0,6.0,15.0,3.0,1.0,45.0,0.0,6.0,10.0,9.0,1.14,0.0,1.0,-1.0,-0.87,-2.04,0.9,1.8,-1.0,-0.86,-1.42,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,
Tammy Abraham,7,eng ENG,FW,Roma,Serie A,23.0,1997.0,37.0,36.0,3084.0,34.3,17.0,4.0,21.0,14.0,3.0,3.0,9.0,0.0,20.7,18.4,4.8,23.2,41.0,70.0,199.0,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68,34.3,17.0,92.0,35.0,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3.0,3.0,0.2,-3.7,-4.4,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,4.0,4.8,2.4,-0.8,38.0,35.0,27.0,3.0,70.0,696.0,627.0,67.0,6.0,5.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,485.0,2.0,20.0,94.0,2.74,62.0,1.0,6.0,17.0,7.0,1.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,32.0,27.0,0.0,1064.0,32.0,73.0,508.0,495.0,173.0,1061.0,77.0,38.0,49.4,39.0,50.6,494.0,2592.0,1129.0,41.0,31.0,22.0,86.0,41.0,736.0,199.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,38.0,49.0,17.0,16.0,5.0,13.0,1.0,1.0,0.0,68.0,78.0,80.0,49.4,,,,,,,,,,,,,,,
Luis Abram,8,pe PER,DF,Granada,La Liga,25.0,1996.0,8.0,6.0,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,6.2,0.0,2.0,0.0,0.0,0.32,0.0,0.0,,9.0,0.0,0.0,0.0,0.14,-0.3,-0.3,191.0,226.0,84.5,3666.0,1177.0,56.0,67.0,83.6,113.0,119.0,95.0,18.0,28.0,64.3,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,226.0,216.0,9.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,191.0,1.0,4.0,3.0,0.48,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,3.0,0.0,2.0,4.0,50.0,2.0,6.0,5.0,1.0,5.0,11.0,37.0,1.0,286.0,45.0,178.0,106.0,5.0,4.0,286.0,0.0,0.0,,0.0,,149.0,760.0,487.0,1.0,0.0,0.0,0.0,0.0,180.0,1.0,70.0,16.4,6.0,80.0,4.0,2.0,39.0,12.0,1.38,8.0,5.0,3.0,0.48,1.11,5.2,7.2,-1.9,-0.31,0.33,0.0,5.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,14.0,7.0,14.0,33.3,,,,,,,,,,,,,,,
Francesco Acerbi,9,it ITA,DF,Lazio,Serie A,33.0,1988.0,30.0,29.0,2536.0,28.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,2.4,2.4,0.5,2.9,31.0,119.0,10.0,0.14,0.0,0.14,0.14,0.14,0.09,0.02,0.1,0.09,0.1,28.2,4.0,15.0,7.0,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0.0,0.0,0.16,1.6,1.6,1837.0,2043.0,89.9,34996.0,12273.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,0.0,0.5,0.8,-0.5,5.0,119.0,6.0,0.0,119.0,2043.0,1955.0,87.0,77.0,1.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,1837.0,1.0,6.0,17.0,0.61,13.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,59.0,92.0,0.0,2295.0,268.0,1102.0,1143.0,59.0,22.0,2295.0,6.0,4.0,66.7,2.0,33.3,1364.0,6893.0,4301.0,31.0,19.0,0.0,13.0,4.0,1641.0,10.0,85.0,74.2,29.0,87.0,27.0,1.0,7.0,0.0,1.67,59.0,48.0,11.0,0.39,-0.42,38.1,35.9,2.1,0.08,-0.48,0.0,18.0,16.0,4.0,3.0,34.0,12.0,1.0,0.0,0.0,162.0,69.0,43.0,61.6,,,,,,,,,,,,,,,
