Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Max Aarons,0,GBR,DF,Norwich City,eng Premier League,21.0,2000.0,34.0,32.0,2881.0,32.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,1.6,2.5,0.03,0.05,0.08,0.03,0.08,0,GBR,DF,Norwich City,eng Premier League,21.0,2000.0,32.0,0.0,13.0,2.0,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9
Yunis Abdelhamid,1,MAR,DF,Reims,fr Ligue 1,33.0,1987.0,34.0,34.0,2983.0,33.1,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,1.5,1.5,0.9,2.4,0.04,0.03,0.07,0.04,0.07,1,MAR,DF,Reims,fr Ligue 1,33.0,1987.0,33.1,2.0,18.0,6.0,33.3,0.54,0.18,0.11,0.33,18.3,0.0,0.0,0.0,1.5,1.5,0.08,0.5,0.5
Salis Abdul Samed,2,GHA,MF,Clermont Foot,fr Ligue 1,21.0,2000.0,31.0,29.0,2462.0,27.4,1.0,0.0,1.0,0.0,0.0,12.0,3.0,0.04,0.0,0.04,0.04,0.04,1.1,1.1,1.0,2.0,0.04,0.04,0.07,0.04,0.07,2,GHA,MF,Clermont Foot,fr Ligue 1,21.0,2000.0,27.4,1.0,18.0,5.0,27.8,0.66,0.18,0.06,0.2,21.5,0.0,0.0,0.0,1.1,1.1,0.06,-0.1,-0.1
Laurent Abergel,3,FRA,MF,Lorient,fr Ligue 1,28.0,1993.0,34.0,34.0,2956.0,32.8,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.06,0.06,0.0,0.06,2.1,2.1,4.4,6.4,0.06,0.13,0.2,0.06,0.2,3,FRA,MF,Lorient,fr Ligue 1,28.0,1993.0,32.8,0.0,29.0,7.0,24.1,0.88,0.21,0.0,0.0,24.2,0.0,0.0,0.0,2.1,2.1,0.07,-2.1,-2.1
Charles Abi,4,FRA,FW,Saint-Étienne,fr Ligue 1,21.0,2000.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,FRA,FW,Saint-Étienne,fr Ligue 1,21.0,2000.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Dickson Abiama,5,NGA,FW,Greuther Fürth,de Bundesliga,22.0,1998.0,24.0,5.0,726.0,8.1,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,2.1,2.1,1.4,3.5,0.26,0.17,0.43,0.26,0.43,5,NGA,FW,Greuther Fürth,de Bundesliga,22.0,1998.0,8.1,0.0,18.0,4.0,22.2,2.23,0.5,0.0,0.0,16.7,0.0,0.0,0.0,2.1,2.1,0.12,-2.1,-2.1
Matthis Abline,6,FRA,FW,Rennes,fr Ligue 1,18.0,2003.0,7.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.49,0.0,0.49,0.49,0.49,6,FRA,FW,Rennes,fr Ligue 1,18.0,2003.0,1.1,0.0,2.0,0.0,0.0,1.75,0.0,0.0,,9.5,0.0,0.0,0.0,0.6,0.6,0.28,-0.6,-0.6
Tammy Abraham,7,GBR,FW,Roma,it Serie A,23.0,1997.0,37.0,36.0,3084.0,34.3,17.0,4.0,14.0,3.0,3.0,9.0,0.0,0.5,0.12,0.61,0.41,0.53,19.2,16.8,4.9,21.8,0.56,0.14,0.7,0.49,0.63,7,GBR,FW,Roma,it Serie A,23.0,1997.0,34.3,17.0,92.0,35.0,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3.0,3.0,19.2,16.8,0.18,-2.2,-2.8
Luis Abram,8,PER,DF,Granada,es La Liga,25.0,1996.0,8.0,6.0,560.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04,8,PER,DF,Granada,es La Liga,25.0,1996.0,6.2,0.0,2.0,0.0,0.0,0.32,0.0,0.0,,9.0,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2
Francesco Acerbi,9,ITA,DF,Lazio,it Serie A,33.0,1988.0,30.0,29.0,2536.0,28.2,4.0,0.0,4.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.7,2.9,0.08,0.02,0.1,0.08,0.1,9,ITA,DF,Lazio,it Serie A,33.0,1988.0,28.2,4.0,15.0,7.0,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0.0,0.0,2.2,2.2,0.15,1.8,1.8
