,Player,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Brenden Aaronson,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1
1,Paxten Aaronson,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0
4,Yunis Abdelhamid,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1
5,Himad Abdelli,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0
6,Salis Abdul Samed,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0
7,Laurent Abergel,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0
8,Oliver Abildgaard,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0
9,Matthis Abline,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0
10,Matthis Abline,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0
11,Abner,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0
12,Zakaria Aboukhlal,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0
13,Tammy Abraham,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0
14,Christian Acella,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
15,Francesco Acerbi,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2
17,Mohamed Achi,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
18,Marcos Acuna,21.2,57,36,34,17,6,30,42,71.4,12,16,5,11,23,80,36,0
19,Che Adams,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0
20,Tyler Adams,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0
21,Sargis Adamyan,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0
22,Tosin Adarabioyo,23.2,30,13,22,6,2,16,23,69.6,7,20,15,5,26,56,140,1
23,Martin Adeline,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0
24,Karim Adeyemi,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0
26,Amine Adli,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0
27,Yacine Adli,1.6,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0
28,Michel Aebischer,17.1,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0
29,Felix Afena-Gyan,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0
30,Emmanuel Agbadou,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3
32,Lucien Agoume,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0
34,Alvaro Aguado,21.0,27,15,13,11,3,15,25,60.0,10,16,4,12,13,40,15,0
35,Kevin Agudelo,23.7,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0
36,Nayef Aguerd,17.7,27,18,18,8,1,13,20,65.0,7,26,24,2,18,45,79,2
37,Ruben Aguilar,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1
38,Naouirou Ahamada,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
39,Naouirou Ahamada,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0
40,Amar Ahmed,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
41,Jean-Eudes Aholou,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0
42,Joseph Aidoo,34.7,51,36,33,17,1,16,28,57.1,12,26,14,12,31,82,150,0
43,Ola Aina,9.7,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0
44,Rayan Ait Nouri,12.0,33,20,25,7,1,9,15,60.0,6,3,0,3,9,42,28,0
45,Emanuel Aiwum,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3
46,Kristoffer Ajer,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0
47,Ludovic Ajorque,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0
48,Ludovic Ajorque,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0
49,Manuel Akanji,25.4,36,25,15,18,3,23,36,63.9,13,27,9,18,16,52,33,0
50,Nathan Ake,20.8,26,12,15,9,2,11,15,73.3,4,20,10,10,20,46,48,0
52,Sergio Akieme,25.5,27,16,19,6,2,12,22,54.5,10,22,6,16,14,41,41,0
54,Maghnes Akliouche,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0
55,Paul Akouokou,5.0,16,9,13,3,0,13,20,65.0,7,2,2,0,12,28,17,1
56,Jean-Daniel Akpa-Akpro,15.1,53,37,25,19,9,23,42,54.8,19,35,4,31,13,66,27,0
57,Kevin Akpoguma,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1
58,David Alaba,20.4,15,11,8,4,3,9,15,60.0,6,18,9,9,14,29,37,1
60,Tomas Alarcon,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0
61,Lucas Alario,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0
62,Jordi Alba,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0
63,Luis Alberto,27.1,49,29,18,20,11,23,72,31.9,49,35,6,29,9,58,4,0
64,Raul Albiol,23.5,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,111,0
65,Marc Albrighton,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
66,Thiago Alcantara,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2
67,Carlos Alcaraz,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0
68,Ruben Alcaraz,22.7,43,31,24,18,1,19,54,35.2,35,23,8,15,19,62,37,0
69,Omar Alderete,22.7,35,20,21,14,0,28,40,70.0,12,23,16,7,26,61,85,0
70,Ivan Alejo,14.6,32,21,19,9,4,17,37,45.9,20,18,3,15,5,37,12,1
72,Carles Alena,23.5,18,10,7,5,6,5,34,14.7,29,19,1,18,4,22,18,0
73,Trent Alexander-Arnold,32.5,57,40,32,16,9,42,79,53.2,37,25,7,18,43,100,41,2
75,Angel Algobia,12.6,27,13,14,13,0,22,48,45.8,26,15,5,10,3,30,11,0
76,Mohamed Ali Cho,6.5,13,10,6,5,2,4,10,40.0,6,9,0,9,2,15,2,0
78,Faride Alidou,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0
79,Alisson,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0
80,Jim Allevinah,24.9,39,24,24,11,4,19,62,30.6,43,24,2,22,24,63,26,1
82,Domingos Andre Ribeiro Almeida,28.2,66,42,23,32,11,26,57,45.6,31,26,0,26,20,86,16,1
83,Miguel Almiron,27.7,46,30,16,19,11,18,42,42.9,24,25,2,23,10,56,17,0
84,Marcos Alonso,13.0,15,10,10,5,0,9,12,75.0,3,14,10,4,11,26,32,0
85,Mickael Alphonse,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1
86,Eder Alvarez Balanta,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0
88,Gaston Alvarez,16.7,38,30,24,9,5,23,42,54.8,19,15,5,10,15,53,35,0
89,Julian Alvarez,16.3,26,16,3,13,10,9,29,31.0,20,13,0,13,2,28,6,0
90,Agustin Alvarez Martinez,4.1,6,3,0,5,1,1,4,25.0,3,5,1,4,3,9,3,0
91,Yeray Alvarez,25.9,34,23,26,7,1,24,31,77.4,7,23,13,10,48,82,101,0
92,Ibrahim Amadou,4.7,10,7,6,3,1,7,11,63.6,4,7,3,4,10,20,20,0
93,Selim Amallah,3.0,15,9,7,8,0,5,8,62.5,3,2,0,2,5,20,2,0
94,Daniel Amartey,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0
95,Amath,13.6,29,19,14,8,7,14,22,63.6,8,13,1,12,5,34,5,0
96,Jordan Amavi,2.2,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0
97,Lukas Ambros,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1
98,Kelvin Amian,26.4,54,32,33,12,9,24,31,77.4,7,34,12,22,22,76,87,1
99,Bruno Amione,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0
100,Bruno Amione,23.2,50,33,36,14,0,19,43,44.2,24,26,11,15,25,75,62,1
101,Nadiem Amiri,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2
102,Samuel Amo-Ameyaw,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
104,Ethan Ampadu,29.3,66,37,33,28,5,17,41,41.5,24,48,23,25,36,102,98,0
105,Sofyan Amrabat,22.2,39,24,15,17,7,16,29,55.2,13,23,5,18,21,60,18,2
106,Ayoub Amraoui,3.3,6,5,3,3,0,2,5,40.0,3,1,0,1,4,10,4,0
107,Joachim Andersen,30.9,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,0
108,Elliot Anderson,4.6,11,5,5,3,3,6,12,50.0,6,11,2,9,6,17,2,0
109,Felipe Anderson,32.9,80,50,31,41,8,31,88,35.2,57,58,6,52,31,111,27,0
110,Benjamin Andre,32.4,128,74,51,60,17,65,121,53.7,56,50,8,42,47,175,60,0
111,Marcos Andre,5.0,4,1,1,1,2,1,2,50.0,1,4,1,3,0,4,0,0
112,Komnen Andric,16.1,13,5,2,7,4,2,15,13.3,13,8,1,7,8,21,13,0
113,Robert Andrich,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2
114,Angelino,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0
115,Fabrizio Angileri,6.5,12,9,8,3,1,10,17,58.8,7,8,3,5,7,19,10,0
116,Jaidon Anthony,14.0,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0
117,Janis Antiste,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
118,Waldemar Anton,32.6,49,27,27,19,3,27,51,52.9,24,44,16,28,38,87,123,2
121,Marcos Antonio,6.6,9,6,4,5,0,9,20,45.0,11,7,2,5,11,20,18,0
122,Michail Antonio,20.3,14,7,1,8,5,3,12,25.0,9,13,5,8,5,19,9,0
123,Antony,20.0,22,9,9,9,4,8,28,28.6,20,18,0,18,11,33,6,0
124,Valentin Antov,3.4,6,5,3,3,0,1,5,20.0,4,5,4,1,4,10,14,1
125,Christopher Antwi-Adjei,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0
127,Houssem Aouar,5.8,12,5,5,5,2,3,9,33.3,6,12,2,10,8,20,3,0
128,Adil Aouchiche,2.8,5,2,3,1,1,1,9,11.1,8,1,0,1,4,9,1,0
130,Dennis Appiah,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0
132,Mauro Arambarri,11.0,14,6,9,4,1,3,17,17.6,14,17,5,12,14,28,19,0
133,Charles Aranguiz,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0
134,Ronald Araujo,20.0,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1
136,Tairyk Arconte,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0
138,Adu Ares,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0
139,Joe Aribo,13.6,31,20,15,12,4,11,20,55.0,9,14,1,13,10,41,11,0
140,Adam Armstrong,14.8,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0
141,Stuart Armstrong,15.6,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,1
142,Marko Arnautovic,17.0,9,6,2,5,2,1,6,16.7,5,11,1,10,2,11,10,0
143,Maximilian Arnold,30.7,62,31,25,28,9,28,54,51.9,26,34,11,23,26,88,65,2
146,Kepa Arrizabalaga,28.5,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,16,2
147,Roberto Arroyo,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
148,Tolgay Arslan,13.5,29,18,13,15,1,14,39,35.9,25,19,0,19,12,41,9,1
149,Ricard Artero,1.5,3,3,2,1,0,1,1,100.0,0,2,0,2,1,4,3,0
150,Arthur,15.9,9,2,1,4,4,4,8,50.0,4,10,1,9,1,10,12,0
151,Santiago Arzamendia,5.4,9,8,7,1,1,6,21,28.6,15,11,1,10,2,11,15,1
152,Takuma Asano,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0
153,Santiago Ascacibar,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0
156,Marco Asensio,16.0,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0
157,Kristoffer Askildsen,8.1,7,3,2,3,2,4,10,40.0,6,15,4,11,11,18,6,0
158,Fisnik Asllani,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0
159,Kristjan Asllani,6.6,11,5,1,8,2,7,10,70.0,3,3,1,2,6,17,4,0
160,Iago Aspas,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0
161,Lorenz Assignon,2.9,6,2,4,2,0,2,4,50.0,2,6,0,6,2,8,9,0
162,Youcef Atal,8.7,38,22,18,15,5,23,32,71.9,9,9,0,9,14,52,13,0
163,Valentin Atangana Edoa,1.9,8,3,4,2,2,3,6,50.0,3,2,1,1,0,8,1,0
164,Pierre-Emerick Aubameyang,6.2,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,4,2
166,Emil Audero,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1
167,Tommaso Augello,34.0,17,14,13,2,2,9,20,45.0,11,23,7,16,17,34,61,1
169,Ludwig Augustinsson,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0
170,Serge Aurier,21.6,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0
171,Mathias Autret,14.3,22,10,10,10,2,7,16,43.8,9,14,2,12,12,34,13,0
172,Ezequiel Avila,19.0,8,5,2,4,2,6,23,26.1,17,12,1,11,8,16,16,0
173,Cedric Avinel,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1
174,Taiwo Awoniyi,15.6,17,10,2,10,5,6,10,60.0,4,18,4,14,4,21,20,0
175,Yasin Ayari,0.7,2,2,1,1,0,0,4,0.0,4,1,0,1,0,2,0,0
176,Mehmet Aydin,6.3,25,18,14,9,2,11,24,45.8,13,11,0,11,10,35,15,0
177,Andre Ayew,3.5,5,3,0,4,1,2,4,50.0,2,6,1,5,0,5,7,0
178,Jordan Ayew,30.2,66,41,23,20,23,21,53,39.6,32,35,4,31,15,81,31,0
179,Kaan Ayhan,6.1,10,4,6,4,0,7,7,100.0,0,5,4,1,5,15,26,1
180,Luke Ayling,22.8,66,37,42,15,9,42,85,49.4,43,34,11,23,26,92,52,2
183,Sardar Azmoun,10.3,6,3,1,4,1,1,7,14.3,6,4,0,4,2,8,14,0
184,Cesar Azpilicueta,17.0,43,25,23,15,5,22,37,59.5,15,26,5,21,19,62,54,1
186,Iddrisu Baba,18.9,31,17,15,16,0,15,32,46.9,17,18,8,10,11,42,39,0
187,Srdan Babic,33.3,28,18,20,8,0,15,32,46.9,17,34,22,12,29,57,124,1
188,Loic Bade,16.1,27,20,23,3,1,17,30,56.7,13,21,13,8,23,50,77,0
190,Edgar Badia,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,19,3
191,Benoit Badiashile,10.1,14,8,10,4,0,9,14,64.3,5,5,2,3,16,30,34,1
192,Benoit Badiashile,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1
193,Alex Baena,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0
194,Jaime Baez,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1
195,Leon Bailey,21.9,14,6,6,7,1,5,20,25.0,15,13,0,13,6,20,12,0
196,Eric Bailly,6.0,13,10,6,6,1,7,7,100.0,0,15,12,3,12,25,18,1
197,Denys Bain,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0
198,Brandon Baiye,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0
199,Stefan Bajcetic,5.8,9,6,5,3,1,8,27,29.6,19,7,0,7,9,18,4,0
200,Nedim Bajrami,10.4,8,4,3,3,2,4,6,66.7,2,5,0,5,7,15,4,0
201,Nedim Bajrami,9.1,12,7,6,2,4,5,11,45.5,6,9,1,8,7,19,6,0
202,Cedric Bakambu,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0
203,Tiemoue Bakayoko,0.5,5,5,4,1,0,3,3,100.0,0,0,0,0,0,5,0,1
204,Mitchel Bakker,18.4,16,8,9,7,0,6,15,40.0,9,20,2,18,15,31,20,2
205,Ridle Baku,28.7,50,26,29,17,4,32,58,55.2,26,44,6,38,21,71,59,0
206,Tommaso Baldanzi,19.7,25,12,9,13,3,7,32,21.9,25,21,1,20,2,27,5,0
208,Alejandro Balde,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1
209,Thierno Balde,23.9,27,14,19,4,4,18,30,60.0,12,15,3,12,23,50,39,0
210,Carlos Baleba,5.3,13,11,2,9,2,9,14,64.3,5,13,3,10,1,14,3,2
211,Mikel Balenziaga,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0
212,Leonardo Balerdi,29.3,57,37,43,12,2,32,45,71.1,13,48,29,19,63,120,91,1
214,Ivan Balliu,35.9,52,29,26,20,6,18,30,60.0,12,26,3,23,25,77,72,1
215,Fode Ballo-Toure,5.8,14,9,7,6,1,7,10,70.0,3,11,3,8,2,16,3,0
216,Folarin Balogun,33.3,9,5,1,5,3,2,20,10.0,18,20,1,19,3,12,15,0
217,Abdoulaye Bamba,15.2,22,12,15,5,2,16,19,84.2,3,7,3,4,18,40,38,0
218,Jonathan Bamba,30.9,37,17,12,14,11,14,45,31.1,31,36,1,35,22,59,14,0
219,Patrick Bamford,16.8,9,6,0,6,3,4,20,20.0,16,12,5,7,5,14,13,0
220,Lameck Banda,18.2,30,20,13,14,3,15,41,36.6,26,24,2,22,8,38,5,0
