Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - Drib,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - Drib,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
Brenden Aaronson,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,13.0,13.0,1099.0,12.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.16,0.08,0.16,1.8,1.8,2.5,4.3,0.15,0.2,0.35,0.15,0.35,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,1.0,17.0,4.0,23.5,1.39,0.33,0.06,0.25,19.7,1.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,301.0,408.0,73.8,3959.0,1164.0,165.0,203.0,81.3,81.0,105.0,77.1,15.0,39.0,38.5,1.0,2.5,1.4,-1.5,25.0,23.0,7.0,2.0,27.0,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,408.0,365.0,43.0,10.0,3.0,0.0,42.0,4.0,25.0,11.0,11.0,1.0,301.0,0.0,13.0,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,47.0,3.85,33.0,7.0,3.0,2.0,1.0,1.0,4.0,0.33,2.0,0.0,0.0,1.0,0.0,1.0,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,22.0,6.0,7.0,12.0,3.0,8.0,23.0,34.8,15.0,21.0,1.0,20.0,1.0,23.0,4.0,0.0
Yunis Abdelhamid,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.3,0.07,0.02,0.09,0.07,0.09,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,,12.5,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,486.0,599.0,81.1,9368.0,4055.0,150.0,177.0,84.7,269.0,296.0,90.9,55.0,103.0,53.4,0.0,0.2,0.3,-0.2,4.0,40.0,2.0,0.0,44.0,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,599.0,544.0,52.0,44.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,486.0,3.0,7.0,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,16.0,1.14,12.0,0.0,0.0,2.0,0.0,2.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,32.0,19.0,16.0,16.0,0.0,15.0,19.0,78.9,4.0,27.0,10.0,17.0,30.0,62.0,38.0,0.0
Himad Abdelli,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,7.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.15,0.21,0.36,0.15,0.36,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,0.0,3.0,2.0,66.7,1.17,0.78,0.0,0.0,20.4,0.0,0.0,0.0,0.4,0.4,0.13,-0.4,-0.4,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,112.0,142.0,78.9,1953.0,525.0,47.0,58.0,81.0,47.0,59.0,79.7,14.0,18.0,77.8,0.0,0.5,0.1,-0.5,6.0,14.0,4.0,0.0,15.0,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,142.0,140.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,3.0,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,9.0,3.51,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,5.0,0.0,0.0,5.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0
Salis Abdul Samed,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,14.0,1259.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.1,0.5,0.02,0.01,0.03,0.02,0.03,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,1.0,6.0,1.0,16.7,0.43,0.07,0.17,1.0,23.6,0.0,0.0,0.0,0.3,0.3,0.05,0.7,0.7,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,757.0,825.0,91.8,12211.0,2866.0,364.0,390.0,93.3,323.0,341.0,94.7,45.0,58.0,77.6,0.0,0.1,0.6,-0.1,4.0,72.0,7.0,1.0,47.0,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,825.0,799.0,20.0,20.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,757.0,6.0,4.0,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,15.0,1.07,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,21.0,9.0,8.0,11.0,2.0,13.0,21.0,61.9,8.0,16.0,4.0,12.0,17.0,38.0,13.0,0.0
Laurent Abergel,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,10.0,10.0,807.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,0.0,4.0,0.0,0.0,0.45,0.0,0.0,,23.9,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,339.0,378.0,89.7,5513.0,2033.0,158.0,167.0,94.6,136.0,152.0,89.5,27.0,35.0,77.1,1.0,0.5,0.5,0.5,7.0,33.0,2.0,0.0,27.0,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,378.0,370.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,339.0,1.0,3.0,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,13.0,1.45,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,32.0,17.0,23.0,9.0,0.0,10.0,27.0,37.0,17.0,12.0,2.0,10.0,12.0,44.0,10.0,0.0
Matthis Abline,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,10.0,0.0,105.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0.86,0.86,0.8,0.8,0.3,1.0,0.65,0.22,0.88,0.65,0.88,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,1.0,6.0,2.0,33.3,5.14,1.71,0.17,0.5,12.2,0.0,0.0,0.0,0.8,0.8,0.13,0.2,0.2,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,6.0,14.0,42.9,110.0,27.0,3.0,6.0,50.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.3,0.2,-0.3,2.0,0.0,1.0,0.0,1.0,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,14.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,7.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,1.71,0.0,0.0,0.0,0.0,1.0,1.0,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0
Zakaria Aboukhlal,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,14.0,13.0,1125.0,12.5,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.24,0.24,0.48,0.24,0.48,3.3,3.3,1.4,4.7,0.26,0.11,0.37,0.26,0.37,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,3.0,34.0,11.0,32.4,2.72,0.88,0.09,0.27,18.6,0.0,0.0,0.0,3.3,3.3,0.1,-0.3,-0.3,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,212.0,309.0,68.6,2682.0,647.0,140.0,181.0,77.3,53.0,73.0,72.6,3.0,9.0,33.3,3.0,1.4,1.2,1.6,7.0,10.0,5.0,1.0,13.0,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,309.0,298.0,9.0,1.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,212.0,2.0,22.0,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,27.0,2.16,16.0,0.0,2.0,4.0,5.0,0.0,2.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,11.0,8.0,5.0,3.0,3.0,4.0,16.0,25.0,12.0,8.0,1.0,7.0,10.0,21.0,6.0,0.0
Tammy Abraham,7,GBR,FW,Roma,Serie A,25.0,1997.0,14.0,11.0,972.0,10.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,6.3,6.3,1.5,7.8,0.58,0.14,0.72,0.58,0.72,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,3.0,35.0,13.0,37.1,3.24,1.2,0.09,0.23,12.2,0.0,0.0,0.0,6.3,6.3,0.18,-3.3,-3.3,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,149.0,206.0,72.3,2211.0,555.0,88.0,105.0,83.8,42.0,63.0,66.7,12.0,16.0,75.0,1.0,1.5,0.9,-0.5,15.0,7.0,6.0,1.0,18.0,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,206.0,187.0,17.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,149.0,2.0,1.0,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,35.0,3.23,21.0,0.0,2.0,9.0,3.0,0.0,5.0,0.46,1.0,0.0,0.0,3.0,1.0,0.0,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,10.0,6.0,3.0,3.0,4.0,3.0,9.0,33.3,6.0,4.0,2.0,2.0,1.0,11.0,4.0,0.0
Francesco Acerbi,8,ITA,DF,Inter,Serie A,34.0,1988.0,8.0,7.0,641.0,7.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,0.0,2.0,0.0,0.0,0.28,0.0,0.0,,16.7,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,424.0,481.0,88.1,8067.0,2423.0,158.0,171.0,92.4,208.0,228.0,91.2,51.0,70.0,72.9,1.0,0.1,0.1,0.9,2.0,23.0,2.0,0.0,22.0,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,481.0,453.0,28.0,18.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,6.0,0.84,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,8.0,3.0,7.0,1.0,0.0,3.0,3.0,100.0,0.0,5.0,3.0,2.0,6.0,14.0,22.0,0.0
Mohamed Achi,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.3,0.08,0.39,0.3,0.39,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,26.1,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,18.0,21.0,85.7,274.0,76.0,7.0,7.0,100.0,10.0,12.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,21.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,18.0,0.0,0.0,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,1.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
