,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Brenden Aaronson,26.4,1143,12,116,495,554,72,1143,100,34,34.0,48,48.0,686,3646,1532,43,34,13,71,82,767,151
1,Paxten Aaronson,1.9,99,2,6,41,53,17,99,6,3,50.0,3,50.0,55,314,143,8,2,2,5,2,65,15
2,James Abankwah,0.7,39,8,26,13,0,0,39,1,1,100.0,0,0.0,18,48,19,0,0,0,1,1,21,0
4,Yunis Abdelhamid,37.0,2459,241,1088,1275,123,39,2459,37,21,56.8,14,37.8,1723,10871,6123,40,21,3,27,23,1499,10
5,Himad Abdelli,23.7,1516,26,237,914,409,23,1516,76,43,56.6,28,36.8,1184,6861,3294,58,60,7,36,20,1066,111
6,Salis Abdul Samed,32.2,2224,66,404,1502,340,16,2224,49,29,59.2,13,26.5,1849,9645,3457,33,56,3,39,32,1705,44
7,Laurent Abergel,26.0,1779,76,581,1069,151,4,1779,41,23,56.1,14,34.1,1384,6069,2597,13,29,0,29,19,1257,14
8,Oliver Abildgaard,6.6,257,15,82,137,40,13,257,1,1,100.0,0,0.0,99,401,156,2,3,0,6,1,116,8
9,Matthis Abline,9.0,210,3,11,101,103,41,208,23,12,52.2,11,47.8,141,918,319,14,5,7,43,17,155,49
11,Abner,6.7,425,25,128,189,113,11,425,10,3,30.0,7,70.0,204,858,469,8,7,4,10,4,231,25
12,Zakaria Aboukhlal,27.5,1163,32,156,456,571,151,1163,109,42,38.5,57,52.3,901,6003,2662,100,48,44,83,36,843,276
13,Tammy Abraham,24.3,786,19,50,391,355,125,786,68,22,32.4,37,54.4,421,2154,856,35,20,16,62,31,621,141
15,Francesco Acerbi,26.9,1890,226,858,880,167,27,1890,12,7,58.3,4,33.3,1041,5108,2867,39,33,2,13,7,1252,32
17,Mohamed Achi,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1
18,Marcos Acuna,21.2,1523,69,406,670,467,26,1523,54,26,48.1,23,42.6,823,4070,2178,49,43,5,29,20,903,94
19,Che Adams,22.1,717,29,66,286,377,103,717,33,16,48.5,13,39.4,405,1613,469,17,11,9,66,28,558,115
20,Tyler Adams,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20
21,Sargis Adamyan,7.2,310,6,36,134,147,48,310,27,6,22.2,16,59.3,166,924,352,12,8,5,28,16,191,58
22,Tosin Adarabioyo,23.2,1544,231,776,732,46,19,1544,7,5,71.4,2,28.6,834,4470,2733,16,12,1,4,4,975,3
23,Martin Adeline,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1
24,Karim Adeyemi,15.4,676,11,68,240,384,65,675,94,34,36.2,48,51.1,455,3163,1489,49,32,21,43,26,478,131
26,Amine Adli,15.9,786,9,74,394,327,67,786,58,26,44.8,22,37.9,467,2610,1368,46,29,15,52,18,598,137
27,Yacine Adli,1.6,97,1,14,45,42,2,97,6,4,66.7,2,33.3,55,349,171,7,5,0,3,5,67,8
28,Michel Aebischer,17.1,791,14,147,400,246,28,791,13,6,46.2,7,53.8,505,1992,841,14,12,4,30,17,618,85
29,Felix Afena-Gyan,9.1,318,7,40,129,156,28,318,25,7,28.0,12,48.0,202,1160,463,22,13,3,34,21,217,54
30,Emmanuel Agbadou,26.5,1798,213,851,877,87,21,1798,14,8,57.1,6,42.9,1287,7671,3866,15,19,2,23,13,1087,8
32,Lucien Agoume,12.2,893,45,276,480,143,13,893,13,5,38.5,5,38.5,646,3160,1227,9,10,0,9,11,590,10
33,Felix Agu,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2
34,Alvaro Aguado,21.0,1292,36,255,742,315,18,1292,31,13,41.9,9,29.0,833,5476,2508,29,43,3,24,9,908,50
35,Kevin Agudelo,23.7,1084,11,168,500,457,54,1084,109,50,45.9,50,45.9,662,4963,2740,81,71,19,59,55,699,100
36,Nayef Aguerd,17.7,949,161,563,358,35,23,949,6,4,66.7,0,0.0,523,2127,1137,2,1,0,8,7,564,4
37,Ruben Aguilar,13.0,975,44,210,463,305,24,975,14,7,50.0,6,42.9,637,3256,1501,29,23,3,14,4,573,78
38,Naouirou Ahamada,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,32,179,70,1,2,1,5,1,39,11
39,Naouirou Ahamada,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54
40,Amar Ahmed,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2
41,Jean-Eudes Aholou,14.4,799,26,131,483,194,27,799,34,14,41.2,14,41.2,538,2906,1220,25,18,9,34,15,477,37
42,Joseph Aidoo,34.7,2082,301,1114,938,46,15,2082,13,8,61.5,2,15.4,1306,6192,3226,15,6,0,12,9,1321,2
43,Ola Aina,9.7,679,20,146,294,250,13,679,49,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43
44,Rayan Ait Nouri,12.0,740,40,240,279,233,28,740,50,28,56.0,18,36.0,395,2260,1244,30,13,10,28,12,454,76
45,Emanuel Aiwum,18.4,997,105,506,452,51,5,997,10,3,30.0,5,50.0,500,3147,1569,19,11,0,6,5,521,7
46,Kristoffer Ajer,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12
47,Ludovic Ajorque,8.6,336,8,32,172,136,50,335,5,3,60.0,2,40.0,225,901,202,2,7,1,19,10,262,55
48,Ludovic Ajorque,13.5,555,8,34,291,236,76,555,12,7,58.3,4,33.3,253,989,267,5,11,1,46,13,415,85
49,Manuel Akanji,25.4,2231,121,815,1248,176,34,2231,12,6,50.0,3,25.0,1544,8443,5039,24,40,1,12,3,1734,17
50,Nathan Ake,20.8,1959,86,615,1097,256,32,1959,5,3,60.0,1,20.0,1223,5455,3314,25,19,4,16,0,1492,30
52,Sergio Akieme,25.5,1283,78,434,563,307,35,1283,51,27,52.9,18,35.3,660,4200,2232,60,34,11,29,25,710,84
54,Maghnes Akliouche,4.5,210,4,23,85,105,17,210,13,6,46.2,7,53.8,172,897,351,9,5,2,8,7,161,42
55,Paul Akouokou,5.0,233,33,102,117,16,1,233,5,3,60.0,2,40.0,116,369,122,1,2,0,5,0,136,1
56,Jean-Daniel Akpa-Akpro,15.1,630,24,163,338,143,24,630,55,31,56.4,19,34.5,325,1788,748,19,23,8,25,15,351,37
57,Kevin Akpoguma,21.7,1306,143,613,609,93,16,1306,22,7,31.8,13,59.1,691,3422,1537,17,13,3,16,7,742,23
58,David Alaba,20.4,1293,137,531,530,240,22,1293,4,3,75.0,1,25.0,779,3566,2070,16,24,2,7,5,938,60
61,Lucas Alario,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17
