,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Max Aarons,Bournemouth,10.6,542,30,200,233,117,9,542,26,10,38.5,8,30.8,280,1733,878,16,11,6,9,6,271,19
1,Brenden Aaronson,Union Berlin,3.4,138,2,19,64,61,9,138,17,4,23.5,12,70.6,79,469,244,4,4,0,6,2,82,17
2,Paxten Aaronson,Eint Frankfurt,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7
3,Yunis Abdelhamid,Reims,15.0,1080,139,469,557,64,24,1080,13,8,61.5,5,38.5,743,4324,2327,21,11,0,17,2,685,4
4,Salis Abdul Samed,Lens,11.9,746,12,94,484,176,7,746,12,4,33.3,7,58.3,626,3278,1299,7,29,0,13,9,589,15
5,Laurent Abergel,Lorient,15.0,1055,46,304,629,135,2,1055,31,21,67.7,9,29.0,817,3851,1660,12,16,1,12,15,734,21
6,Matthis Abline,Nantes,4.0,126,2,3,59,66,23,126,9,7,77.8,2,22.2,89,459,137,5,3,2,19,5,94,34
7,Abner,Betis,7.8,490,39,184,192,117,17,490,6,4,66.7,2,33.3,242,849,439,7,5,2,8,7,262,37
8,Zakaria Aboukhlal,Toulouse,4.2,142,1,9,60,75,21,141,12,4,33.3,8,66.7,106,702,325,12,9,3,11,5,106,35
9,Abdel Abqar,Alavés,12.9,509,108,288,199,23,13,509,2,2,100.0,0,0.0,232,1162,715,2,4,0,6,1,238,0
10,Francesco Acerbi,Inter,12.0,908,91,428,427,55,15,908,2,2,100.0,0,0.0,547,2298,1113,9,6,0,0,1,681,15
11,Marcos Acuna,Sevilla,5.1,373,8,98,182,99,5,373,7,4,57.1,1,14.3,195,943,565,13,9,2,7,5,221,17
12,Benie Adama Traore,Sheffield Utd,4.3,112,2,19,49,48,9,112,22,5,22.7,15,68.2,72,462,174,7,5,3,10,7,69,14
13,Akor Adams,Montpellier,13.5,346,6,26,141,185,67,346,26,8,30.8,15,57.7,243,1529,629,25,15,13,37,20,269,75
14,Junior Adamu,Freiburg,1.0,43,1,5,23,17,5,43,2,0,0.0,1,50.0,23,106,44,1,1,0,5,3,26,5
15,Sargis Adamyan,Köln,1.6,60,2,6,25,30,10,60,1,1,100.0,0,0.0,33,174,90,4,2,0,6,1,31,19
16,Tosin Adarabioyo,Fulham,2.0,221,26,107,112,2,2,221,1,0,0.0,0,0.0,136,787,599,1,0,0,0,0,172,0
17,Elijah Adebayo,Luton Town,6.5,209,9,28,84,99,33,209,25,5,20.0,19,76.0,107,521,133,5,6,4,30,9,137,37
18,Karim Adeyemi,Dortmund,4.1,189,3,27,86,82,21,189,27,8,29.6,15,55.6,127,985,439,19,7,11,17,12,129,39
19,Simon Adingra,Brighton,11.3,525,13,85,184,264,57,525,60,23,38.3,32,53.3,348,2198,1234,44,21,25,19,11,358,124
20,Amine Adli,Leverkusen,2.9,174,2,20,74,80,17,174,5,4,80.0,0,0.0,102,648,424,15,12,6,7,1,137,45
21,Yacine Adli,Milan,3.6,308,9,54,190,65,1,308,10,7,70.0,2,20.0,191,1144,527,6,8,0,5,2,217,3
22,Adson,Nantes,2.6,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19
23,Michel Aebischer,Bologna,12.0,819,28,225,510,91,5,819,12,6,50.0,5,41.7,501,2242,1077,14,9,1,13,6,631,9
24,Emmanuel Agbadou,Reims,10.7,799,85,302,455,51,9,799,8,3,37.5,5,62.5,573,3521,1941,18,7,1,6,7,501,9
26,Lucien Agoume,Inter,0.1,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0
27,Felix Agu,Werder Bremen,1.2,66,3,29,20,17,4,66,0,0,0.0,0,0.0,29,134,99,1,0,0,2,0,37,5
