,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,Bournemouth,10.6,24,15,17,6,1,16,27,59.3,11,9,5,4,5,29,21,0
1,Brenden Aaronson,Union Berlin,3.2,7,5,2,4,1,5,7,71.4,2,8,0,8,0,7,1,0
2,Paxten Aaronson,Eint Frankfurt,0.5,1,1,0,1,0,0,0,0.0,0,1,0,1,0,1,0,0
3,Yunis Abdelhamid,Reims,12.0,24,14,13,10,1,8,17,47.1,9,22,15,7,11,35,37,0
4,Salis Abdul Samed,Lens,9.4,11,8,5,4,2,3,8,37.5,5,4,0,4,4,15,7,0
5,Laurent Abergel,Lorient,12.0,37,18,16,17,4,17,46,37.0,29,16,3,13,31,68,21,1
6,Matthis Abline,Nantes,3.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
7,Abner,Betis,5.8,7,6,5,2,0,6,13,46.2,7,13,3,10,6,13,19,0
8,Zakaria Aboukhlal,Toulouse,4.2,1,1,0,0,1,1,3,33.3,2,3,0,3,1,2,1,0
9,Abdel Abqar,Alavés,10.0,8,3,7,0,1,5,11,45.5,6,11,9,2,8,16,50,0
10,Francesco Acerbi,Inter,9.0,9,5,6,3,0,4,5,80.0,1,5,4,1,15,24,16,0
11,Marcos Acuna,Sevilla,4.6,12,8,8,4,0,5,6,83.3,1,3,1,2,4,16,6,0
12,Benie Adama Traore,Sheffield Utd,3.6,4,2,1,2,1,0,4,0.0,4,3,1,2,1,5,0,0
13,Akor Adams,Montpellier,9.7,7,3,2,2,3,2,4,50.0,2,1,0,1,2,9,3,0
14,Junior Adamu,Freiburg,0.9,5,1,1,2,2,1,2,50.0,1,0,0,0,0,5,0,0
15,Sargis Adamyan,Köln,1.6,3,2,0,2,1,1,2,50.0,1,2,0,2,0,3,2,0
