,Player,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Max Aarons,10.6,441,341,99,9,2,2,10,90,0,0,0,0,332,1,17
1,Brenden Aaronson,3.2,91,85,4,0,1,0,8,0,3,2,1,0,68,2,5
2,Paxten Aaronson,0.5,24,23,1,0,0,0,0,1,0,0,0,0,19,0,0
3,Yunis Abdelhamid,12.0,714,646,64,24,2,8,1,10,0,0,0,0,596,4,8
4,Salis Abdul Samed,9.4,515,504,10,10,0,1,3,0,0,0,0,0,459,1,13
5,Laurent Abergel,12.0,732,686,44,39,1,6,7,0,0,0,0,0,634,2,8
6,Matthis Abline,3.5,68,62,6,0,0,0,2,0,0,0,0,0,54,0,3
7,Abner,5.8,297,252,45,1,0,0,13,44,0,0,0,0,233,0,9
8,Zakaria Aboukhlal,4.2,97,90,7,0,0,0,2,6,0,0,0,0,69,0,3
9,Abdel Abqar,10.0,274,257,16,15,0,10,0,1,0,0,0,0,202,1,2
10,Francesco Acerbi,9.0,561,536,24,16,0,2,5,3,0,0,0,0,495,1,2
11,Marcos Acuna,4.6,282,233,49,4,0,3,27,43,2,0,2,0,217,0,5
12,Benie Adama Traore,3.6,64,58,5,0,2,0,2,0,0,0,0,0,49,1,4
13,Akor Adams,9.7,144,143,1,0,0,1,6,0,0,0,0,0,98,0,8
14,Junior Adamu,0.9,19,18,1,0,0,0,1,0,0,0,0,0,11,0,0
15,Sargis Adamyan,1.6,36,31,5,1,0,0,0,1,0,0,0,0,28,0,1
16,Tosin Adarabioyo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Elijah Adebayo,4.3,60,60,0,0,0,0,2,0,0,0,0,0,44,0,1
18,Karim Adeyemi,3.6,100,91,9,3,0,0,6,5,1,1,0,0,75,0,5
19,Simon Adingra,7.4,234,222,12,1,3,1,12,9,2,0,0,0,187,0,4
20,Amine Adli,1.7,85,83,2,1,2,1,6,1,0,0,0,0,66,0,2
21,Yacine Adli,3.3,252,241,11,2,0,4,12,0,9,2,4,0,213,0,4
22,Adson,2.3,110,109,1,0,0,0,2,1,0,0,0,0,98,0,2
23,Michel Aebischer,10.7,641,616,24,20,0,4,3,2,2,0,0,0,596,1,5
24,Emmanuel Agbadou,7.7,464,450,13,10,1,3,2,2,0,0,0,0,405,1,2
26,Lucien Agoume,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
27,Felix Agu,0.0,13,11,2,0,0,0,1,1,1,0,0,0,10,0,0
28,Nayef Aguerd,10.7,560,515,44,31,0,19,1,3,0,0,0,0,446,1,0
29,Ruben Aguilar,6.7,409,341,66,5,0,1,27,61,0,0,0,0,325,2,13
30,Naouirou Ahamada,0.9,44,43,1,0,0,0,4,0,0,0,0,0,33,0,5
31,Anel Ahmedhodzic,8.0,298,273,24,3,0,0,3,21,0,0,0,0,222,1,6
32,Joseph Aidoo,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0
33,Ola Aina,7.0,231,194,36,5,1,0,6,31,0,0,0,0,162,1,5
34,Rayan Ait Nouri,9.7,436,366,69,12,0,1,16,51,6,4,2,0,360,1,8
35,Tosin Aiyegun,5.0,89,86,3,0,0,0,3,0,0,0,0,0,70,0,0
36,Kristoffer Ajer,7.1,352,312,40,5,1,6,6,35,0,0,0,0,266,0,7
37,Ludovic Ajorque,5.8,161,147,13,2,1,1,2,0,0,0,0,0,115,1,3
38,Manuel Akanji,9.0,763,743,20,10,2,2,3,7,0,0,0,0,714,0,2
39,Marley Ake,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nathan Ake,6.1,457,422,35,6,1,1,2,29,0,0,0,0,421,0,3
41,Ilias Akhomach,3.6,111,105,5,1,0,1,6,2,2,1,1,0,93,1,2
42,Sergio Akieme,10.0,437,348,89,12,1,4,35,75,2,0,1,0,350,0,7
43,Maghnes Akliouche,3.9,186,179,6,1,4,2,9,0,5,3,0,0,152,1,4
44,Paul Akouokou,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
