,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,Bournemouth,10.6,332,441,75.3,5473,2054,166,190,87.4,135,176,76.7,27,49,55.1,1,0.8,0.8,+0.2,6,18,11,2,31
1,Brenden Aaronson,Union Berlin,3.2,68,91,74.7,921,220,44,47,93.6,19,25,76.0,2,7,28.6,0,0.3,0.4,-0.3,4,7,0,0,9
2,Paxten Aaronson,Eint Frankfurt,0.5,19,24,79.2,277,53,9,12,75.0,10,11,90.9,0,1,0.0,1,0.1,0.0,+0.9,1,4,2,0,5
3,Yunis Abdelhamid,Reims,12.0,596,714,83.5,11468,3815,181,203,89.2,351,391,89.8,54,99,54.5,0,0.2,0.4,-0.2,4,57,2,0,57
4,Salis Abdul Samed,Lens,9.4,459,515,89.1,7170,1840,234,258,90.7,177,192,92.2,29,37,78.4,0,0.5,0.9,-0.5,5,54,5,2,49
5,Laurent Abergel,Lorient,12.0,634,732,86.6,11332,3303,262,284,92.3,289,322,89.8,66,100,66.0,1,0.6,0.6,+0.4,11,75,8,0,57
6,Matthis Abline,Nantes,3.5,54,68,79.4,751,121,34,42,81.0,13,15,86.7,3,4,75.0,0,1.3,0.5,-1.3,8,1,3,1,4
7,Abner,Betis,5.8,233,297,78.5,3416,1549,143,160,89.4,69,84,82.1,14,37,37.8,0,0.4,0.7,-0.4,5,7,3,1,11
8,Zakaria Aboukhlal,Toulouse,4.2,69,97,71.1,1050,336,32,40,80.0,28,37,75.7,3,4,75.0,0,0.2,0.2,-0.2,4,8,4,0,12
9,Abdel Abqar,Alavés,10.0,202,274,73.7,4620,2216,57,67,85.1,105,117,89.7,37,79,46.8,0,0.0,0.1,0.0,1,17,1,0,22
10,Francesco Acerbi,Inter,9.0,495,561,88.2,8749,2649,212,230,92.2,226,249,90.8,44,64,68.8,1,1.6,0.8,-0.6,4,24,1,0,26
11,Marcos Acuna,Sevilla,4.6,217,282,77.0,4212,1623,92,105,87.6,85,102,83.3,35,63,55.6,0,0.3,0.7,-0.3,6,16,8,7,19
12,Benie Adama Traore,Sheffield Utd,3.6,49,64,76.6,714,151,29,33,87.9,18,22,81.8,1,1,100.0,0,0.5,0.4,-0.5,3,2,6,0,9
13,Akor Adams,Montpellier,9.7,98,144,68.1,1342,250,49,69,71.0,34,42,81.0,5,11,45.5,0,0.7,0.7,-0.7,7,5,1,1,5
14,Junior Adamu,Freiburg,0.9,11,19,57.9,110,15,8,9,88.9,1,8,12.5,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
15,Sargis Adamyan,Köln,1.6,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,1,0.5,0.4,+0.5,3,3,1,0,5
16,Tosin Adarabioyo,Fulham,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
17,Elijah Adebayo,Luton Town,4.3,44,60,73.3,608,159,28,35,80.0,14,20,70.0,2,4,50.0,0,0.3,0.2,-0.3,6,3,1,0,7
18,Karim Adeyemi,Dortmund,3.6,75,100,75.0,1040,313,42,53,79.2,24,31,77.4,4,5,80.0,1,0.8,1.0,+0.2,2,5,4,1,11
19,Simon Adingra,Brighton,7.4,187,234,79.9,2701,570,117,137,85.4,55,69,79.7,11,14,78.6,1,1.4,0.6,-0.4,6,6,9,3,13
20,Amine Adli,Leverkusen,1.7,66,85,77.6,879,245,48,55,87.3,14,19,73.7,3,7,42.9,2,0.4,0.8,+1.6,5,4,2,0,8
21,Yacine Adli,Milan,3.3,213,252,84.5,4278,1380,80,90,88.9,94,103,91.3,35,49,71.4,0,0.1,0.3,-0.1,3,37,4,1,33
22,Adson,Nantes,2.3,98,110,89.1,1454,318,56,59,94.9,28,32,87.5,8,10,80.0,0,0.1,0.2,-0.1,2,10,2,0,11
23,Michel Aebischer,Bologna,10.7,596,641,93.0,9726,2921,300,321,93.5,247,255,96.9,38,45,84.4,1,0.8,0.5,+0.2,5,52,5,1,55
