,Player,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Max Aarons,10.6,17,1.61,12,2,0,0,3,0,1,0.09,1,0,0,0,0,0
1,Brenden Aaronson,3.2,8,2.50,7,1,0,0,0,0,1,0.31,1,0,0,0,0,0
2,Paxten Aaronson,0.5,1,2.00,1,0,0,0,0,0,1,2.00,1,0,0,0,0,0
3,Yunis Abdelhamid,12.0,6,0.50,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
4,Salis Abdul Samed,9.4,16,1.70,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Laurent Abergel,12.0,25,2.08,19,1,1,0,0,4,4,0.33,2,0,1,0,0,1
6,Matthis Abline,3.5,14,3.95,12,0,2,0,0,0,1,0.28,0,0,1,0,0,0
7,Abner,5.8,9,1.55,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Zakaria Aboukhlal,4.2,9,2.15,6,0,1,1,1,0,1,0.24,0,0,0,0,1,0
9,Abdel Abqar,10.0,6,0.60,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,9.0,10,1.11,8,0,0,2,0,0,1,0.11,1,0,0,0,0,0
11,Marcos Acuna,4.6,16,3.50,10,3,1,0,1,1,0,0.00,0,0,0,0,0,0
12,Benie Adama Traore,3.6,5,1.38,5,0,0,0,0,0,1,0.28,1,0,0,0,0,0
13,Akor Adams,9.7,18,1.85,11,0,4,2,1,0,2,0.21,0,0,2,0,0,0
14,Junior Adamu,0.9,1,1.15,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
15,Sargis Adamyan,1.6,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Tosin Adarabioyo,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Elijah Adebayo,4.3,9,2.09,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0
18,Karim Adeyemi,3.6,6,1.67,3,0,1,0,2,0,1,0.28,1,0,0,0,0,0
19,Simon Adingra,7.4,13,1.75,7,0,3,1,1,1,3,0.40,2,0,0,0,0,1
20,Amine Adli,1.7,12,7.01,10,0,1,1,0,0,2,1.17,2,0,0,0,0,0
21,Yacine Adli,3.3,11,3.36,7,4,0,0,0,0,1,0.31,0,1,0,0,0,0
22,Adson,2.3,7,3.06,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0
23,Michel Aebischer,10.7,13,1.22,12,0,0,0,1,0,1,0.09,1,0,0,0,0,0
24,Emmanuel Agbadou,7.7,11,1.43,8,0,0,3,0,0,0,0.00,0,0,0,0,0,0
26,Lucien Agoume,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Felix Agu,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Nayef Aguerd,10.7,8,0.75,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0
29,Ruben Aguilar,6.7,17,2.55,16,0,0,1,0,0,1,0.15,1,0,0,0,0,0
30,Naouirou Ahamada,0.9,2,2.20,2,0,0,0,0,0,1,1.10,1,0,0,0,0,0
31,Anel Ahmedhodzic,8.0,6,0.75,5,0,0,1,0,0,1,0.12,0,0,0,1,0,0
32,Joseph Aidoo,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
33,Ola Aina,7.0,10,1.43,6,1,1,0,1,1,1,0.14,1,0,0,0,0,0
34,Rayan Ait Nouri,9.7,25,2.58,14,6,1,2,2,0,1,0.10,0,0,0,0,1,0
35,Tosin Aiyegun,5.0,5,1.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Kristoffer Ajer,7.1,14,1.98,12,0,1,1,0,0,2,0.28,2,0,0,0,0,0
37,Ludovic Ajorque,5.8,11,1.91,9,1,0,0,1,0,0,0.00,0,0,0,0,0,0
38,Manuel Akanji,9.0,14,1.56,14,0,0,0,0,0,2,0.22,2,0,0,0,0,0
39,Marley Ake,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
40,Nathan Ake,6.1,9,1.46,7,0,0,2,0,0,2,0.33,1,0,0,1,0,0
41,Ilias Akhomach,3.6,9,2.51,6,1,1,1,0,0,1,0.28,1,0,0,0,0,0
42,Sergio Akieme,10.0,20,2.00,11,2,4,1,2,0,1,0.10,0,0,0,1,0,0
