Player,Squad,Nation,Pos,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Playing Time - Mn/MP,Playing Time - Min%,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%,Season
Max Aarons,Bournemouth,EN,DF,Premier League,23.0,2000.0,12.0,11.0,950.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8,16.0,31.0,19.0,0.0,0.09,0.09,0.0,0.09,0.0,0.08,0.08,0.0,0.08,10.6,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.02,0.0,0.0,332.0,441.0,75.3,5473.0,2054.0,166.0,190.0,87.4,135.0,176.0,76.7,27.0,49.0,55.1,1.0,0.8,0.8,0.2,6.0,18.0,11.0,2.0,31.0,441.0,341.0,99.0,9.0,2.0,2.0,10.0,90.0,0.0,0.0,0.0,0.0,332.0,1.0,17.0,17.0,1.61,12.0,2.0,0.0,0.0,3.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,17.0,6.0,1.0,16.0,27.0,59.3,11.0,9.0,5.0,4.0,5.0,29.0,21.0,0.0,542.0,30.0,200.0,233.0,117.0,9.0,542.0,26.0,10.0,38.5,8.0,30.8,280.0,1733.0,878.0,16.0,11.0,6.0,9.0,6.0,271.0,19.0,79.0,88.0,11,86.0,8,1,5.0,0,0.75,9.0,24.0,-15.0,-1.42,-0.73,10.6,21.2,-10.6,-1.0,-1.14,0.0,10.0,22.0,2.0,10.0,5.0,15.0,0.0,1.0,0.0,62.0,4.0,9.0,30.8,,,,,,,,,,,,,,,,2023-2024
Brenden Aaronson,Union Berlin,US,MF,Bundesliga,23.0,2000.0,8.0,4.0,288.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.3,0.4,2.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.04,0.13,3.2,0.0,2.0,0.0,0.0,0.62,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.07,-0.1,-0.1,68.0,91.0,74.7,921.0,220.0,44.0,47.0,93.6,19.0,25.0,76.0,2.0,7.0,28.6,0.0,0.3,0.4,-0.3,4.0,7.0,0.0,0.0,9.0,91.0,85.0,4.0,0.0,1.0,0.0,8.0,0.0,3.0,2.0,1.0,0.0,68.0,2.0,5.0,8.0,2.5,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.31,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,1.0,5.0,7.0,71.4,2.0,8.0,0.0,8.0,0.0,7.0,1.0,0.0,133.0,2.0,17.0,61.0,59.0,9.0,133.0,13.0,1.0,7.7,11.0,84.6,75.0,389.0,166.0,2.0,3.0,0.0,6.0,2.0,80.0,17.0,36.0,29.1,4,50.0,0,4,22.0,2,0.75,4.0,7.0,-3.0,-0.94,0.6,2.8,4.7,-1.9,-0.59,-0.27,1.0,3.0,2.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,17.0,1.0,3.0,25.0,,,,,,,,,,,,,,,,2023-2024
Paxten Aaronson,Eint Frankfurt,US,MF,Bundesliga,20.0,2003.0,5.0,0.0,45.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,5.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,0.16,0.16,0.0,0.16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,79.2,277.0,53.0,9.0,12.0,75.0,10.0,11.0,90.9,0.0,1.0,0.0,1.0,0.1,0.0,0.9,1.0,4.0,2.0,0.0,5.0,24.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,1.0,20.0,15.0,3.0,36.0,4.0,0.0,0.0,4.0,100.0,21.0,99.0,36.0,2.0,0.0,1.0,1.0,2.0,21.0,3.0,9.0,4.5,0,0.0,0,5,9.0,4,1.2,2.0,1.0,1.0,2.0,1.52,0.8,1.4,-0.6,-1.12,-1.27,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0,,,,,,,,,,,,,,,,2023-2024
Yunis Abdelhamid,Reims,MA,DF,Ligue 1,36.0,1987.0,12.0,12.0,1080.0,12.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,0.2,1.6,14.0,57.0,2.0,0.17,0.0,0.17,0.17,0.17,0.11,0.02,0.13,0.11,0.13,12.0,2.0,8.0,3.0,37.5,0.67,0.25,0.25,0.67,14.0,0.0,0.0,0.0,0.17,0.6,0.6,596.0,714.0,83.5,11468.0,3815.0,181.0,203.0,89.2,351.0,391.0,89.8,54.0,99.0,54.5,0.0,0.2,0.4,-0.2,4.0,57.0,2.0,0.0,57.0,714.0,646.0,64.0,24.0,2.0,8.0,1.0,10.0,0.0,0.0,0.0,0.0,596.0,4.0,8.0,6.0,0.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,13.0,10.0,1.0,8.0,17.0,47.1,9.0,22.0,15.0,7.0,11.0,35.0,37.0,0.0,847.0,117.0,388.0,428.0,40.0,13.0,847.0,9.0,6.0,66.7,3.0,33.3,593.0,3340.0,1799.0,14.0,6.0,0.0,11.0,2.0,542.0,2.0,90.0,100.0,12,90.0,12,0,0.0,0,1.67,17.0,15.0,2.0,0.17,0.0,15.4,13.5,2.0,0.17,0.0,0.0,8.0,5.0,0.0,1.0,11.0,14.0,0.0,0.0,0.0,79.0,18.0,20.0,47.4,,,,,,,,,,,,,,,,2023-2024
Salis Abdul Samed,Lens,GH,MF,Ligue 1,23.0,2000.0,12.0,9.0,844.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.5,1.3,5.0,49.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,9.4,0.0,5.0,0.0,0.0,0.53,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.17,-0.8,-0.8,459.0,515.0,89.1,7170.0,1840.0,234.0,258.0,90.7,177.0,192.0,92.2,29.0,37.0,78.4,0.0,0.5,0.9,-0.5,5.0,54.0,5.0,2.0,49.0,515.0,504.0,10.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,459.0,1.0,13.0,16.0,1.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,5.0,4.0,2.0,3.0,8.0,37.5,5.0,4.0,0.0,4.0,4.0,15.0,7.0,0.0,566.0,6.0,71.0,353.0,149.0,7.0,566.0,11.0,4.0,36.4,6.0,54.5,482.0,2506.0,1027.0,5.0,23.0,0.0,8.0,8.0,448.0,14.0,70.0,78.1,9,85.0,8,3,26.0,0,1.33,11.0,11.0,0.0,0.0,0.0,15.3,10.6,4.7,0.5,0.8,0.0,22.0,11.0,0.0,3.0,4.0,8.0,0.0,2.0,0.0,50.0,1.0,5.0,16.7,,,,,,,,,,,,,,,,2023-2024
Laurent Abergel,Lorient,FR,MF,Ligue 1,30.0,1993.0,12.0,12.0,1080.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,10.0,57.0,9.0,0.08,0.08,0.17,0.08,0.17,0.04,0.05,0.09,0.04,0.09,12.0,1.0,7.0,2.0,28.6,0.58,0.17,0.14,0.5,25.5,0.0,0.0,0.0,0.07,0.5,0.5,634.0,732.0,86.6,11332.0,3303.0,262.0,284.0,92.3,289.0,322.0,89.8,66.0,100.0,66.0,1.0,0.6,0.6,0.4,11.0,75.0,8.0,0.0,57.0,732.0,686.0,44.0,39.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,634.0,2.0,8.0,25.0,2.08,19.0,1.0,1.0,0.0,0.0,4.0,4.0,0.33,2.0,0.0,1.0,0.0,0.0,1.0,37.0,18.0,16.0,17.0,4.0,17.0,46.0,37.0,29.0,16.0,3.0,13.0,31.0,68.0,21.0,1.0,866.0,41.0,262.0,517.0,98.0,2.0,866.0,27.0,19.0,70.4,7.0,25.9,667.0,3139.0,1403.0,10.0,12.0,1.0,10.0,11.0,597.0,9.0,90.0,100.0,12,90.0,12,0,0.0,0,0.92,15.0,21.0,-6.0,-0.5,0.0,9.9,18.1,-8.1,-0.68,0.0,0.0,11.0,14.0,0.0,7.0,31.0,18.0,0.0,0.0,0.0,92.0,4.0,4.0,50.0,,,,,,,,,,,,,,,,2023-2024
Matthis Abline,Nantes,FR,FW,Ligue 1,20.0,2003.0,6.0,4.0,319.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,2.0,4.0,4.0,29.0,0.28,0.0,0.28,0.28,0.28,0.19,0.38,0.57,0.19,0.57,3.5,1.0,11.0,6.0,54.5,3.1,1.69,0.09,0.17,17.3,0.0,0.0,0.0,0.06,0.3,0.3,54.0,68.0,79.4,751.0,121.0,34.0,42.0,81.0,13.0,15.0,86.7,3.0,4.0,75.0,0.0,1.3,0.5,-1.3,8.0,1.0,3.0,1.0,4.0,68.0,62.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,3.0,14.0,3.95,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,112.0,1.0,2.0,55.0,57.0,18.0,112.0,5.0,4.0,80.0,1.0,20.0,77.0,385.0,109.0,4.0,2.0,2.0,19.0,5.0,81.0,29.0,53.0,29.5,4,64.0,0,2,31.0,1,1.5,6.0,5.0,1.0,0.28,1.11,6.0,3.7,2.3,0.65,1.7,0.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,43.8,,,,,,,,,,,,,,,,2023-2024
Abner,Betis,BR,DF,La Liga,23.0,2000.0,9.0,5.0,522.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.4,5.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,5.8,0.0,2.0,0.0,0.0,0.34,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.03,-0.1,-0.1,233.0,297.0,78.5,3416.0,1549.0,143.0,160.0,89.4,69.0,84.0,82.1,14.0,37.0,37.8,0.0,0.4,0.7,-0.4,5.0,7.0,3.0,1.0,11.0,297.0,252.0,45.0,1.0,0.0,0.0,13.0,44.0,0.0,0.0,0.0,0.0,233.0,0.0,9.0,9.0,1.55,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,0.0,6.0,13.0,46.2,7.0,13.0,3.0,10.0,6.0,13.0,19.0,0.0,365.0,29.0,134.0,140.0,94.0,15.0,365.0,4.0,3.0,75.0,1.0,25.0,183.0,676.0,357.0,5.0,4.0,1.0,7.0,4.0,201.0,29.0,58.0,44.6,5,83.0,4,4,26.0,4,1.56,9.0,7.0,2.0,0.34,0.48,6.1,8.7,-2.5,-0.43,-0.84,0.0,6.0,2.0,1.0,13.0,6.0,6.0,0.0,0.0,0.0,35.0,3.0,6.0,33.3,,,,,,,,,,,,,,,,2023-2024
Zakaria Aboukhlal,Toulouse,MA,"MF,FW",Ligue 1,23.0,2000.0,5.0,4.0,376.0,4.2,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.2,1.4,0.2,1.6,12.0,12.0,35.0,0.72,0.0,0.72,0.48,0.48,0.52,0.04,0.56,0.33,0.37,4.2,3.0,13.0,5.0,38.5,3.11,1.2,0.15,0.4,17.1,0.0,1.0,1.0,0.11,0.8,0.6,69.0,97.0,71.1,1050.0,336.0,32.0,40.0,80.0,28.0,37.0,75.7,3.0,4.0,75.0,0.0,0.2,0.2,-0.2,4.0,8.0,4.0,0.0,12.0,97.0,90.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,69.0,0.0,3.0,9.0,2.15,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,142.0,1.0,9.0,60.0,75.0,21.0,141.0,12.0,4.0,33.3,8.0,66.7,106.0,702.0,325.0,12.0,9.0,3.0,11.0,5.0,106.0,35.0,75.0,34.8,4,86.0,1,1,32.0,0,1.2,4.0,5.0,-1.0,-0.24,0.02,3.4,8.1,-4.7,-1.12,-0.36,0.0,8.0,7.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,5.0,2.0,71.4,,,,,,,,,,,,,,,,2023-2024
Abdel Abqar,Alavés,MA,DF,La Liga,24.0,1999.0,10.0,10.0,899.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,10.0,0.0,4.0,1.0,25.0,0.4,0.1,0.0,0.0,9.7,0.0,0.0,0.0,0.05,-0.2,-0.2,202.0,274.0,73.7,4620.0,2216.0,57.0,67.0,85.1,105.0,117.0,89.7,37.0,79.0,46.8,0.0,0.0,0.1,0.0,1.0,17.0,1.0,0.0,22.0,274.0,257.0,16.0,15.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,202.0,1.0,2.0,6.0,0.6,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0,0.0,1.0,5.0,11.0,45.5,6.0,11.0,9.0,2.0,8.0,16.0,50.0,0.0,373.0,83.0,209.0,151.0,14.0,7.0,373.0,2.0,2.0,100.0,0.0,0.0,172.0,757.0,431.0,1.0,4.0,0.0,5.0,0.0,178.0,0.0,90.0,76.8,10,90.0,9,0,0.0,2,0.8,9.0,15.0,-6.0,-0.6,-0.27,12.1,13.4,-1.4,-0.14,-1.08,0.0,13.0,10.0,1.0,0.0,8.0,3.0,0.0,2.0,1.0,43.0,18.0,8.0,69.2,,,,,,,,,,,,,,,,2023-2024
