,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,James Abankwah,Udinese,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,Keyliane Abdallah,Marseille,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
2,Yunis Abdelhamid,Saint-Étienne,5.0,5,2,5,0,0,4,7,57.1,3,9,8,1,3,8,24,0
3,Himad Abdelli,Angers,6.9,13,9,2,5,6,5,12,41.7,7,6,0,6,6,19,6,0
4,Mohamed Abdelmoneim,Nice,1.8,9,6,6,2,1,6,11,54.5,5,1,1,0,0,9,4,1
5,Ali Abdi,Nice,2.5,11,7,5,2,4,10,15,66.7,5,7,3,4,1,12,7,0
6,Abel,Osasuna,6.8,19,13,10,6,3,12,19,63.2,7,12,2,10,6,25,23,0
7,Nabil Aberdin,Getafe,2.6,5,4,3,2,0,1,1,100.0,0,2,0,2,0,5,5,0
8,Oliver Abildgaard,Como,0.1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
9,Matthis Abline,Nantes,6.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,12,0
10,Abner,Lyon,5.2,13,8,5,6,2,10,14,71.4,4,8,1,7,5,18,12,0
11,Zakaria Aboukhlal,Toulouse,5.3,3,1,0,1,2,2,4,50.0,2,3,0,3,2,5,1,0
12,Abdel Abqar,Alavés,7.5,8,5,3,5,0,2,6,33.3,4,6,3,3,18,26,33,0
13,Tammy Abraham,Roma,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
14,Tammy Abraham,Milan,3.9,4,1,0,4,0,0,0,0.0,0,3,0,3,1,5,3,0
15,Federico Accornero,Genoa,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
16,Francesco Acerbi,Inter,6.0,6,4,5,1,0,2,3,66.7,1,6,6,0,10,16,23,0
17,Akor Adams,Montpellier,6.1,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,3,0
18,Che Adams,Torino,4.3,3,2,1,1,1,0,1,0.0,1,2,2,0,0,3,1,0
19,Junior Adamu,Freiburg,5.5,0,0,0,0,0,0,2,0.0,2,5,0,5,3,3,5,0
20,Tosin Adarabioyo,Chelsea,1.3,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,6,0
21,Martin Adeline,Reims,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
22,Karim Adeyemi,Dortmund,3.4,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0
23,Simon Adingra,Brighton,1.5,4,2,2,2,0,3,5,60.0,2,3,0,3,2,6,0,0
24,Amine Adli,Leverkusen,1.6,4,2,0,1,3,1,2,50.0,1,2,0,2,0,4,2,0
26,Yacine Adli,Fiorentina,1.6,5,3,2,2,1,1,3,33.3,2,0,0,0,2,7,3,0
27,Adryelson,Lyon,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
28,Michel Aebischer,Bologna,4.2,7,4,1,4,2,4,8,50.0,4,3,1,2,5,12,2,0
29,Oladapo Afolayan,St. Pauli,3.8,6,3,1,2,3,2,4,50.0,2,2,0,2,2,8,3,0
30,Emmanuel Agbadou,Reims,7.0,20,13,15,3,2,15,19,78.9,4,16,11,5,8,28,35,1
31,Julen Agirrezabala,Athletic Club,5.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
32,Lucien Agoume,Sevilla,6.0,12,4,7,3,2,6,9,66.7,3,12,5,7,7,19,8,0
33,Felix Agu,Werder Bremen,5.6,8,4,5,2,1,4,7,57.1,3,4,1,3,5,13,16,0
34,Alvaro Aguado,Espanyol,2.5,4,2,2,2,0,2,4,50.0,2,5,0,5,1,5,5,1
35,Nayef Aguerd,Real Sociedad,4.7,8,6,4,4,0,3,5,60.0,2,6,2,4,6,14,14,0
36,Ruben Aguilar,Lens,3.0,9,6,5,4,0,7,9,77.8,2,5,1,4,5,14,2,0
37,Honest Ahanor,Genoa,0.8,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,2,0
38,Jean-Eudes Aholou,Angers,5.1,13,10,6,4,3,6,13,46.2,7,5,2,3,8,21,6,0
39,Joseph Aidoo,Celta Vigo,0.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
40,Ayman Aiki,Saint-Étienne,1.0,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0
41,Ola Aina,Nott'ham Forest,6.6,11,6,7,4,0,8,14,57.1,6,8,4,4,10,21,22,1
