,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Julen Agirrezabala,Athletic Club,2,2,180,2.0,1,0.50,2,1,50.0,1,0,1,1,50.0,0,0,0,0,0.0
1,Alisson,Liverpool,3,3,270,3.0,0,0.00,7,7,100.0,3,0,0,3,100.0,0,0,0,0,0.0
2,Alphonse Areola,West Ham,3,3,225,2.5,4,1.60,10,6,60.0,1,0,2,1,33.3,0,0,0,0,0.0
3,Kepa Arrizabalaga,Bournemouth,1,1,90,1.0,2,2.00,8,6,75.0,1,0,0,0,0.0,0,0,0,0,0.0
4,Oliver Baumann,Hoffenheim,2,2,180,2.0,5,2.50,13,8,61.5,1,0,1,0,0.0,0,0,0,0,0.0
5,Marco Bizot,Brest,3,3,270,3.0,7,2.33,14,8,64.3,1,0,2,1,33.3,2,2,0,0,0.0
6,Marcin Bulka,Nice,3,3,270,3.0,4,1.33,18,14,83.3,1,1,1,0,0.0,1,1,0,0,0.0
7,Cardenas,Rayo Vallecano,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,0.0
8,Marco Carnesecchi,Atalanta,2,2,180,2.0,6,3.00,10,5,40.0,0,0,2,0,0.0,0,0,0,0,0.0
9,Lucas Chevalier,Lille,3,3,270,3.0,3,1.00,9,6,77.8,2,0,1,2,66.7,1,1,0,0,0.0
10,Jasper Cillessen,Las Palmas,4,4,360,4.0,7,1.75,23,16,73.9,0,2,2,0,0.0,3,1,1,1,50.0
11,Diego Conde,Villarreal,4,4,360,4.0,7,1.75,23,16,69.6,2,2,0,0,0.0,0,0,0,0,0.0
12,Thibaut Courtois,Real Madrid,4,4,360,4.0,2,0.50,9,7,77.8,2,2,0,2,50.0,0,0,0,0,0.0
13,Arthur Desmas,Le Havre,3,3,270,3.0,5,1.67,17,12,76.5,2,0,1,1,33.3,1,1,0,0,0.0
14,Michele Di Gregorio,Juventus,3,3,270,3.0,0,0.00,2,2,100.0,2,1,0,3,100.0,0,0,0,0,0.0
15,Yehvann Diouf,Reims,3,3,270,3.0,5,1.67,21,16,76.2,1,1,1,0,0.0,0,0,0,0,0.0
16,Gianluigi Donnarumma,Paris S-G,3,3,270,3.0,2,0.67,9,7,77.8,3,0,0,1,33.3,0,0,0,0,0.0
17,Patrick Drewes,Bochum,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,0,0,0,0,0.0
18,Ederson,Manchester City,3,3,270,3.0,2,0.67,6,5,66.7,3,0,0,1,33.3,0,0,0,0,0.0
19,Lukasz Fabianski,West Ham,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0.0
20,Wladimiro Falcone,Lecce,3,3,270,3.0,6,2.00,11,5,63.6,1,0,2,1,33.3,2,2,0,0,0.0
21,Mark Flekken,Brentford,3,3,270,3.0,4,1.33,20,17,80.0,2,0,1,0,0.0,0,0,0,0,0.0
22,Yahia Fofana,Angers,3,3,270,3.0,7,2.33,18,11,61.1,0,0,3,0,0.0,0,0,0,0,0.0
