,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Rodrigo Abajas,Valencia,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
1,James Abankwah,Udinese,0.2,0,0,0,0,2,0,0,1,0,0,0,0,2,1,1,50.0
2,Keyliane Abdallah,Marseille,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
3,Yunis Abdelhamid,Saint-Étienne,6.4,1,0,0,9,4,0,0,5,7,0,0,0,21,10,6,62.5
4,Himad Abdelli,Angers,10.8,1,0,0,15,10,2,25,9,13,0,0,0,62,6,7,46.2
5,Mohamed Abdelmoneim,Nice,4.8,2,0,0,2,3,0,0,11,10,0,0,0,25,9,10,47.4
6,Ali Abdi,Nice,6.5,1,0,0,10,3,1,17,3,10,0,0,0,34,9,7,56.3
7,Abel,Osasuna,9.1,2,0,0,8,12,0,26,9,16,0,0,0,46,10,6,62.5
8,Nabil Aberdin,Getafe,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
9,Oliver Abildgaard,Como,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
10,Matthis Abline,Nantes,8.7,1,0,0,11,14,1,8,1,3,0,0,0,20,12,19,38.7
11,Abner,Lyon,6.2,1,0,0,9,1,0,20,5,8,0,0,0,24,3,4,42.9
12,Zakaria Aboukhlal,Toulouse,9.2,1,0,0,19,9,2,17,3,5,0,0,0,20,14,14,50.0
13,Abdel Abqar,Alavés,10.5,6,0,0,26,8,1,2,21,9,1,0,0,28,12,13,48.0
14,Tammy Abraham,Roma,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
15,Tammy Abraham,Milan,4.2,0,0,0,9,3,1,1,2,1,1,0,0,4,7,7,50.0
16,Federico Accornero,Genoa,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
17,Francesco Acerbi,Inter,7.3,0,0,0,4,8,0,3,15,4,0,0,0,18,23,10,69.7
18,Akor Adams,Montpellier,9.2,2,0,0,16,7,15,4,1,2,1,0,0,19,22,19,53.7
19,Che Adams,Torino,7.5,0,0,0,6,11,7,2,0,3,0,0,0,11,12,18,40.0
20,Tyler Adams,Bournemouth,1.1,1,0,0,1,0,0,0,4,2,0,0,0,6,1,0,100.0
21,Junior Adamu,Freiburg,8.6,3,0,0,18,15,8,2,5,0,0,0,0,26,23,59,28.0
22,Tosin Adarabioyo,Chelsea,1.9,1,0,0,2,0,0,0,1,2,0,0,0,7,0,0,0.0
23,Martin Adeline,Reims,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
24,Karim Adeyemi,Dortmund,3.4,0,0,0,5,3,0,1,1,5,0,0,0,12,1,3,25.0
26,Simon Adingra,Brighton,2.3,0,0,0,3,0,0,10,3,2,0,0,0,12,1,1,50.0
27,Amine Adli,Leverkusen,2.3,1,0,0,2,7,0,11,0,4,2,0,0,12,6,4,60.0
28,Yacine Adli,Fiorentina,4.5,1,0,0,1,10,0,21,2,6,0,0,0,27,3,4,42.9
29,Adryelson,Lyon,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
30,Vasilije Adzic,Juventus,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0
31,Michel Aebischer,Bologna,4.2,0,0,0,8,8,0,6,5,4,0,0,0,18,3,6,33.3
32,Oladapo Afolayan,St. Pauli,6.7,0,0,0,10,13,1,19,5,5,0,0,0,29,6,20,23.1
33,Emmanuel Agbadou,Reims,11.0,3,0,0,10,3,0,0,9,15,0,0,0,62,13,10,56.5
34,Asher Agbinone,Crystal Palace,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
35,Julen Agirrezabala,Athletic Club,9.4,0,1,0,2,1,0,0,0,0,0,1,0,13,5,0,100.0
36,Lucien Agoume,Sevilla,7.6,1,1,0,17,2,2,3,11,6,0,1,0,38,14,16,46.7
37,Felix Agu,Werder Bremen,8.9,1,0,0,7,17,2,21,8,5,0,0,1,25,9,12,42.9
38,Alvaro Aguado,Espanyol,3.2,1,0,0,2,7,0,9,2,2,0,0,0,24,2,1,66.7
39,Nayef Aguerd,Real Sociedad,8.7,1,0,0,2,8,0,0,8,9,0,0,0,33,19,13,59.4
40,Ruben Aguilar,Lens,3.0,1,0,0,5,2,1,9,5,6,0,0,0,21,2,2,50.0
41,Honest Ahanor,Genoa,0.9,0,0,0,0,4,0,1,0,1,0,0,0,5,0,1,0.0
42,Jean-Eudes Aholou,Angers,8.5,2,0,0,16,5,1,0,15,15,0,0,0,38,13,7,65.0
43,Joseph Aidoo,Celta Vigo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
44,Ayman Aiki,Saint-Étienne,1.0,0,0,0,2,1,0,1,1,3,0,0,0,4,1,3,25.0
45,Ola Aina,Nott'ham Forest,10.6,1,0,0,5,12,1,23,14,16,0,0,0,64,4,9,30.8
46,Rayan Ait-Nouri,Wolves,10.2,4,0,0,16,6,1,18,11,11,0,0,0,47,5,10,33.3
47,Kristoffer Ajer,Brentford,7.1,3,0,0,6,3,0,5,6,5,0,0,0,16,8,11,42.1
48,Ludovic Ajorque,Brest,7.8,2,0,0,14,12,5,0,2,6,2,0,0,16,38,28,57.6
49,Manuel Akanji,Manchester City,8.7,1,0,0,5,4,0,8,4,5,0,0,0,33,11,16,40.7
50,Umit Akdag,Toulouse,1.6,0,0,0,5,0,0,1,6,2,0,0,0,10,14,3,82.4
52,Nathan Ake,Manchester City,0.8,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,33.3
53,Ilias Akhomach,Villarreal,6.5,1,0,0,9,21,1,18,3,7,0,0,0,30,6,6,50.0
54,Sergio Akieme,Reims,7.9,1,0,0,8,5,0,24,5,8,0,0,0,34,11,11,50.0
55,Maghnes Akliouche,Monaco,7.4,0,0,0,9,11,2,17,3,8,0,0,0,41,1,2,33.3
56,Clement Akpa,Auxerre,8.0,2,0,0,3,14,0,22,10,9,0,1,0,32,12,11,52.2
57,David Akpan Ankeye,Genoa,0.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0
58,Kevin Akpoguma,Hoffenheim,9.0,3,0,0,15,8,0,4,7,4,0,2,0,35,18,18,50.0
59,Andreas Albers,St. Pauli,0.4,0,0,0,1,1,0,0,0,0,0,0,0,2,8,6,57.1
60,Raul Albiol,Villarreal,8.2,3,0,0,7,3,0,0,4,3,0,1,1,19,17,10,63.0
61,Carlos Alcaraz,Southampton,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
62,Omar Alderete,Getafe,12.0,3,0,0,10,5,3,2,15,12,0,0,0,46,41,26,61.2
63,Carles Alena,Getafe,3.5,1,0,0,6,6,2,5,0,3,0,0,0,9,8,9,47.1
64,Trent Alexander-Arnold,Liverpool,9.6,2,0,0,3,5,1,48,8,24,0,0,0,41,2,7,22.2
65,Alfon,Celta Vigo,2.4,0,1,0,7,7,0,5,2,0,0,0,0,1,0,3,0.0
66,Mohamed Ali Cho,Nice,7.1,1,0,0,5,22,8,20,1,3,0,0,0,28,6,10,37.5
67,Faride Alidou,Hellas Verona,0.8,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,100.0
68,Alisson,Liverpool,5.9,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,100.0
69,Tadeo Allende,Celta Vigo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
70,Jim Allevinah,Angers,5.8,1,0,0,5,6,3,11,3,4,0,0,0,25,6,8,42.9
71,Domingos Andre Ribeiro Almeida,Valencia,5.0,0,0,0,8,4,2,14,3,7,0,0,0,23,2,4,33.3
72,Iker Almena,Girona,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0.0
73,Miguel Almiron,Newcastle Utd,1.2,0,0,0,1,1,1,0,0,1,0,0,0,4,0,2,0.0
74,Pontus Almqvist,Parma,3.6,0,0,0,5,5,0,1,6,5,1,0,0,19,4,5,44.4
75,Marcos Alonso,Celta Vigo,8.1,1,0,0,7,9,1,6,8,8,0,0,0,38,22,12,64.7
76,Giorgio Altare,Venezia,3.8,1,0,0,8,1,0,6,8,4,0,0,1,13,12,8,60.0
78,Adria Altimira,Leganés,5.8,0,0,0,5,9,2,7,10,5,0,0,0,24,9,9,50.0
79,Sergi Altimira,Betis,7.2,2,0,0,12,12,0,1,4,11,0,0,0,47,3,7,30.0
80,Edson Alvarez,West Ham,4.5,4,1,1,13,5,0,0,8,7,0,0,0,23,6,3,66.7
81,Hugo Alvarez,Celta Vigo,10.1,3,0,0,15,11,1,19,6,5,0,1,0,52,3,2,60.0
82,Julian Alvarez,Atlético Madrid,8.4,1,0,0,9,1,4,8,0,1,0,0,0,21,7,12,36.8
83,Yeray Alvarez,Athletic Club,6.0,2,0,0,6,9,0,2,16,5,0,0,0,18,11,12,47.8
84,Skelly Alvero,Werder Bremen,1.1,0,0,0,2,3,0,0,2,3,0,0,0,3,1,1,50.0
85,Selim Amallah,Valladolid,7.4,1,0,0,14,12,0,18,7,7,0,0,0,34,2,5,28.6
86,Amath,Valladolid,3.3,0,0,0,3,5,2,4,2,0,0,0,0,11,1,3,25.0
87,Jordan Amavi,Brest,7.3,2,0,0,14,6,0,13,7,16,0,2,0,27,13,5,72.2
88,Aurele Amenda,Eint Frankfurt,0.8,1,0,0,3,1,0,0,1,0,0,0,0,1,4,1,80.0
89,Kelvin Amian,Nantes,7.4,1,0,0,11,2,0,10,1,13,0,0,0,23,4,5,44.4
90,Michael Amir Murillo,Marseille,8.8,0,0,0,11,8,1,6,8,15,0,0,0,43,14,3,82.4
91,Nadiem Amiri,Mainz 05,8.1,3,1,1,13,13,0,48,6,2,0,0,0,62,4,4,50.0
92,Samuel Amo-Ameyaw,Southampton,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
93,Mathis Amougou,Saint-Étienne,7.0,2,0,0,5,3,0,1,11,6,0,0,0,29,1,9,10.0
94,Mohamed Amoura,Wolfsburg,7.2,3,0,0,12,5,8,10,2,3,1,0,0,31,3,7,30.0
95,Sofyan Amrabat,Fiorentina,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0
96,Joachim Andersen,Crystal Palace,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
97,Joachim Andersen,Fulham,6.7,0,1,0,3,6,0,1,11,3,0,0,0,32,17,13,56.7
98,Elliot Anderson,Nott'ham Forest,7.0,3,0,0,13,19,1,22,4,15,0,0,0,42,10,6,62.5
99,Andre,Wolves,4.0,2,0,0,6,8,0,0,2,5,0,0,0,25,0,0,0.0
100,Benjamin Andre,Lille,8.9,5,0,0,12,12,2,4,13,11,0,0,0,56,30,28,51.7
101,Marcos Andre,Valladolid,3.2,2,0,0,4,12,1,0,1,0,0,0,0,15,13,10,56.5
102,Robert Andrich,Leverkusen,7.5,3,0,0,15,8,0,4,11,7,0,1,0,37,10,5,66.7
104,Angelino,Roma,11.0,0,0,0,11,8,3,36,9,6,0,0,0,32,15,15,50.0
105,Lorenzo Anghele,Juventus,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
106,Faustino Anjorin,Empoli,4.8,1,0,0,10,10,0,5,4,5,0,1,0,22,3,6,33.3
107,Waldemar Anton,Dortmund,7.5,2,0,0,9,10,0,8,7,9,0,0,0,37,20,14,58.8
108,Michail Antonio,West Ham,7.4,1,0,0,8,4,4,17,0,1,0,0,0,17,12,20,37.5
109,Antoniu,Espanyol,0.7,2,0,0,3,3,0,2,1,0,0,0,0,2,0,0,0.0
110,Antony,Manchester Utd,0.3,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0.0
111,Anuar,Valladolid,3.5,2,0,0,3,10,1,3,4,5,1,0,0,12,10,5,66.7
112,Dennis Appiah,Saint-Étienne,7.3,0,0,0,12,1,0,23,7,16,0,2,0,26,5,6,45.5
113,Aritz Arambarri,Leganés,2.0,0,0,0,0,0,0,0,3,1,0,0,0,4,6,8,42.9
114,Mauro Arambarri,Getafe,9.2,4,0,0,14,11,1,6,3,4,0,0,0,32,23,22,51.1
115,Jon Aramburu,Real Sociedad,8.4,4,0,0,16,5,3,14,9,25,0,1,0,39,13,7,65.0
116,Julian Araujo,Bournemouth,3.9,1,0,0,4,1,0,4,4,3,0,0,0,24,2,6,25.0
