,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Keyliane Abdallah,Marseille,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
1,Yunis Abdelhamid,Saint-Étienne,2.0,106,91,15,8,0,0,0,1,0,0,0,0,93,0,0
2,Himad Abdelli,Angers,2.0,117,105,11,5,0,0,8,1,2,2,0,0,88,1,2
3,Abel,Osasuna,1.7,83,59,24,1,0,0,6,23,0,0,0,0,56,0,1
4,Nabil Aberdin,Getafe,1.7,33,30,2,2,0,1,0,0,0,0,0,0,20,1,1
5,Oliver Abildgaard,Como,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Matthis Abline,Nantes,1.8,30,30,0,0,0,1,2,0,0,0,0,0,20,0,2
7,Abner,Lyon,1.7,107,83,23,0,0,1,1,23,0,0,0,0,87,1,2
8,Zakaria Aboukhlal,Toulouse,2.0,41,38,3,0,0,0,4,2,1,1,0,0,30,0,1
9,Abdel Abqar,Alavés,3.0,97,91,6,5,0,1,1,1,0,0,0,0,67,0,1
10,Tammy Abraham,Roma,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Francesco Acerbi,Inter,2.0,156,150,6,4,0,0,1,1,0,0,0,0,147,0,0
12,Akor Adams,Montpellier,1.1,15,13,2,0,0,0,0,0,0,0,0,0,7,0,0
13,Che Adams,Torino,1.3,33,29,4,0,1,1,0,0,0,0,0,0,25,0,0
14,Junior Adamu,Freiburg,1.0,14,14,0,0,0,0,0,0,0,0,0,0,7,0,1
15,Martin Adeline,Reims,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
16,Karim Adeyemi,Dortmund,0.6,13,12,1,0,0,0,0,0,0,0,0,0,9,0,3
17,Simon Adingra,Brighton,0.5,25,24,0,0,0,0,1,0,0,0,0,0,16,1,0
18,Amine Adli,Leverkusen,0.1,8,7,1,0,0,0,0,1,0,0,0,0,7,0,0
19,Michel Aebischer,Bologna,1.0,70,66,4,2,0,1,1,0,2,0,1,0,57,0,0
20,Oladapo Afolayan,St. Pauli,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
21,Emmanuel Agbadou,Reims,2.0,108,100,8,5,0,4,0,0,0,0,0,0,89,0,1
22,Julen Agirrezabala,Athletic Club,1.0,36,31,5,2,0,0,0,0,0,0,0,0,26,0,0
23,Lucien Agoume,Sevilla,2.0,120,117,3,3,1,0,0,0,0,0,0,0,98,0,0
24,Felix Agu,Werder Bremen,1.0,41,35,6,0,0,2,4,6,0,0,0,0,35,0,2
26,Alvaro Aguado,Espanyol,1.2,66,63,3,2,0,2,7,0,1,0,1,0,50,0,3
27,Ruben Aguilar,Lens,2.0,135,106,29,3,0,1,5,26,0,0,0,0,109,0,6
28,Jean-Eudes Aholou,Angers,1.0,24,23,0,0,0,0,0,0,0,0,0,0,20,1,0
29,Ayman Aiki,Saint-Étienne,0.3,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
30,Ola Aina,Nott'ham Forest,1.6,92,74,18,2,0,0,1,16,0,0,0,0,74,0,1
31,Rayan Ait-Nouri,Wolves,1.7,70,51,19,4,0,0,2,14,1,0,1,0,64,0,0
32,Kristoffer Ajer,Brentford,2.0,81,69,12,0,0,1,0,12,0,0,0,0,63,0,4
33,Ludovic Ajorque,Brest,1.6,44,43,1,0,0,0,0,0,0,0,0,0,31,0,0
34,Manuel Akanji,Manchester City,2.0,202,199,2,0,0,1,1,2,0,0,0,0,195,1,1
