,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,Bournemouth,0.2,17,20,85.0,278,76,8,9,88.9,7,7,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,4
1,Rodrigo Abajas,Valencia,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2
2,James Abankwah,Udinese,0.2,12,14,85.7,213,52,4,4,100.0,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
3,Keyliane Abdallah,Marseille,0.0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
4,Yunis Abdelhamid,Saint-Étienne,8.4,307,362,84.8,5631,1796,98,108,90.7,187,206,90.8,17,38,44.7,0,0.0,0.0,0.0,1,24,0,0,19
5,Himad Abdelli,Angers,12.8,600,738,81.3,8977,2705,330,375,88.0,219,257,85.2,29,66,43.9,1,2.0,1.5,-1.0,21,67,19,0,91
6,Mohamed Abdelmoneim,Nice,5.8,240,275,87.3,4226,1375,98,106,92.5,124,138,89.9,13,23,56.5,0,0.0,0.1,0.0,0,14,1,0,23
7,Ali Abdi,Nice,6.5,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,2,1.2,1.0,+0.8,10,7,8,2,16
8,Saud Abdulhamid,Roma,0.1,8,10,80.0,157,34,2,3,66.7,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2
9,Abel,Osasuna,9.4,275,400,68.8,4718,2172,142,160,88.8,101,144,70.1,25,70,35.7,0,0.3,0.5,-0.3,5,26,5,4,35
10,Nabil Aberdin,Getafe,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6
11,Oliver Abildgaard,Como,0.1,1,1,100.0,21,7,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
12,Matthis Abline,Nantes,10.6,121,175,69.1,1900,345,56,78,71.8,50,65,76.9,8,13,61.5,0,0.8,1.2,-0.8,8,10,8,0,25
13,Abner,Lyon,7.2,321,393,81.7,4699,2056,186,205,90.7,103,126,81.7,19,32,59.4,0,0.4,1.5,-0.4,7,26,6,1,34
14,Zakaria Aboukhlal,Toulouse,11.1,124,199,62.3,1567,471,81,109,74.3,35,62,56.5,2,6,33.3,2,1.0,1.0,+1.0,3,7,6,1,15
15,Abdel Abqar,Alavés,12.5,298,413,72.2,6647,2578,88,99,88.9,157,180,87.2,51,120,42.5,1,0.2,0.3,+0.8,5,32,6,1,49
16,Tammy Abraham,Roma,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
17,Tammy Abraham,Milan,4.3,43,61,70.5,585,115,26,35,74.3,15,19,78.9,1,2,50.0,1,0.8,0.6,+0.2,5,2,3,0,5
18,Federico Accornero,Genoa,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
19,Francesco Acerbi,Inter,7.4,555,586,94.7,10328,2924,183,195,93.8,330,339,97.3,35,40,87.5,1,0.2,0.4,+0.8,3,29,3,2,29
20,Akor Adams,Montpellier,9.2,79,130,60.8,1078,134,46,66,69.7,26,41,63.4,2,8,25.0,1,0.7,0.1,+0.3,10,6,0,0,5
21,Che Adams,Torino,9.5,133,186,71.5,1964,318,73,93,78.5,45,59,76.3,7,14,50.0,1,1.0,1.5,0.0,10,10,2,0,8
22,Tyler Adams,Bournemouth,2.8,98,116,84.5,1557,355,47,53,88.7,46,53,86.8,3,5,60.0,0,0.1,0.0,-0.1,2,7,0,0,8
23,Junior Adamu,Freiburg,8.9,112,176,63.6,1344,110,68,98,69.4,29,44,65.9,1,2,50.0,1,1.4,1.5,-0.4,13,3,2,0,5
