,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Max Aarons,Bournemouth,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alvaro Abajas,Leganés,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rodrigo Abajas,Valencia,1,65,65,6.6,0.7,1,65,0,0,0.0,8,0.00,1,2,-1,-1.38,-0.61,1.4,0.7,+0.7,+0.93,+1.96
3,James Abankwah,Udinese,2,15,8,1.4,0.2,0,0.0,0,2,8,10,1.50,0,0,0,0.00,+0.25,0.1,0.2,-0.1,-0.60,-0.07
4,Keyliane Abdallah,Marseille,1,3,3,0.3,0.0,0,0.0,0,1,3,4,3.00,0,0,0,0.00,-0.82,0.0,0.0,0.0,-0.49,-0.35
5,Yunis Abdelhamid,Saint-Étienne,7,576,82,58.2,6.4,7,82,5,0,0.0,4,0.43,2,19,-17,-2.66,-3.09,5.2,16.2,-11.0,-1.72,-2.17
6,Himad Abdelli,Angers,11,972,88,98.2,10.8,11,88,9,0,0.0,0,0.91,11,20,-9,-0.83,-10.83,11.0,19.0,-8.1,-0.75,-4.54
7,Mohamed Abdelmoneim,Nice,6,428,71,43.2,4.8,5,81,4,1,23,2,1.83,6,4,+2,+0.42,-0.86,7.3,4.2,+3.1,+0.65,+0.16
8,Ali Abdi,Nice,8,581,73,58.7,6.5,6,90,5,2,21,0,1.63,9,5,+4,+0.62,-0.70,10.5,7.1,+3.4,+0.53,-0.07
9,Saud Abdulhamid,Roma,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Abel,Osasuna,12,820,68,70.1,9.1,9,86,7,3,14,1,1.75,10,15,-5,-0.55,-1.06,7.4,12.4,-5.1,-0.55,-0.91
11,Nabil Aberdin,Getafe,7,263,38,22.5,2.9,4,63,1,3,4,2,1.14,1,2,-1,-0.34,-0.14,1.8,1.6,+0.2,+0.07,-0.14
12,Oliver Abildgaard,Como,1,7,7,0.6,0.1,0,0.0,0,1,7,0,0.00,0,0,0,0.00,+0.84,0.0,0.0,0.0,-0.61,-0.50
13,Matthis Abline,Nantes,11,787,72,79.5,8.7,10,76,0,1,23,0,0.91,9,11,-2,-0.23,+0.21,8.7,11.0,-2.3,-0.26,+0.36
14,Abner,Lyon,8,555,69,56.1,6.2,7,78,2,1,8,3,1.63,8,8,0,0.00,-0.62,9.8,9.3,+0.5,+0.08,-0.72
15,Zakaria Aboukhlal,Toulouse,11,827,75,83.5,9.2,10,80,3,1,27,0,1.36,10,8,+2,+0.22,+0.22,13.6,7.4,+6.3,+0.68,+0.08
16,Abdel Abqar,Alavés,12,948,79,81.0,10.5,12,79,8,0,0.0,0,1.08,11,19,-8,-0.76,-0.76,10.5,14.5,-3.9,-0.37,+0.02
17,Tammy Abraham,Roma,1,1,1,0.1,0.0,0,0.0,0,1,1,1,1.00,0,0,0,0.00,+0.25,0.0,0.1,0.0,-3.09,-3.02
