,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Keyliane Abdallah,Marseille,0.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,Yunis Abdelhamid,Saint-Étienne,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
2,Himad Abdelli,Angers,4.0,1,6,1,16.7,1.50,0.25,0.00,0.00,23.9,0,1,1,1.0,0.3,0.04,0.0,-0.3
3,Mohamed Abdelmoneim,Nice,1.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
4,Ali Abdi,Nice,0.2,0,1,0,0.0,4.09,0.00,0.00,0.0,9.4,0,0,0,0.4,0.4,0.38,-0.4,-0.4
5,Abel,Osasuna,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,16.6,0,0,0,0.1,0.1,0.13,+0.9,+0.9
6,Nabil Aberdin,Getafe,2.5,0,2,0,0.0,0.81,0.00,0.00,0.0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
7,Oliver Abildgaard,Como,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Matthis Abline,Nantes,3.5,1,16,5,31.3,4.54,1.42,0.06,0.20,14.8,0,0,0,1.0,1.0,0.07,0.0,0.0
9,Abner,Lyon,3.3,0,3,2,66.7,0.92,0.61,0.00,0.00,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
10,Zakaria Aboukhlal,Toulouse,3.6,0,10,5,50.0,2.79,1.39,0.00,0.00,13.9,0,0,0,1.3,1.3,0.13,-1.3,-1.3
11,Abdel Abqar,Alavés,4.7,0,1,0,0.0,0.21,0.00,0.00,0.0,7.6,0,0,0,0.0,0.0,0.05,0.0,0.0
12,Tammy Abraham,Roma,0.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
13,Tammy Abraham,Milan,1.0,1,2,2,100.0,1.94,1.94,0.00,0.00,19.6,0,1,1,1.0,0.2,0.13,0.0,-0.2
14,Federico Accornero,Genoa,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,Francesco Acerbi,Inter,3.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,Akor Adams,Montpellier,3.1,1,6,5,83.3,1.91,1.60,0.17,0.20,13.1,0,0,0,1.0,1.0,0.17,0.0,0.0
17,Che Adams,Torino,3.2,1,5,4,80.0,1.57,1.26,0.20,0.25,16.6,0,0,0,1.1,1.1,0.23,-0.1,-0.1
18,Junior Adamu,Freiburg,3.0,2,8,4,50.0,2.71,1.35,0.25,0.50,13.3,0,0,0,2.0,2.0,0.25,0.0,0.0
19,Tosin Adarabioyo,Chelsea,0.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
20,Martin Adeline,Reims,0.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
