,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Max Aarons,Bournemouth,0.2,2,11.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Rodrigo Abajas,Valencia,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,James Abankwah,Udinese,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Keyliane Abdallah,Marseille,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Yunis Abdelhamid,Saint-Étienne,8.4,3,0.36,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Himad Abdelli,Angers,12.8,40,3.13,33,2,2,1,2,0,2,0.16,1,0,1,0,0,0
6,Mohamed Abdelmoneim,Nice,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Ali Abdi,Nice,6.5,20,3.10,13,3,2,2,0,0,2,0.31,1,1,0,0,0,0
8,Saud Abdulhamid,Roma,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Abel,Osasuna,9.4,12,1.28,9,0,1,0,1,1,2,0.21,0,0,1,0,0,1
10,Nabil Aberdin,Getafe,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,Oliver Abildgaard,Como,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Matthis Abline,Nantes,10.6,22,2.06,14,0,3,3,2,0,2,0.19,1,0,1,0,0,0
13,Abner,Lyon,7.2,14,1.95,11,3,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Zakaria Aboukhlal,Toulouse,11.1,17,1.53,8,0,4,4,1,0,4,0.36,3,0,1,0,0,0
15,Abdel Abqar,Alavés,12.5,15,1.20,10,0,0,2,1,2,2,0.16,1,0,0,0,1,0
16,Tammy Abraham,Roma,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Tammy Abraham,Milan,4.3,13,3.02,8,0,0,4,1,0,3,0.70,1,0,0,1,1,0
18,Federico Accornero,Genoa,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Francesco Acerbi,Inter,7.4,7,0.94,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0
20,Akor Adams,Montpellier,9.2,18,1.95,14,0,3,0,1,0,3,0.33,1,0,1,0,1,0
21,Che Adams,Torino,9.5,22,2.32,17,0,0,3,2,0,1,0.11,1,0,0,0,0,0
22,Tyler Adams,Bournemouth,2.8,6,2.12,4,0,0,0,0,2,0,0.00,0,0,0,0,0,0
23,Junior Adamu,Freiburg,8.9,21,2.34,16,0,1,2,2,0,3,0.33,2,0,0,1,0,0
24,Tosin Adarabioyo,Chelsea,1.9,2,1.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Martin Adeline,Reims,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Karim Adeyemi,Dortmund,3.4,13,3.84,8,0,2,2,1,0,3,0.89,3,0,0,0,0,0
28,Simon Adingra,Brighton,2.8,9,3.23,7,0,1,1,0,0,2,0.72,2,0,0,0,0,0
29,Amine Adli,Leverkusen,2.3,11,4.83,5,0,2,1,3,0,0,0.00,0,0,0,0,0,0
30,Yacine Adli,Fiorentina,5.5,25,4.55,17,7,1,0,0,0,5,0.91,2,2,1,0,0,0
31,Adryelson,Lyon,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Vasilije Adzic,Juventus,0.2,2,9.47,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
33,Michel Aebischer,Bologna,4.2,9,2.14,6,2,0,0,0,1,0,0.00,0,0,0,0,0,0
34,Oladapo Afolayan,St. Pauli,8.7,27,3.10,14,0,7,4,2,0,3,0.34,1,0,2,0,0,0
35,Emmanuel Agbadou,Reims,12.0,20,1.67,18,0,1,1,0,0,1,0.08,1,0,0,0,0,0
36,Asher Agbinone,Crystal Palace,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
37,Julen Agirrezabala,Athletic Club,11.4,3,0.26,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
38,Lucien Agoume,Sevilla,7.7,19,2.47,17,0,1,1,0,0,1,0.13,0,0,0,1,0,0
39,Felix Agu,Werder Bremen,8.9,17,1.91,14,0,1,0,2,0,1,0.11,1,0,0,0,0,0
40,Alvaro Aguado,Espanyol,3.5,13,3.70,12,0,0,1,0,0,0,0.00,0,0,0,0,0,0
41,Nayef Aguerd,Real Sociedad,10.2,8,0.78,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0
42,Ruben Aguilar,Lens,3.0,8,2.67,8,0,0,0,0,0,1,0.33,1,0,0,0,0,0
43,Honest Ahanor,Genoa,0.9,2,2.12,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
44,Erik Ahlstrand,St. Pauli,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Jean-Eudes Aholou,Angers,10.4,18,1.74,11,0,2,1,2,2,0,0.00,0,0,0,0,0,0
46,Joseph Aidoo,Celta Vigo,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
47,Ayman Aiki,Saint-Étienne,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
48,Ola Aina,Nott'ham Forest,12.6,26,2.07,19,4,1,1,0,1,1,0.08,0,0,0,0,0,1
49,Rayan Ait-Nouri,Wolves,12.2,29,2.37,19,2,3,3,1,1,4,0.33,2,1,0,0,0,1
50,Kristoffer Ajer,Brentford,7.1,7,0.99,7,0,0,0,0,0,2,0.28,2,0,0,0,0,0
52,Ludovic Ajorque,Brest,9.8,19,1.94,17,0,0,0,2,0,2,0.20,1,0,0,0,1,0
53,Manuel Akanji,Manchester City,10.7,21,1.97,21,0,0,0,0,0,1,0.09,1,0,0,0,0,0
54,Umit Akdag,Toulouse,2.5,2,0.79,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
