,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Keyliane Abdallah,FR,FW,Marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Yunis Abdelhamid,MA,DF,Saint-Étienne,Ligue 1,36,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,7,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
2,Himad Abdelli,DZ,"FW,MF",Angers,Ligue 1,24,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,9,7,5,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.22,0.02,0.22
3,Abel,ES,DF,Osasuna,La Liga,24,2000,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
4,Nabil Aberdin,FR,MF,Getafe,La Liga,22,2002,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
5,Oliver Abildgaard,DK,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Matthis Abline,FR,FW,Nantes,Ligue 1,21,2003,2,2,165,1.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,9,6,14,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19
7,Abner,BR,DF,Lyon,Ligue 1,24,2000,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,9,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
8,Zakaria Aboukhlal,MA,"FW,MF",Toulouse,Ligue 1,24,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,5,3,17,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42
9,Abdel Abqar,MA,DF,Alavés,La Liga,25,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
10,Tammy Abraham,EN,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Francesco Acerbi,IT,DF,Inter,Serie A,36,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Akor Adams,NG,FW,Montpellier,Ligue 1,24,2000,2,1,102,1.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42
13,Che Adams,SC,FW,Torino,Serie A,28,1996,2,1,120,1.3,1,1,2,1,0,0,0,0,0.9,0.9,0.6,1.5,2,4,6,0.75,0.75,1.50,0.75,1.50,0.67,0.46,1.13,0.67,1.13
14,Junior Adamu,AT,FW,Freiburg,Bundesliga,23,2001,1,1,90,1.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,1,0,1,0.00,1.00,1.00,0.00,1.00,0.14,0.25,0.39,0.14,0.39
15,Martin Adeline,FR,MF,Reims,Ligue 1,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Karim Adeyemi,DE,FW,Dortmund,Bundesliga,22,2002,1,1,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,1,1,3,0.00,0.00,0.00,0.00,0.00,0.20,0.63,0.83,0.20,0.83
17,Simon Adingra,CI,FW,Brighton,Premier League,22,2002,2,0,47,0.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.7,2,0,10,1.91,1.91,3.83,1.91,3.83,0.49,0.88,1.37,0.49,1.37
18,Amine Adli,MA,FW,Leverkusen,Bundesliga,24,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.95,0.95
19,Michel Aebischer,CH,MF,Bologna,Serie A,27,1997,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,7,3,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15
20,Oladapo Afolayan,EN,FW,St. Pauli,Bundesliga,26,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Emmanuel Agbadou,CI,DF,Reims,Ligue 1,27,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
22,Julen Agirrezabala,ES,GK,Athletic Club,La Liga,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Lucien Agoume,FR,MF,Sevilla,La Liga,22,2002,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
24,Felix Agu,DE,DF,Werder Bremen,Bundesliga,24,1999,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,3,1,12,1.00,0.00,1.00,1.00,1.00,0.06,0.11,0.17,0.06,0.17
26,Alvaro Aguado,ES,MF,Espanyol,La Liga,28,1996,3,1,107,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,12,1,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12
27,Ruben Aguilar,FR,DF,Lens,Ligue 1,31,1993,2,2,180,2.0,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,2,9,19,0.00,0.50,0.50,0.00,0.50,0.08,0.34,0.42,0.08,0.42
28,Jean-Eudes Aholou,CI,MF,Angers,Ligue 1,30,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
