,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
0,Angers,Ligue 1,29.0,38.0,0.0,0.0,,584.0,,,,,,,,
1,Arsenal,Premier League,25.0,38.0,0.0,0.0,,348.0,,,,,,,,
2,Aston Villa,Premier League,29.0,38.0,0.0,0.0,,429.0,,,,,,,,
3,Atalanta,Serie A,33.0,38.0,0.0,0.0,,643.0,,,,,,,,
4,Athletic Club,La Liga,25.0,38.0,86.0,6.0,2.0,501.0,477.0,91.0,844.0,780.0,628.0,4.0,7.0,2.0
5,Atlético Madrid,La Liga,25.0,38.0,94.0,3.0,2.0,507.0,439.0,84.0,761.0,767.0,717.0,2.0,1.0,0.0
6,Augsburg,Bundesliga,27.0,34.0,0.0,0.0,,533.0,,,,,,,,
7,Barcelona,La Liga,25.0,38.0,67.0,1.0,0.0,384.0,557.0,121.0,532.0,569.0,522.0,15.0,1.0,2.0
8,Bastia,Ligue 1,26.0,38.0,0.0,0.0,,525.0,,,,,,,,
9,Bayern Munich,Bundesliga,25.0,34.0,0.0,0.0,,393.0,,,,,,,,
10,Betis,La Liga,29.0,38.0,114.0,5.0,5.0,493.0,555.0,79.0,669.0,771.0,613.0,2.0,1.0,1.0
11,Bologna,Serie A,31.0,38.0,0.0,0.0,,531.0,,,,,,,,
12,Bordeaux,Ligue 1,35.0,38.0,0.0,0.0,,492.0,,,,,,,,
13,Bournemouth,Premier League,28.0,38.0,0.0,0.0,,361.0,,,,,,,,
14,Caen,Ligue 1,24.0,38.0,0.0,0.0,,455.0,,,,,,,,
15,Carpi,Serie A,35.0,38.0,0.0,0.0,,631.0,,,,,,,,
16,Celta Vigo,La Liga,27.0,38.0,115.0,8.0,5.0,532.0,529.0,104.0,515.0,836.0,610.0,5.0,5.0,2.0
17,Chelsea,Premier League,28.0,38.0,0.0,0.0,,401.0,,,,,,,,
18,Chievo,Serie A,26.0,38.0,0.0,0.0,,638.0,,,,,,,,
19,Crystal Palace,Premier League,30.0,38.0,0.0,0.0,,465.0,,,,,,,,
20,Darmstadt 98,Bundesliga,23.0,34.0,0.0,0.0,,552.0,,,,,,,,
21,Dortmund,Bundesliga,26.0,34.0,0.0,0.0,,386.0,,,,,,,,
22,Eibar,La Liga,28.0,38.0,108.0,4.0,3.0,597.0,408.0,87.0,827.0,803.0,635.0,7.0,4.0,2.0
23,Eint Frankfurt,Bundesliga,30.0,34.0,0.0,0.0,,519.0,,,,,,,,
24,Empoli,Serie A,29.0,38.0,0.0,0.0,,509.0,,,,,,,,
25,Espanyol,La Liga,26.0,38.0,132.0,5.0,5.0,654.0,491.0,98.0,636.0,709.0,622.0,2.0,6.0,2.0
26,Everton,Premier League,31.0,38.0,0.0,0.0,,306.0,,,,,,,,
27,Fiorentina,Serie A,26.0,38.0,0.0,0.0,,535.0,,,,,,,,
28,Frosinone,Serie A,28.0,38.0,0.0,0.0,,640.0,,,,,,,,
29,Gazélec Ajaccio,Ligue 1,23.0,38.0,0.0,0.0,,575.0,,,,,,,,
30,Genoa,Serie A,30.0,38.0,0.0,0.0,,645.0,,,,,,,,
31,Getafe,La Liga,27.0,38.0,129.0,6.0,4.0,531.0,443.0,72.0,742.0,718.0,573.0,2.0,10.0,1.0
32,Granada,La Liga,28.0,38.0,141.0,7.0,5.0,586.0,504.0,91.0,626.0,721.0,604.0,5.0,5.0,2.0
33,Guingamp,Ligue 1,28.0,38.0,0.0,0.0,,505.0,,,,,,,,
34,Hamburger SV,Bundesliga,28.0,34.0,0.0,0.0,,583.0,,,,,,,,
35,Hannover 96,Bundesliga,33.0,34.0,0.0,0.0,,513.0,,,,,,,,
36,Hellas Verona,Serie A,32.0,38.0,0.0,0.0,,625.0,,,,,,,,
37,Hertha BSC,Bundesliga,26.0,34.0,0.0,0.0,,479.0,,,,,,,,
38,Hoffenheim,Bundesliga,26.0,34.0,0.0,0.0,,473.0,,,,,,,,
39,Ingolstadt 04,Bundesliga,25.0,34.0,0.0,0.0,,513.0,,,,,,,,
40,Inter,Serie A,28.0,38.0,0.0,0.0,,514.0,,,,,,,,
41,Juventus,Serie A,28.0,38.0,0.0,0.0,,570.0,,,,,,,,
42,Köln,Bundesliga,23.0,34.0,0.0,0.0,,437.0,,,,,,,,
43,La Coruña,La Liga,25.0,38.0,86.0,4.0,3.0,403.0,433.0,85.0,725.0,804.0,598.0,1.0,4.0,1.0
44,Las Palmas,La Liga,27.0,38.0,100.0,4.0,2.0,466.0,563.0,79.0,466.0,784.0,546.0,3.0,4.0,1.0
45,Lazio,Serie A,27.0,38.0,0.0,0.0,,592.0,,,,,,,,
46,Leicester City,Premier League,23.0,38.0,0.0,0.0,,406.0,,,,,,,,
47,Levante,La Liga,27.0,38.0,134.0,7.0,5.0,549.0,477.0,75.0,692.0,696.0,497.0,2.0,7.0,5.0
48,Leverkusen,Bundesliga,27.0,34.0,0.0,0.0,,526.0,,,,,,,,
49,Lille,Ligue 1,32.0,38.0,0.0,0.0,,572.0,,,,,,,,
