,Squad,Comp,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90
0,Angers,Ligue 1,29.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,155.0,1.32,40.0,38.0,2.0,0.05
1,Arsenal,Premier League,25.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,159.0,1.87,65.0,36.0,29.0,0.76
2,Aston Villa,Premier League,29.0,26.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,85.0,0.0,181.0,0.45,27.0,76.0,-49.0,-1.29
3,Atalanta,Serie A,33.0,27.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,329.0,1.18,41.0,47.0,-6.0,-0.16
4,Athletic Club,La Liga,25.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,299.0,114.0,22.0,152.0,1.63,58.0,45.0,13.0,0.34
5,Atlético Madrid,La Liga,25.0,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,308.0,107.0,26.0,159.0,2.32,63.0,18.0,45.0,1.18
6,Augsburg,Bundesliga,27.0,27.4,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,135.0,1.12,42.0,52.0,-10.0,-0.29
7,Barcelona,La Liga,25.0,28.0,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,328.0,90.0,24.0,176.0,2.39,112.0,29.0,83.0,2.18
8,Bastia,Ligue 1,26.0,28.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,98.0,0.0,165.0,1.32,36.0,42.0,-6.0,-0.16
9,Bayern Munich,Bundesliga,25.0,26.8,34.0,3060.0,90.0,100.0,34.0,374.0,,,95.0,0.0,129.0,2.59,80.0,17.0,63.0,1.85
10,Betis,La Liga,29.0,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,298.0,114.0,24.0,151.0,1.18,34.0,52.0,-18.0,-0.47
11,Bologna,Serie A,31.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,335.0,1.11,33.0,45.0,-12.0,-0.32
12,Bordeaux,Ligue 1,35.0,24.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,151.0,1.32,50.0,57.0,-7.0,-0.18
13,Bournemouth,Premier League,28.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,157.0,1.11,45.0,67.0,-22.0,-0.58
14,Caen,Ligue 1,24.0,28.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,104.0,0.0,162.0,1.42,39.0,52.0,-13.0,-0.34
15,Carpi,Serie A,35.0,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,277.0,1.0,37.0,57.0,-20.0,-0.53
16,Celta Vigo,La Liga,27.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,304.0,107.0,17.0,158.0,1.58,51.0,59.0,-8.0,-0.21
17,Chelsea,Premier League,28.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,103.0,0.0,163.0,1.32,59.0,53.0,6.0,0.16
18,Chievo,Serie A,26.0,30.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,280.0,1.32,43.0,45.0,-2.0,-0.05
19,Crystal Palace,Premier League,30.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,160.0,1.11,39.0,51.0,-12.0,-0.32
20,Darmstadt 98,Bundesliga,23.0,27.5,34.0,3060.0,90.0,100.0,34.0,374.0,,,99.0,0.0,139.0,1.12,38.0,53.0,-15.0,-0.44
21,Dortmund,Bundesliga,26.0,25.6,34.0,3060.0,90.0,100.0,34.0,374.0,,,97.0,0.0,141.0,2.29,82.0,34.0,48.0,1.41
22,Eibar,La Liga,28.0,25.6,38.0,3420.0,90.0,100.0,38.0,419.0,85.0,304.0,111.0,19.0,155.0,1.13,49.0,61.0,-12.0,-0.32
23,Eint Frankfurt,Bundesliga,30.0,26.7,34.0,3060.0,90.0,100.0,34.0,374.0,,,91.0,0.0,147.0,1.06,34.0,52.0,-18.0,-0.53
24,Empoli,Serie A,29.0,25.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,324.0,1.21,40.0,49.0,-9.0,-0.24
25,Espanyol,La Liga,26.0,24.9,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,308.0,106.0,25.0,160.0,1.13,40.0,74.0,-34.0,-0.89
26,Everton,Premier League,31.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,98.0,0.0,168.0,1.24,59.0,55.0,4.0,0.11
27,Fiorentina,Serie A,26.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,262.0,1.68,60.0,42.0,18.0,0.47
28,Frosinone,Serie A,28.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,301.0,0.82,35.0,76.0,-41.0,-1.08
29,Gazélec Ajaccio,Ligue 1,23.0,28.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,156.0,0.97,37.0,58.0,-21.0,-0.55
30,Genoa,Serie A,30.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,265.0,1.21,45.0,48.0,-3.0,-0.08
31,Getafe,La Liga,27.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,299.0,114.0,21.0,152.0,0.95,37.0,67.0,-30.0,-0.79
32,Granada,La Liga,28.0,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,300.0,112.0,23.0,154.0,1.03,46.0,69.0,-23.0,-0.61
33,Guingamp,Ligue 1,28.0,28.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,105.0,0.0,161.0,1.16,47.0,56.0,-9.0,-0.24
34,Hamburger SV,Bundesliga,28.0,27.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,102.0,0.0,134.0,1.21,40.0,46.0,-6.0,-0.18
35,Hannover 96,Bundesliga,33.0,25.6,34.0,3060.0,90.0,100.0,34.0,374.0,,,91.0,0.0,146.0,0.74,31.0,62.0,-31.0,-0.91
36,Hellas Verona,Serie A,32.0,27.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,282.0,0.74,34.0,63.0,-29.0,-0.76
37,Hertha BSC,Bundesliga,26.0,26.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,96.0,0.0,142.0,1.47,42.0,42.0,0.0,0.0
38,Hoffenheim,Bundesliga,26.0,24.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,138.0,1.09,39.0,54.0,-15.0,-0.44
39,Ingolstadt 04,Bundesliga,25.0,26.3,34.0,3060.0,90.0,100.0,34.0,374.0,,,99.0,0.0,139.0,1.18,33.0,42.0,-9.0,-0.26
40,Inter,Serie A,28.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,324.0,1.76,50.0,38.0,12.0,0.32
41,Juventus,Serie A,28.0,28.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,282.0,2.39,75.0,20.0,55.0,1.45
42,Köln,Bundesliga,23.0,25.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,91.0,0.0,146.0,1.26,38.0,42.0,-4.0,-0.12
43,La Coruña,La Liga,25.0,28.2,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,314.0,101.0,23.0,164.0,1.11,45.0,61.0,-16.0,-0.42
44,Las Palmas,La Liga,27.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,303.0,111.0,20.0,156.0,1.16,45.0,53.0,-8.0,-0.21
45,Lazio,Serie A,27.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,304.0,1.42,52.0,52.0,0.0,0.0
46,Leicester City,Premier League,23.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,157.0,2.13,68.0,36.0,32.0,0.84
47,Levante,La Liga,27.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,299.0,114.0,23.0,151.0,0.84,37.0,70.0,-33.0,-0.87
48,Leverkusen,Bundesliga,27.0,24.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,132.0,1.76,56.0,40.0,16.0,0.47
49,Lille,Ligue 1,32.0,27.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,159.0,1.58,39.0,27.0,12.0,0.32
50,Liverpool,Premier League,34.0,25.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,156.0,1.58,63.0,50.0,13.0,0.34
51,Lorient,Ligue 1,31.0,25.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,152.0,1.21,47.0,58.0,-11.0,-0.29
52,Lyon,Ligue 1,30.0,25.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,153.0,1.71,67.0,43.0,24.0,0.63
53,M'Gladbach,Bundesliga,26.0,24.9,34.0,3060.0,90.0,100.0,34.0,374.0,,,102.0,0.0,136.0,1.62,67.0,50.0,17.0,0.5
54,Mainz 05,Bundesliga,29.0,25.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,138.0,1.47,46.0,42.0,4.0,0.12
55,Málaga,La Liga,30.0,28.0,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,302.0,112.0,22.0,154.0,1.26,38.0,35.0,3.0,0.08
56,Manchester City,Premier League,25.0,28.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,158.0,1.74,71.0,41.0,30.0,0.79
57,Manchester Utd,Premier League,33.0,25.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,157.0,1.74,49.0,35.0,14.0,0.37
58,Marseille,Ligue 1,28.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,155.0,1.26,48.0,42.0,6.0,0.16
59,Milan,Serie A,30.0,26.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,104.0,0.0,345.0,1.5,49.0,43.0,6.0,0.16
60,Monaco,Ligue 1,31.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,157.0,1.71,57.0,50.0,7.0,0.18
61,Montpellier,Ligue 1,30.0,27.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,158.0,1.29,49.0,47.0,2.0,0.05
62,Nantes,Ligue 1,29.0,25.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,157.0,1.26,33.0,44.0,-11.0,-0.29
63,Napoli,Serie A,22.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,340.0,2.16,80.0,32.0,48.0,1.26
64,Newcastle Utd,Premier League,31.0,25.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,159.0,0.97,44.0,65.0,-21.0,-0.55
65,Nice,Ligue 1,33.0,24.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,155.0,1.66,58.0,41.0,17.0,0.45
66,Norwich City,Premier League,28.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,160.0,0.89,39.0,67.0,-28.0,-0.74
67,Palermo,Serie A,31.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,341.0,1.03,38.0,65.0,-27.0,-0.71
68,Paris S-G,Ligue 1,28.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,154.0,2.53,102.0,19.0,83.0,2.18
69,Rayo Vallecano,La Liga,29.0,28.5,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,299.0,111.0,28.0,154.0,1.0,52.0,73.0,-21.0,-0.55
70,Real Madrid,La Liga,24.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,308.0,106.0,22.0,160.0,2.37,110.0,34.0,76.0,2.0
71,Real Sociedad,La Liga,27.0,25.3,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,304.0,110.0,19.0,156.0,1.26,45.0,48.0,-3.0,-0.08
72,Reims,Ligue 1,31.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,153.0,1.03,44.0,57.0,-13.0,-0.34
73,Rennes,Ligue 1,31.0,26.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,153.0,1.37,52.0,54.0,-2.0,-0.05
74,Roma,Serie A,32.0,26.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,333.0,2.11,83.0,41.0,42.0,1.11
75,Saint-Étienne,Ligue 1,31.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,151.0,1.53,42.0,37.0,5.0,0.13
76,Sampdoria,Serie A,35.0,27.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,315.0,1.05,48.0,61.0,-13.0,-0.34
77,Sassuolo,Serie A,26.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,312.0,1.61,49.0,40.0,9.0,0.24
78,Schalke 04,Bundesliga,28.0,24.9,34.0,3060.0,90.0,100.0,34.0,374.0,,,96.0,0.0,142.0,1.53,51.0,49.0,2.0,0.06
79,Sevilla,La Liga,33.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,299.0,113.0,25.0,152.0,1.37,51.0,50.0,1.0,0.03
80,Southampton,Premier League,26.0,26.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,155.0,1.66,59.0,41.0,18.0,0.47
81,Sporting Gijón,La Liga,28.0,24.5,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,300.0,113.0,22.0,153.0,1.03,40.0,62.0,-22.0,-0.58
82,Stoke City,Premier League,27.0,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,159.0,1.34,41.0,55.0,-14.0,-0.37
83,Stuttgart,Bundesliga,31.0,26.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,97.0,0.0,139.0,0.97,50.0,75.0,-25.0,-0.74
84,Sunderland,Premier League,31.0,27.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,105.0,0.0,161.0,1.03,48.0,62.0,-14.0,-0.37
85,Swansea City,Premier League,27.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,157.0,1.24,42.0,52.0,-10.0,-0.26
86,Torino,Serie A,27.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,277.0,1.18,52.0,55.0,-3.0,-0.08
87,Tottenham,Premier League,24.0,24.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,160.0,1.84,69.0,35.0,34.0,0.89
88,Toulouse,Ligue 1,25.0,23.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,154.0,1.05,45.0,55.0,-10.0,-0.26
89,Troyes,Ligue 1,33.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,153.0,0.47,28.0,83.0,-55.0,-1.45
90,Udinese,Serie A,28.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,341.0,1.03,35.0,60.0,-25.0,-0.66
91,Valencia,La Liga,30.0,24.7,38.0,3420.0,90.0,100.0,38.0,419.0,83.0,298.0,114.0,25.0,153.0,1.16,46.0,48.0,-2.0,-0.05
