,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
0,Angers,Ligue 1,29.0,38.0,40.0,,155.0,,,4.08,,0.23,,4.0,5.0
1,Arsenal,Premier League,25.0,38.0,62.0,,210.0,,,5.53,,0.29,,1.0,2.0
2,Aston Villa,Premier League,29.0,38.0,24.0,,110.0,,,2.89,,0.2,,2.0,2.0
3,Atalanta,Serie A,33.0,38.0,38.0,,135.0,,,3.55,,0.25,,4.0,6.0
4,Athletic Club,La Liga,25.0,38.0,57.0,456.0,163.0,35.7,12.0,4.29,0.12,0.33,,3.0,5.0
5,Atlético Madrid,La Liga,25.0,38.0,62.0,478.0,166.0,34.7,12.58,4.37,0.13,0.37,,1.0,2.0
6,Augsburg,Bundesliga,27.0,34.0,40.0,,150.0,,,4.41,,0.22,,7.0,7.0
7,Barcelona,La Liga,25.0,38.0,109.0,605.0,266.0,44.0,15.92,7.0,0.16,0.37,,11.0,19.0
8,Bastia,Ligue 1,26.0,38.0,34.0,,108.0,,,2.84,,0.3,,2.0,2.0
9,Bayern Munich,Bundesliga,25.0,34.0,79.0,,261.0,,,7.68,,0.27,,8.0,9.0
10,Betis,La Liga,29.0,38.0,34.0,397.0,126.0,31.7,10.45,3.32,0.08,0.25,,3.0,4.0
11,Bologna,Serie A,31.0,38.0,33.0,,110.0,,,2.89,,0.28,,2.0,3.0
12,Bordeaux,Ligue 1,35.0,38.0,48.0,,143.0,,,3.76,,0.33,,1.0,2.0
13,Bournemouth,Premier League,28.0,38.0,43.0,,143.0,,,3.76,,0.28,,3.0,4.0
14,Caen,Ligue 1,24.0,38.0,38.0,,182.0,,,4.79,,0.18,,5.0,6.0
15,Carpi,Serie A,35.0,38.0,33.0,,126.0,,,3.32,,0.22,,5.0,8.0
16,Celta Vigo,La Liga,27.0,38.0,50.0,443.0,155.0,35.0,11.66,4.08,0.1,0.3,,4.0,5.0
17,Chelsea,Premier League,28.0,38.0,55.0,,172.0,,,4.53,,0.3,,4.0,5.0
18,Chievo,Serie A,26.0,38.0,42.0,,130.0,,,3.42,,0.28,,5.0,8.0
19,Crystal Palace,Premier League,30.0,38.0,38.0,,153.0,,,4.03,,0.22,,4.0,5.0
20,Darmstadt 98,Bundesliga,23.0,34.0,38.0,,116.0,,,3.41,,0.31,,2.0,4.0
21,Dortmund,Bundesliga,26.0,34.0,80.0,,214.0,,,6.29,,0.36,,4.0,6.0
22,Eibar,La Liga,28.0,38.0,47.0,420.0,155.0,36.9,11.05,4.08,0.1,0.26,,6.0,8.0
23,Eint Frankfurt,Bundesliga,30.0,34.0,32.0,,134.0,,,3.94,,0.22,,2.0,2.0
24,Empoli,Serie A,29.0,38.0,39.0,,147.0,,,3.87,,0.26,,1.0,2.0
25,Espanyol,La Liga,26.0,38.0,38.0,392.0,148.0,37.8,10.32,3.89,0.09,0.25,,1.0,3.0
26,Everton,Premier League,31.0,38.0,56.0,,174.0,,,4.58,,0.3,,4.0,5.0
27,Fiorentina,Serie A,26.0,38.0,58.0,,178.0,,,4.68,,0.28,,8.0,9.0
28,Frosinone,Serie A,28.0,38.0,34.0,,127.0,,,3.34,,0.24,,3.0,3.0
29,Gazélec Ajaccio,Ligue 1,23.0,38.0,36.0,,125.0,,,3.29,,0.26,,3.0,3.0
30,Genoa,Serie A,30.0,38.0,44.0,,150.0,,,3.95,,0.27,,4.0,4.0
31,Getafe,La Liga,27.0,38.0,36.0,441.0,149.0,33.8,11.61,3.92,0.08,0.23,,1.0,2.0
32,Granada,La Liga,28.0,38.0,45.0,431.0,131.0,30.4,11.34,3.45,0.09,0.29,,7.0,7.0
33,Guingamp,Ligue 1,28.0,38.0,46.0,,136.0,,,3.58,,0.32,,2.0,3.0
34,Hamburger SV,Bundesliga,28.0,34.0,37.0,,131.0,,,3.85,,0.26,,3.0,3.0
35,Hannover 96,Bundesliga,33.0,34.0,30.0,,125.0,,,3.68,,0.22,,2.0,3.0
36,Hellas Verona,Serie A,32.0,38.0,34.0,,140.0,,,3.68,,0.2,,6.0,7.0
37,Hertha BSC,Bundesliga,26.0,34.0,41.0,,127.0,,,3.74,,0.3,,3.0,3.0
38,Hoffenheim,Bundesliga,26.0,34.0,39.0,,135.0,,,3.97,,0.27,,3.0,6.0
39,Ingolstadt 04,Bundesliga,25.0,34.0,33.0,,127.0,,,3.74,,0.19,,9.0,10.0
40,Inter,Serie A,28.0,38.0,49.0,,170.0,,,4.47,,0.28,,2.0,3.0
41,Juventus,Serie A,28.0,38.0,72.0,,213.0,,,5.61,,0.3,,9.0,9.0
42,Köln,Bundesliga,23.0,34.0,38.0,,164.0,,,4.82,,0.21,,3.0,4.0
43,La Coruña,La Liga,25.0,38.0,41.0,455.0,157.0,34.5,11.97,4.13,0.09,0.25,,1.0,1.0
44,Las Palmas,La Liga,27.0,38.0,42.0,420.0,163.0,38.8,11.05,4.29,0.09,0.23,,4.0,5.0
45,Lazio,Serie A,27.0,38.0,52.0,,150.0,,,3.95,,0.29,,9.0,11.0
46,Leicester City,Premier League,23.0,38.0,68.0,,179.0,,,4.71,,0.32,,10.0,13.0
47,Levante,La Liga,27.0,38.0,36.0,432.0,142.0,32.9,11.37,3.74,0.08,0.24,,2.0,2.0
48,Leverkusen,Bundesliga,27.0,34.0,51.0,,190.0,,,5.59,,0.26,,2.0,3.0
49,Lille,Ligue 1,32.0,38.0,38.0,,178.0,,,4.68,,0.2,,3.0,3.0
50,Liverpool,Premier League,34.0,38.0,62.0,,199.0,,,5.24,,0.3,,2.0,2.0
51,Lorient,Ligue 1,31.0,38.0,46.0,,192.0,,,5.05,,0.2,,7.0,7.0
52,Lyon,Ligue 1,30.0,38.0,66.0,,208.0,,,5.47,,0.3,,3.0,3.0
53,M'Gladbach,Bundesliga,26.0,34.0,64.0,,195.0,,,5.74,,0.31,,4.0,5.0
54,Mainz 05,Bundesliga,29.0,34.0,46.0,,150.0,,,4.41,,0.3,,1.0,1.0
55,Málaga,La Liga,30.0,38.0,37.0,452.0,167.0,36.9,11.89,4.39,0.08,0.21,,2.0,4.0
56,Manchester City,Premier League,25.0,38.0,71.0,,210.0,,,5.53,,0.31,,5.0,8.0
57,Manchester Utd,Premier League,33.0,38.0,46.0,,144.0,,,3.79,,0.3,,3.0,3.0
58,Marseille,Ligue 1,28.0,38.0,48.0,,184.0,,,4.84,,0.25,,2.0,4.0
59,Milan,Serie A,30.0,38.0,49.0,,165.0,,,4.34,,0.26,,6.0,7.0
60,Monaco,Ligue 1,31.0,38.0,54.0,,167.0,,,4.39,,0.29,,6.0,8.0
61,Montpellier,Ligue 1,30.0,38.0,46.0,,143.0,,,3.76,,0.31,,2.0,2.0
62,Nantes,Ligue 1,29.0,38.0,30.0,,132.0,,,3.47,,0.23,,0.0,0.0
63,Napoli,Serie A,22.0,38.0,78.0,,244.0,,,6.42,,0.29,,7.0,8.0
64,Newcastle Utd,Premier League,31.0,38.0,43.0,,150.0,,,3.95,,0.27,,3.0,3.0
65,Nice,Ligue 1,33.0,38.0,55.0,,159.0,,,4.18,,0.31,,5.0,5.0
66,Norwich City,Premier League,28.0,38.0,38.0,,130.0,,,3.42,,0.28,,1.0,1.0
67,Palermo,Serie A,31.0,38.0,37.0,,134.0,,,3.53,,0.27,,1.0,1.0
68,Paris S-G,Ligue 1,28.0,38.0,101.0,,249.0,,,6.55,,0.38,,6.0,8.0
69,Rayo Vallecano,La Liga,29.0,38.0,52.0,504.0,179.0,35.5,13.26,4.71,0.1,0.28,,2.0,3.0
70,Real Madrid,La Liga,24.0,38.0,108.0,712.0,289.0,40.6,18.74,7.61,0.14,0.35,,6.0,9.0
71,Real Sociedad,La Liga,27.0,38.0,44.0,455.0,157.0,34.5,11.97,4.13,0.09,0.27,,1.0,1.0
72,Reims,Ligue 1,31.0,38.0,43.0,,157.0,,,4.13,,0.26,,2.0,3.0
73,Rennes,Ligue 1,31.0,38.0,48.0,,155.0,,,4.08,,0.29,,3.0,7.0
74,Roma,Serie A,32.0,38.0,83.0,,220.0,,,5.79,,0.36,,4.0,4.0
75,Saint-Étienne,Ligue 1,31.0,38.0,39.0,,137.0,,,3.61,,0.26,,3.0,4.0
76,Sampdoria,Serie A,35.0,38.0,45.0,,150.0,,,3.95,,0.28,,3.0,3.0
77,Sassuolo,Serie A,26.0,38.0,48.0,,166.0,,,4.37,,0.27,,4.0,5.0
78,Schalke 04,Bundesliga,28.0,34.0,47.0,,162.0,,,4.76,,0.27,,3.0,5.0
79,Sevilla,La Liga,33.0,38.0,50.0,460.0,182.0,39.6,12.11,4.79,0.1,0.24,,6.0,7.0
80,Southampton,Premier League,26.0,38.0,58.0,,165.0,,,4.34,,0.33,,3.0,4.0
81,Sporting Gijón,La Liga,28.0,38.0,39.0,374.0,122.0,32.6,9.84,3.21,0.1,0.31,,1.0,2.0
82,Stoke City,Premier League,27.0,38.0,40.0,,127.0,,,3.34,,0.28,,5.0,5.0
83,Stuttgart,Bundesliga,31.0,34.0,48.0,,189.0,,,5.56,,0.23,,4.0,4.0
84,Sunderland,Premier League,31.0,38.0,44.0,,173.0,,,4.55,,0.24,,3.0,3.0
85,Swansea City,Premier League,27.0,38.0,41.0,,135.0,,,3.55,,0.27,,5.0,5.0
86,Torino,Serie A,27.0,38.0,49.0,,173.0,,,4.55,,0.23,,9.0,11.0
87,Tottenham,Premier League,24.0,38.0,68.0,,250.0,,,6.58,,0.25,,5.0,5.0
88,Toulouse,Ligue 1,25.0,38.0,43.0,,159.0,,,4.18,,0.25,,4.0,6.0
89,Troyes,Ligue 1,33.0,38.0,27.0,,146.0,,,3.84,,0.16,,3.0,3.0
90,Udinese,Serie A,28.0,38.0,34.0,,147.0,,,3.87,,0.22,,2.0,2.0
91,Valencia,La Liga,30.0,38.0,42.0,405.0,140.0,34.6,10.66,3.68,0.09,0.27,,4.0,5.0
