,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Angers,Ligue 1,29.0,27.2,42.5,38.0,418.0,3420.0,38.0,40.0,25.0,36.0,4.0,5.0,0.0,0.0,1.05,0.66,1.71,0.95,1.61
1,Arsenal,Premier League,25.0,27.0,58.3,38.0,418.0,3420.0,38.0,62.0,53.0,61.0,1.0,2.0,0.0,0.0,1.63,1.39,3.03,1.61,3.0
2,Aston Villa,Premier League,29.0,26.6,46.4,38.0,418.0,3420.0,38.0,24.0,19.0,22.0,2.0,2.0,0.0,0.0,0.63,0.5,1.13,0.58,1.08
3,Atalanta,Serie A,33.0,27.8,48.4,38.0,418.0,3420.0,38.0,38.0,23.0,34.0,4.0,6.0,0.0,0.0,1.0,0.61,1.61,0.89,1.5
4,Athletic Club,La Liga,25.0,27.7,49.9,38.0,418.0,3420.0,38.0,57.0,42.0,54.0,3.0,5.0,86.0,6.0,1.5,1.11,2.61,1.42,2.53
5,Atlético Madrid,La Liga,25.0,25.9,48.5,38.0,418.0,3420.0,38.0,62.0,47.0,61.0,1.0,2.0,94.0,3.0,1.63,1.24,2.87,1.61,2.84
6,Augsburg,Bundesliga,27.0,27.4,46.9,34.0,374.0,3060.0,34.0,40.0,20.0,33.0,7.0,7.0,0.0,0.0,1.18,0.59,1.76,0.97,1.56
7,Barcelona,La Liga,25.0,28.0,67.1,38.0,418.0,3420.0,38.0,109.0,74.0,98.0,11.0,19.0,67.0,1.0,2.87,1.95,4.82,2.58,4.53
8,Bastia,Ligue 1,26.0,28.7,43.4,38.0,418.0,3420.0,38.0,34.0,20.0,32.0,2.0,2.0,0.0,0.0,0.89,0.53,1.42,0.84,1.37
9,Bayern Munich,Bundesliga,25.0,26.8,70.1,34.0,374.0,3060.0,34.0,79.0,54.0,71.0,8.0,9.0,0.0,0.0,2.32,1.59,3.91,2.09,3.68
10,Betis,La Liga,29.0,27.4,46.7,38.0,418.0,3420.0,38.0,34.0,25.0,31.0,3.0,4.0,114.0,5.0,0.89,0.66,1.55,0.82,1.47
11,Bologna,Serie A,31.0,27.0,45.8,38.0,418.0,3420.0,38.0,33.0,22.0,31.0,2.0,3.0,0.0,0.0,0.87,0.58,1.45,0.82,1.39
12,Bordeaux,Ligue 1,35.0,24.9,50.8,38.0,418.0,3420.0,38.0,48.0,33.0,47.0,1.0,2.0,0.0,0.0,1.26,0.87,2.13,1.24,2.11
13,Bournemouth,Premier League,28.0,27.7,51.2,38.0,418.0,3420.0,38.0,43.0,28.0,40.0,3.0,4.0,0.0,0.0,1.13,0.74,1.87,1.05,1.79
14,Caen,Ligue 1,24.0,28.2,40.2,38.0,418.0,3420.0,38.0,38.0,22.0,33.0,5.0,6.0,0.0,0.0,1.0,0.58,1.58,0.87,1.45
15,Carpi,Serie A,35.0,25.9,38.6,38.0,418.0,3420.0,38.0,33.0,22.0,28.0,5.0,8.0,0.0,0.0,0.87,0.58,1.45,0.74,1.32
16,Celta Vigo,La Liga,27.0,26.1,56.4,38.0,418.0,3420.0,38.0,50.0,41.0,46.0,4.0,5.0,115.0,8.0,1.32,1.08,2.39,1.21,2.29
17,Chelsea,Premier League,28.0,26.8,56.2,38.0,418.0,3420.0,38.0,55.0,40.0,51.0,4.0,5.0,0.0,0.0,1.45,1.05,2.5,1.34,2.39
18,Chievo,Serie A,26.0,30.5,45.3,38.0,418.0,3420.0,38.0,42.0,28.0,37.0,5.0,8.0,0.0,0.0,1.11,0.74,1.84,0.97,1.71
19,Crystal Palace,Premier League,30.0,27.7,45.8,38.0,418.0,3420.0,38.0,38.0,21.0,34.0,4.0,5.0,0.0,0.0,1.0,0.55,1.55,0.89,1.45
20,Darmstadt 98,Bundesliga,23.0,27.5,33.2,34.0,374.0,3060.0,34.0,38.0,30.0,36.0,2.0,4.0,0.0,0.0,1.12,0.88,2.0,1.06,1.94
21,Dortmund,Bundesliga,26.0,25.6,63.9,34.0,374.0,3060.0,34.0,80.0,64.0,76.0,4.0,6.0,0.0,0.0,2.35,1.88,4.24,2.24,4.12
