,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,30,38.0,702,464,364,265,73,267,663,40.3,396,407,133,274,498,1200,981,11
1,30,38.0,658,445,336,252,70,243,623,39.0,380,444,164,280,523,1181,1128,20
2,27,38.0,661,427,350,240,71,244,766,31.9,522,402,79,323,410,1071,853,14
3,30,38.0,623,425,312,227,84,218,581,37.5,363,372,103,269,427,1050,879,33
4,25,38.0,725,488,334,313,78,272,650,41.8,378,430,107,323,476,1201,820,11
5,26,38.0,739,486,359,304,76,296,735,40.3,439,432,103,329,465,1204,820,9
6,26,38.0,917,614,442,372,103,377,847,44.5,470,462,129,333,513,1430,885,4
7,27,34.0,723,543,361,292,70,364,603,60.4,239,400,107,293,400,1123,835,15
8,25,38.0,629,413,281,262,86,229,552,41.5,323,366,103,263,424,1053,525,10
9,28,34.0,609,467,269,248,92,308,549,56.1,241,313,75,238,355,964,399,11
10,41,38.0,581,409,320,206,55,191,551,34.7,360,398,140,258,449,1030,925,25
11,29,38.0,635,424,319,252,64,213,537,39.7,324,356,95,261,427,1062,869,17
12,30,38.0,661,456,356,257,48,231,588,39.3,357,488,127,361,462,1123,1121,14
13,31,38.0,699,459,311,322,66,246,682,36.1,436,355,110,245,464,1163,855,13
14,22,38.0,509,324,272,187,50,198,525,37.7,327,453,160,293,367,876,1129,25
15,24,38.0,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18
16,24,38.0,533,355,272,217,44,204,553,36.9,349,457,191,266,400,933,1300,8
17,26,38.0,733,478,369,295,69,276,747,36.9,471,450,97,353,476,1209,961,12
18,29,38.0,640,447,323,239,78,214,559,38.3,345,425,126,299,431,1071,1018,4
19,23,38.0,589,420,304,232,53,218,556,39.2,338,327,101,226,497,1086,780,10
20,26,38.0,636,426,321,251,64,208,550,37.8,342,365,107,258,424,1060,842,24
21,25,38.0,543,367,273,199,71,208,566,36.7,358,443,158,285,444,987,1140,14
22,29,38.0,697,440,365,255,77,222,613,36.2,391,449,119,330,578,1275,1233,10
23,28,38.0,686,447,393,237,56,260,666,39.0,406,466,117,349,552,1238,1110,22
24,26,38.0,685,462,363,264,58,250,687,36.4,437,385,118,267,544,1229,977,20
25,30,34.0,695,510,305,307,83,346,602,57.5,256,390,73,317,336,1031,657,17
26,27,38.0,643,436,271,282,90,258,613,42.1,355,349,53,296,554,1197,712,9
27,28,34.0,623,483,271,295,57,289,541,53.4,252,465,101,364,409,1032,918,8
28,25,38.0,716,500,357,278,81,271,700,38.7,429,362,116,246,515,1231,902,9
29,30,38.0,644,447,360,206,78,223,612,36.4,389,426,160,266,514,1158,1308,22
30,27,38.0,742,497,362,284,96,267,656,40.7,389,438,75,363,489,1231,983,17
31,29,34.0,639,465,300,289,50,284,551,51.5,267,421,117,304,392,1031,802,6
32,33,38.0,551,395,281,223,47,191,524,36.5,333,412,119,293,394,945,950,11
33,32,38.0,715,491,369,267,79,276,732,37.7,456,350,69,281,487,1202,899,5
