,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,2,38,38,3420,38.0,50,1.32,172,122,75.0,15,2,21,12,31.6,10,7,2,1,22.2
1,2,38,38,3420,38.0,42,1.11,178,136,78.7,12,9,17,11,28.9,4,4,0,0,0.0
2,3,38,38,3420,38.0,52,1.37,138,90,67.4,9,14,15,6,15.8,7,7,0,0,0.0
3,2,38,38,3420,38.0,51,1.34,147,94,68.7,19,6,13,13,34.2,6,5,1,0,16.7
4,3,38,38,3420,38.0,39,1.03,118,78,67.8,16,12,10,11,28.9,2,1,1,0,50.0
5,2,38,38,3420,38.0,49,1.29,166,117,72.3,10,13,15,11,28.9,6,3,3,0,50.0
6,2,38,38,3420,38.0,22,0.58,129,105,83.7,23,10,5,23,60.5,4,1,3,0,75.0
7,2,34,34,3060,34.0,46,1.35,166,119,73.5,10,11,13,9,26.5,3,2,1,0,33.3
8,2,38,38,3420,38.0,29,0.76,133,104,79.7,28,9,1,19,50.0,2,2,0,0,0.0
9,3,34,34,3060,34.0,28,0.82,95,67,71.6,27,3,4,16,47.1,4,1,3,0,75.0
10,3,38,38,3418,38.0,84,2.21,209,127,64.6,6,3,29,4,10.5,13,10,0,3,0.0
11,3,38,38,3420,38.0,61,1.61,156,98,62.8,18,6,14,13,34.2,4,3,1,0,25.0
12,3,38,38,3420,38.0,52,1.37,166,117,70.5,11,6,21,8,21.1,4,3,0,1,0.0
13,2,38,38,3420,38.0,48,1.26,132,81,66.7,16,7,15,10,26.3,8,4,4,0,50.0
14,1,38,38,3420,38.0,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3
15,1,38,38,3420,38.0,54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7
16,2,38,38,3420,38.0,39,1.03,160,121,77.5,14,12,12,12,31.6,5,3,1,1,25.0
