,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,30,40.3,38.0,17988,2197,6320,8026,3879,560,17985,577,330,57.2,244,42.3,9107,48939,24165,454,347,118,534,403,9603,1030
1,30,43.3,38.0,20018,2439,6991,9639,3654,466,20014,610,397,65.1,213,34.9,9683,51732,26943,547,391,96,618,503,11130,1166
2,27,45.1,38.0,21050,1782,6337,10116,4834,617,21046,607,379,62.4,227,37.4,12273,64643,33954,699,576,133,542,490,12704,1415
3,30,61.4,38.0,29146,2201,7494,13560,8306,1104,29141,547,383,70.0,164,30.0,18631,95357,50346,915,805,214,540,412,20745,2210
4,25,55.4,38.0,25560,1940,6875,11992,6956,1012,25551,704,442,62.8,262,37.2,14628,84639,42846,933,657,219,599,449,16842,1900
5,26,49.6,38.0,21654,2134,6390,10289,5239,761,21645,611,350,57.3,261,42.7,11930,65701,33853,652,522,136,501,409,13091,1507
6,26,47.5,38.0,22955,2103,7018,10691,5490,740,22950,693,426,61.5,267,38.5,12659,66189,34201,703,498,169,548,448,14408,1449
7,27,45.7,34.0,18129,1982,6243,7905,4191,631,18125,441,185,42.0,256,58.0,8558,49475,25463,524,350,112,421,320,10142,1103
8,25,62.8,38.0,29326,2230,7352,14187,8054,1224,29321,973,619,63.6,354,36.4,19047,97437,53040,1025,797,312,486,465,22019,2133
9,28,66.1,34.0,27289,1772,6537,13304,7645,1009,27281,679,277,40.8,402,59.2,16244,77254,42070,755,644,199,345,219,20429,2314
10,41,47.5,38.0,21992,2533,7984,9844,4455,570,21989,665,393,59.1,272,40.9,12192,78025,42094,772,551,148,541,425,14166,1205
11,29,56.9,38.0,25435,2520,8051,12473,5147,585,25432,681,439,64.5,240,35.2,16808,81387,42791,736,557,177,520,381,17825,1500
12,30,46.8,38.0,21816,2522,7600,10272,4181,536,21812,473,327,69.1,141,29.8,12937,68267,33562,586,454,109,599,469,13549,1332
13,31,50.6,38.0,22726,1934,6596,11172,5229,698,22720,766,459,59.9,306,39.9,13614,77645,41801,875,641,180,605,426,14458,1479
14,22,48.1,38.0,22240,2420,7636,9472,5366,780,22237,638,343,53.8,291,45.6,11197,66091,33018,702,474,169,564,419,13346,1505
15,24,43.7,38.0,20478,2530,7473,8781,4463,594,20471,487,299,61.4,188,38.6,10099,57499,29182,523,375,113,496,296,11749,1216
16,24,43.7,38.0,19452,2376,6334,8960,4332,589,19452,345,218,63.2,127,36.8,8853,45635,22260,431,329,88,489,345,10419,1090
17,26,45.5,38.0,20574,1955,6173,9973,4670,519,20566,469,306,65.2,163,34.8,8601,58298,29429,598,429,70,634,463,11493,1521
18,29,45.3,38.0,20681,2202,7056,9431,4398,618,20674,411,237,57.7,171,41.6,10201,53870,25957,464,359,84,536,350,12112,1326
19,23,55.7,38.0,24751,2455,8023,11901,5073,708,24748,603,376,62.4,227,37.6,14630,76008,38089,724,568,165,501,428,16844,1576
20,26,55.6,38.0,27165,2307,8084,12055,7334,988,27162,734,513,69.9,221,30.1,16479,93989,51657,1045,699,238,533,414,18823,1969
21,25,44.4,38.0,21019,2466,6956,9424,4854,583,21017,378,204,54.0,174,46.0,11050,56558,29062,554,440,90,498,342,12639,1348
22,29,39.9,38.0,19329,2356,6811,8657,4116,527,19326,419,251,59.9,167,39.9,9667,51549,26095,472,395,85,603,388,10234,1236
23,28,45.2,38.0,20777,2192,6612,9120,5293,811,20767,718,479,66.7,239,33.3,11461,62001,31023,727,526,213,618,482,11715,1297
24,26,48.4,38.0,21535,2428,7256,10204,4355,596,21530,624,441,70.7,183,29.3,12293,69377,37697,659,507,121,571,444,13134,1311
25,30,59.1,34.0,24162,1675,5898,12785,5697,870,24156,679,304,44.8,375,55.2,13212,76120,39596,733,570,209,405,321,16589,1698
26,27,52.0,38.0,21928,1647,5339,10665,6169,709,21925,649,352,54.2,297,45.8,11543,61027,28436,635,532,129,621,374,12591,1450
27,28,47.9,34.0,19250,1811,5920,9658,3884,657,19248,550,246,44.7,304,55.3,9846,50831,26283,492,325,141,376,354,11339,1278
28,25,46.9,38.0,21233,2154,7119,9852,4461,590,21231,596,323,54.2,272,45.6,11608,57915,28646,532,387,124,534,388,12654,1267
29,30,45.5,38.0,20994,2427,7086,9205,4900,608,20986,461,264,57.3,197,42.7,10177,52954,26650,477,352,105,616,381,11850,1152
