,Squad,Comp,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Alaves,La Liga,26,38.0,646,389,352,228,66,254,595,42.7,341,419,117,302,390,1036,1066,13
1,Amiens,Ligue 1,26,38.0,629,384,313,244,72,256,611,41.9,355,389,141,248,396,1025,876,16
2,Angers,Ligue 1,24,38.0,673,399,351,254,68,259,623,41.6,364,396,109,287,420,1093,889,8
3,Arsenal,Premier League,28,38.0,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28
4,Atalanta,Serie A,27,38.0,638,397,278,277,83,269,577,46.6,308,433,96,337,454,1092,675,10
5,Athletic Club,La Liga,27,38.0,643,384,311,245,87,245,646,37.9,401,414,93,321,453,1096,815,7
6,Atletico Madrid,La Liga,29,38.0,784,487,402,298,84,319,700,45.6,381,374,94,280,463,1247,837,12
7,Augsburg,Bundesliga,30,34.0,591,376,280,262,49,238,515,46.2,277,404,130,274,467,1058,754,15
8,Barcelona,La Liga,30,38.0,537,346,218,232,87,226,492,45.9,266,360,101,259,391,928,565,16
9,Bayern Munich,Bundesliga,24,34.0,465,294,172,210,83,165,410,40.2,245,313,61,252,336,801,368,10
10,Betis,La Liga,25,38.0,615,378,309,227,79,219,544,40.3,325,382,80,302,361,976,702,21
11,Bologna,Serie A,29,38.0,689,430,365,252,72,262,631,41.5,369,463,142,321,372,1061,863,17
12,Bordeaux,Ligue 1,33,38.0,720,447,359,303,58,296,666,44.4,370,394,114,280,391,1111,966,20
13,Bournemouth,Premier League,28,38.0,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21
14,Brighton,Premier League,21,38.0,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17
15,Burnley,Premier League,23,38.0,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19
16,Caen,Ligue 1,26,38.0,709,435,373,271,65,291,621,46.9,330,403,141,262,489,1198,952,18
17,Cagliari,Serie A,30,38.0,603,388,259,249,95,211,524,40.3,313,449,126,323,344,947,837,4
