,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Alaves,La Liga,2,38,38,3420,38.0,50,1.32,167,119,73.7,13,11,14,8,21.1,6,6,0,0,0.0
1,Amiens,Ligue 1,1,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0
2,Angers,Ligue 1,2,38,38,3419,38.0,49,1.29,165,116,72.1,10,16,12,13,34.2,5,3,2,0,40.0
3,Arsenal,Premier League,2,38,38,3420,38.0,51,1.34,182,132,75.8,21,7,10,8,21.1,7,7,0,0,0.0
4,Atalanta,Serie A,3,38,38,3420,38.0,46,1.21,133,90,68.4,20,9,9,9,23.7,5,4,0,1,0.0
5,Athletic Club,La Liga,2,38,38,3420,38.0,45,1.18,120,75,66.7,13,14,11,10,26.3,5,5,0,0,0.0
6,Atletico Madrid,La Liga,2,38,38,3420,38.0,29,0.76,136,109,82.4,22,10,6,20,52.6,5,5,0,0,0.0
7,Augsburg,Bundesliga,3,34,34,3060,34.0,71,2.09,190,120,63.2,8,8,18,5,14.7,2,1,1,0,50.0
8,Barcelona,La Liga,2,38,38,3420,38.0,36,0.95,130,95,73.8,26,9,3,17,44.7,2,2,0,0,0.0
9,Bayern Munich,Bundesliga,2,34,34,3060,34.0,32,0.94,79,48,65.8,24,6,4,12,35.3,6,5,0,1,0.0
10,Betis,La Liga,2,38,38,3420,38.0,52,1.37,155,102,69.0,14,8,16,11,28.9,5,4,1,0,20.0
11,Bologna,Serie A,1,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
12,Bordeaux,Ligue 1,2,38,38,3420,38.0,42,1.11,153,110,76.5,10,11,17,10,26.3,7,6,1,0,14.3
13,Bournemouth,Premier League,3,38,38,3420,38.0,70,1.84,173,106,62.4,13,6,19,10,26.3,5,5,0,0,0.0
14,Brighton,Premier League,2,38,38,3420,38.0,60,1.58,170,110,70.6,9,9,20,7,18.4,10,10,0,0,0.0
15,Burnley,Premier League,2,38,38,3420,38.0,68,1.79,199,134,66.8,11,7,20,8,21.1,3,2,1,0,33.3
16,Caen,Ligue 1,1,38,38,3420,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
17,Cagliari,Serie A,1,38,38,3420,38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0
18,Cardiff City,Premier League,1,38,38,3420,38.0,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9
19,Celta Vigo,La Liga,2,38,38,3420,38.0,62,1.63,167,106,66.5,10,11,17,8,21.1,7,6,0,1,0.0
20,Chelsea,Premier League,2,38,38,3420,38.0,39,1.03,124,84,69.4,21,9,8,16,42.1,2,1,1,0,50.0
21,Chievo,Serie A,3,38,38,3420,38.0,75,1.97,211,136,65.4,2,14,22,7,18.4,4,2,2,0,50.0
22,Crystal Palace,Premier League,3,38,38,3420,38.0,53,1.39,163,110,69.9,14,7,17,12,31.6,5,4,1,0,20.0
23,Dijon,Ligue 1,2,38,38,3420,38.0,60,1.58,171,112,66.7,9,7,22,6,15.8,3,3,0,0,0.0
24,Dortmund,Bundesliga,2,34,34,3060,34.0,44,1.29,134,90,70.1,23,7,4,10,29.4,5,4,0,1,0.0
25,Dusseldorf,Bundesliga,2,34,34,3060,34.0,65,1.91,179,114,67.6,13,5,16,5,14.7,7,7,0,0,0.0
26,Eibar,La Liga,2,38,38,3420,38.0,50,1.32,132,82,64.4,11,14,13,9,23.7,4,3,1,0,25.0
27,Eint Frankfurt,Bundesliga,2,34,34,3060,34.0,48,1.41,165,118,71.5,15,9,10,9,26.5,1,1,0,0,0.0
28,Empoli,Serie A,3,38,38,3420,38.0,70,1.84,235,166,72.8,10,8,20,5,13.2,8,6,1,1,14.3
29,Espanyol,La Liga,1,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
30,Everton,Premier League,1,38,38,3420,38.0,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0
31,Fiorentina,Serie A,3,38,38,3420,38.0,45,1.18,147,104,72.8,8,17,13,9,23.7,6,5,1,0,16.7
32,Freiburg,Bundesliga,2,34,34,3060,34.0,61,1.79,175,114,69.1,8,12,14,5,14.7,7,7,0,0,0.0
33,Frosinone,Serie A,2,38,38,3420,38.0,69,1.82,213,145,70.0,5,10,23,9,23.7,5,5,0,0,0.0
34,Fulham,Premier League,3,38,38,3420,38.0,81,2.13,226,146,66.4,7,5,26,5,13.2,7,5,1,1,16.7
35,Genoa,Serie A,3,38,38,3420,38.0,57,1.5,170,113,69.4,8,14,16,7,18.4,6,5,1,0,16.7
36,Getafe,La Liga,2,38,38,3420,38.0,35,0.92,134,99,76.9,15,14,9,13,34.2,6,4,1,1,20.0
37,Girona,La Liga,2,38,38,3420,38.0,53,1.39,206,154,78.2,9,10,19,9,23.7,8,8,0,0,0.0
38,Guingamp,Ligue 1,2,38,38,3420,38.0,68,1.79,171,101,62.0,5,12,21,10,26.3,6,3,2,1,40.0
39,Hannover 96,Bundesliga,3,34,34,3060,34.0,71,2.09,226,155,71.2,5,6,23,5,14.7,7,6,1,0,14.3
40,Hertha BSC,Bundesliga,2,34,34,3060,34.0,57,1.68,159,103,66.7,11,10,13,9,26.5,6,4,1,1,20.0
41,Hoffenheim,Bundesliga,2,34,34,3060,34.0,52,1.53,173,122,74.0,13,12,9,5,14.7,7,7,0,0,0.0
42,Huddersfield,Premier League,3,38,38,3420,38.0,76,2.0,186,110,62.9,3,7,28,5,13.2,8,7,1,0,12.5
43,Huesca,La Liga,3,38,38,3420,38.0,65,1.71,174,112,67.8,7,12,19,6,15.8,9,9,0,0,0.0
44,Inter,Serie A,1,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0
45,Juventus,Serie A,3,38,38,3420,38.0,30,0.79,111,81,74.8,28,6,4,16,42.1,4,2,1,1,33.3
46,Lazio,Serie A,3,38,38,3420,38.0,46,1.21,149,105,72.5,17,8,13,10,26.3,6,5,1,0,16.7
47,Leganes,La Liga,2,38,38,3420,38.0,43,1.13,134,91,70.1,11,12,15,11,28.9,4,3,1,0,25.0
48,Leicester City,Premier League,1,38,38,3420,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
49,Levante,La Liga,3,38,38,3420,38.0,66,1.74,226,161,74.3,11,11,16,7,18.4,9,8,1,0,11.1
50,Leverkusen,Bundesliga,2,34,34,3060,34.0,52,1.53,139,88,65.5,18,4,12,9,26.5,6,4,2,0,33.3
51,Lille,Ligue 1,1,38,38,3420,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0
53,Lyon,Ligue 1,2,38,38,3420,38.0,47,1.24,149,105,71.8,21,9,8,10,26.3,5,5,0,0,0.0
54,M'Gladbach,Bundesliga,1,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
55,Mainz 05,Bundesliga,2,34,34,3060,34.0,57,1.68,173,116,68.8,12,7,15,7,20.6,4,3,0,1,0.0
56,Manchester City,Premier League,1,38,38,3420,38.0,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0
57,Manchester Utd,Premier League,1,38,38,3420,38.0,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0
58,Marseille,Ligue 1,2,38,38,3416,38.0,52,1.37,138,84,69.6,18,7,13,12,31.6,12,10,2,0,16.7
59,Milan,Serie A,2,38,38,3420,38.0,36,0.95,140,104,77.1,19,11,8,12,31.6,5,4,1,0,20.0
60,Monaco,Ligue 1,3,38,38,3420,38.0,57,1.5,147,89,64.6,8,12,18,8,21.1,8,5,3,0,37.5
61,Montpellier,Ligue 1,2,38,38,3420,38.0,42,1.11,144,103,72.9,15,14,9,12,31.6,5,3,1,1,25.0
62,Nantes,Ligue 1,3,38,38,3420,38.0,48,1.26,130,78,66.2,13,9,16,8,21.1,8,4,4,0,50.0
63,Napoli,Serie A,3,38,38,3417,38.0,36,0.95,137,101,76.6,24,7,7,14,36.8,4,4,0,0,0.0
64,Newcastle Utd,Premier League,1,38,38,3420,38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0
65,Nice,Ligue 1,2,38,38,3420,38.0,35,0.92,155,118,79.4,15,11,12,16,42.1,6,3,3,0,50.0
66,Nimes,Ligue 1,1,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
67,Nurnberg,Bundesliga,2,34,34,3060,34.0,68,2.0,179,112,63.1,3,10,21,4,11.8,4,2,1,1,33.3
68,Paris S-G,Ligue 1,2,38,38,3420,38.0,35,0.92,131,99,77.1,29,4,5,17,44.7,6,5,1,0,16.7
69,Parma,Serie A,2,38,38,3420,38.0,61,1.61,205,149,74.1,10,11,17,10,26.3,8,8,0,0,0.0
70,Rayo Vallecano,La Liga,2,38,38,3420,38.0,70,1.84,182,109,65.4,8,8,22,7,18.4,11,7,4,0,36.4
71,RB Leipzig,Bundesliga,2,34,34,3060,34.0,29,0.85,121,93,80.2,19,9,6,16,47.1,6,5,0,1,0.0
72,Real Madrid,La Liga,3,38,38,3420,38.0,46,1.21,138,91,71.0,21,5,12,12,31.6,8,6,1,1,14.3
73,Real Sociedad,La Liga,2,38,38,3420,38.0,46,1.21,142,97,69.0,13,11,14,9,23.7,3,2,1,0,33.3
74,Reims,Ligue 1,1,38,38,3420,38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0
75,Rennes,Ligue 1,2,38,38,3420,38.0,52,1.37,158,106,69.6,13,13,12,11,28.9,5,4,1,0,20.0
76,Roma,Serie A,2,38,38,3420,38.0,48,1.26,164,116,73.2,18,12,8,10,26.3,7,4,1,2,20.0
77,Saint-Etienne,Ligue 1,2,38,38,3420,38.0,41,1.08,153,112,77.8,19,9,10,13,34.2,9,7,1,1,12.5
78,Sampdoria,Serie A,2,38,38,3420,38.0,51,1.34,149,98,70.5,15,8,15,13,34.2,8,7,1,0,12.5
79,Sassuolo,Serie A,2,38,38,3415,38.0,60,1.58,167,106,66.5,9,16,13,12,31.6,8,4,3,1,42.9
80,Schalke 04,Bundesliga,2,34,34,3057,34.0,55,1.62,166,111,69.9,8,9,17,7,20.6,6,5,1,0,16.7
81,Sevilla,La Liga,3,38,38,3419,38.0,47,1.24,156,108,73.7,17,8,13,10,26.3,7,6,1,0,14.3
82,Southampton,Premier League,3,38,38,3420,38.0,65,1.71,175,112,64.0,9,12,17,7,18.4,3,2,1,0,33.3
83,SPAL,Serie A,4,38,38,3417,38.0,56,1.47,176,120,71.0,11,9,18,10,26.3,5,5,0,0,0.0
84,Strasbourg,Ligue 1,2,38,38,3420,38.0,48,1.26,149,100,72.5,11,16,11,9,23.7,9,7,2,0,22.2
85,Stuttgart,Bundesliga,1,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
86,Torino,Serie A,2,38,38,3420,38.0,37,0.97,145,106,76.6,16,15,7,15,39.5,5,3,2,0,40.0
87,Tottenham,Premier League,3,38,38,3420,38.0,39,1.03,156,118,76.9,23,2,13,13,34.2,5,3,2,0,40.0
88,Toulouse,Ligue 1,2,38,38,3416,38.0,57,1.5,178,121,70.8,8,14,16,9,23.7,6,5,1,0,16.7
89,Udinese,Serie A,2,38,38,3420,38.0,53,1.39,182,130,75.8,11,10,17,9,23.7,9,9,0,0,0.0
90,Valencia,La Liga,2,38,38,3420,38.0,35,0.92,152,118,81.6,15,16,7,13,34.2,8,7,1,0,12.5
91,Valladolid,La Liga,2,38,38,3420,38.0,51,1.34,155,102,71.0,10,11,17,9,23.7,9,6,3,0,33.3
92,Villarreal,La Liga,2,38,38,3420,38.0,52,1.37,185,135,73.5,10,14,14,11,28.9,5,3,1,1,25.0
93,Watford,Premier League,1,38,38,3420,38.0,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0
94,Werder Bremen,Bundesliga,3,34,34,3060,34.0,49,1.44,157,108,71.3,14,11,9,5,14.7,5,4,0,1,0.0
95,West Ham,Premier League,1,38,38,3420,38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0
96,Wolfsburg,Bundesliga,2,34,34,3060,34.0,50,1.47,159,108,71.1,16,7,11,9,26.5,6,4,1,1,20.0
97,Wolves,Premier League,3,38,38,3420,38.0,46,1.21,141,99,69.5,16,9,13,9,23.7,4,3,0,1,0.0
