,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Alaves,La Liga,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3
1,Amiens,Ligue 1,26,38.0,59,6,3,521,519,65,586,396,384,1,9,2,1918,722,705,50.6
2,Angers,Ligue 1,24,38.0,49,4,0,449,445,51,628,420,399,10,5,2,1946,616,565,52.2
3,Arsenal,Premier League,28,38.0,73,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6
4,Atalanta,Serie A,27,38.0,62,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3
5,Athletic Club,La Liga,27,38.0,118,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1
6,Atletico Madrid,La Liga,29,38.0,100,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5
7,Augsburg,Bundesliga,30,34.0,55,1,0,458,349,85,603,467,376,2,2,2,1875,654,699,48.3
8,Barcelona,La Liga,30,38.0,76,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2
9,Bayern Munich,Bundesliga,24,34.0,42,2,2,312,342,88,777,336,294,4,6,1,1979,522,444,54.0
10,Betis,La Liga,25,38.0,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8
11,Bologna,Serie A,29,38.0,91,6,3,516,519,83,737,372,430,2,4,1,1877,748,716,51.1
12,Bordeaux,Ligue 1,33,38.0,74,5,0,545,497,60,658,391,447,3,7,0,2158,660,721,47.8
13,Bournemouth,Premier League,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8
14,Brighton,Premier League,21,38.0,61,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
15,Burnley,Premier League,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8
16,Caen,Ligue 1,26,38.0,79,6,4,559,500,50,647,489,435,3,8,2,1911,756,822,47.9
17,Cagliari,Serie A,30,38.0,94,9,5,573,454,58,794,344,388,3,10,2,1946,850,758,52.9
18,Cardiff City,Premier League,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0
19,Celta Vigo,La Liga,28,38.0,79,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0
20,Chelsea,Premier League,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9
21,Chievo,Serie A,36,38.0,110,7,6,588,476,78,677,471,374,3,4,2,1944,695,732,48.7
22,Crystal Palace,Premier League,26,38.0,58,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1
23,Dijon,Ligue 1,26,38.0,75,7,4,573,443,59,606,482,408,1,3,1,1963,694,800,46.5
24,Dortmund,Bundesliga,23,34.0,40,3,0,292,385,66,458,384,319,3,5,0,1784,461,472,49.4
25,Dusseldorf,Bundesliga,24,34.0,67,1,0,432,404,49,544,419,384,3,7,0,1725,609,608,50.0
26,Eibar,La Liga,25,38.0,81,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5
27,Eint Frankfurt,Bundesliga,30,34.0,58,3,2,420,346,81,678,360,371,1,1,1,2032,819,712,53.5
28,Empoli,Serie A,29,38.0,73,3,1,458,440,77,636,333,328,5,8,2,1865,431,544,44.2
29,Espanyol,La Liga,25,38.0,90,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4
30,Everton,Premier League,23,38.0,56,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9
31,Fiorentina,Serie A,27,38.0,89,5,2,562,507,48,780,413,371,5,6,3,1973,637,623,50.6
32,Freiburg,Bundesliga,28,34.0,54,3,3,412,408,51,528,374,357,4,7,0,1649,553,669,45.3
33,Frosinone,Serie A,33,38.0,99,2,0,560,536,73,815,384,353,5,5,1,1873,621,715,46.5
34,Fulham,Premier League,28,38.0,70,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8
35,Genoa,Serie A,31,38.0,95,7,2,559,481,65,797,424,424,4,6,2,1981,758,749,50.3
36,Getafe,La Liga,26,38.0,107,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9
37,Girona,La Liga,26,38.0,81,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8
38,Guingamp,Ligue 1,30,38.0,58,5,0,486,464,54,809,421,431,4,6,0,1990,778,843,48.0
