,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90
1,Amiens,Ligue 1,26,38,3420,90,100,38.0,418,85,307.0,106,18,160,1.0,31,52,-21,-0.55,35.4,49.8,-14.5,-0.38
2,Angers,Ligue 1,24,38,3420,90,100,38.0,418,84,304.0,110,20,155,1.21,44,49,-5,-0.13,50.7,47.9,2.8,0.07
4,Atalanta,Serie A,27,38,3420,90,100,38.0,418,84,308.0,109,22,311,1.82,77,46,31,0.82,72.2,41.1,31.1,0.82
11,Bologna,Serie A,29,38,3420,90,100,38.0,418,85,301.0,112,19,339,1.16,48,56,-8,-0.21,46.8,49.0,-2.2,-0.06
12,Bordeaux,Ligue 1,33,38,3420,90,100,38.0,418,84,303.0,110,22,156,1.08,34,42,-8,-0.21,39.7,53.5,-13.7,-0.36
16,Caen,Ligue 1,26,38,3420,90,100,38.0,418,83,301.0,113,23,153,0.87,29,54,-25,-0.66,31.0,63.8,-32.8,-0.86
17,Cagliari,Serie A,30,38,3420,90,100,38.0,418,84,296.0,113,21,310,1.08,36,54,-18,-0.47,42.1,62.1,-20.0,-0.53
21,Chievo,Serie A,36,38,3420,90,100,38.0,418,83,300.0,113,23,327,0.53,25,75,-50,-1.32,36.0,60.3,-24.3,-0.64
23,Dijon,Ligue 1,26,38,3420,90,100,38.0,418,84,299.0,112,20,154,0.89,31,60,-29,-0.76,39.8,58.2,-18.5,-0.49
28,Empoli,Serie A,29,38,3420,90,100,38.0,418,85,311.0,106,21,319,1.0,51,70,-19,-0.5,52.4,63.6,-11.3,-0.3
31,Fiorentina,Serie A,27,38,3420,90,100,38.0,418,84,306.0,109,23,316,1.08,47,45,2,0.05,54.0,41.0,13.0,0.34
33,Frosinone,Serie A,33,38,3420,90,100,38.0,418,85,306.0,110,20,339,0.66,29,69,-40,-1.05,38.9,62.0,-23.1,-0.61
35,Genoa,Serie A,31,38,3420,90,100,38.0,418,83,300.0,112,23,327,1.0,39,57,-18,-0.47,46.9,53.3,-6.4,-0.17
38,Guingamp,Ligue 1,30,38,3420,90,100,38.0,418,84,306.0,107,22,158,0.71,28,68,-40,-1.05,40.4,53.4,-12.9,-0.34
44,Inter,Serie A,23,38,3420,90,100,38.0,418,85,303.0,114,20,251,1.82,57,33,24,0.63,63.8,38.3,25.6,0.67
45,Juventus,Serie A,31,38,3420,90,100,38.0,418,85,315.0,102,20,251,2.37,70,30,40,1.05,60.7,35.8,25.0,0.66
46,Lazio,Serie A,30,38,3420,90,100,38.0,418,83,301.0,113,24,328,1.55,56,46,10,0.26,60.4,47.0,13.4,0.35
51,Lille,Ligue 1,25,38,3420,90,100,38.0,418,86,302.0,112,16,154,1.97,68,33,35,0.92,59.5,42.1,17.4,0.46
53,Lyon,Ligue 1,25,38,3420,90,100,38.0,418,85,309.0,108,20,158,1.89,70,47,23,0.61,73.7,43.9,29.8,0.78
58,Marseille,Ligue 1,24,38,3420,90,100,38.0,418,85,301.0,110,18,156,1.61,60,52,8,0.21,52.7,45.6,7.1,0.19
59,Milan,Serie A,23,38,3420,90,100,38.0,418,85,309.0,104,20,334,1.79,55,36,19,0.5,48.8,41.2,7.6,0.2
60,Monaco,Ligue 1,42,38,3420,90,100,38.0,418,84,312.0,102,22,163,0.95,38,57,-19,-0.5,47.4,50.2,-2.8,-0.07
61,Montpellier,Ligue 1,25,38,3420,90,100,38.0,418,85,308.0,107,17,156,1.55,53,42,11,0.29,50.1,41.8,8.2,0.22
