,Squad,Comp,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Alaves,La Liga,26,42.7,38.0,18475,2174,6367,8264,4063,609,18472,489,276,56.4,213,43.6,8348,47885,24646,511,366,103,587,341,9540,1102
1,Amiens,Ligue 1,26,46.5,38.0,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,518,388,85,645,402,11837,1256
2,Angers,Ligue 1,24,43.3,38.0,21133,1925,6496,10339,4544,649,21123,561,316,56.3,245,43.7,10395,59303,31790,700,537,134,611,446,12834,1304
3,Arsenal,Premier League,28,58.1,38.0,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14889,82855,44451,868,591,203,564,409,18303,1869
4,Atalanta,Serie A,27,57.3,38.0,26487,1927,6923,12124,7708,1097,26483,654,363,55.5,291,44.5,16541,90108,46783,1104,849,263,652,464,18013,1929
5,Athletic Club,La Liga,27,50.0,38.0,21553,1935,6265,10194,5320,703,21546,542,288,53.1,254,46.9,10781,59362,31442,626,533,124,522,344,13087,1434
6,Atletico Madrid,La Liga,29,49.2,38.0,23123,1928,6339,10785,6196,765,23119,572,366,64.0,205,35.8,12778,67129,34534,677,581,169,497,412,14831,1369
7,Augsburg,Bundesliga,30,46.4,34.0,18950,2152,6550,8752,3877,593,18945,407,217,53.3,190,46.7,9631,52308,26312,515,364,80,504,336,10914,1143
8,Barcelona,La Liga,30,64.4,38.0,30394,2182,7325,14901,8400,1045,30385,753,446,59.2,307,40.8,19443,96850,52422,851,840,266,456,435,23143,2095
9,Bayern Munich,Bundesliga,24,65.7,34.0,27295,1572,6398,13813,7296,1226,27291,683,426,62.4,257,37.6,16384,90227,49369,960,728,243,469,315,20325,2174
10,Betis,La Liga,25,61.8,38.0,26762,2351,7748,12726,6515,826,26755,717,449,62.6,267,37.2,16024,89234,48124,887,705,218,569,392,19278,1622
11,Bologna,Serie A,29,44.9,38.0,20309,2235,6440,9194,4926,721,20304,542,273,50.4,269,49.6,10638,62652,33445,675,499,142,557,360,11912,1312
12,Bordeaux,Ligue 1,33,50.1,38.0,22991,2210,7383,11299,4566,556,22985,657,345,52.5,312,47.5,12741,69799,37229,742,532,140,606,427,14411,1364
13,Bournemouth,Premier League,28,46.9,38.0,22079,2437,7561,9507,5257,847,22071,578,291,50.3,287,49.7,13210,69260,36536,738,532,172,565,356,13405,1422
14,Brighton,Premier League,21,42.4,38.0,20254,2464,7030,9055,4366,581,20249,516,269,52.1,247,47.9,10122,54122,26537,475,374,98,590,336,11393,1138
15,Burnley,Premier League,23,41.2,38.0,19189,2542,6104,8875,4395,634,19186,370,207,55.9,163,44.1,7936,43013,21370,421,336,72,525,314,10031,1020
16,Caen,Ligue 1,26,44.0,38.0,20025,2201,6881,9794,3563,450,20021,535,268,50.1,267,49.9,9667,53957,26317,500,405,66,656,412,11381,1008
17,Cagliari,Serie A,30,49.8,38.0,22949,2387,6843,11161,5130,653,22946,346,180,52.0,166,48.0,11486,59374,30384,555,447,84,540,368,14386,1282
18,Cardiff City,Premier League,25,35.4,38.0,16261,2228,5452,6544,4470,713,16257,475,260,54.7,214,45.1,6221,39405,19337,434,310,135,519,332,7078,902
19,Celta Vigo,La Liga,28,51.6,38.0,22889,2297,7252,10891,4967,670,22882,626,380,60.7,246,39.3,12743,68374,34962,673,588,141,499,371,14866,1278
20,Chelsea,Premier League,24,62.9,38.0,30774,2105,7613,14434,8968,1029,30769,703,449,63.9,253,36.0,18388,103404,58308,1058,897,251,512,458,22820,2135
21,Chievo,Serie A,36,43.3,38.0,20666,2374,7142,9621,4092,499,20660,365,201,55.1,164,44.9,10531,54119,26992,500,386,75,544,358,12447,1217
22,Crystal Palace,Premier League,26,45.2,38.0,21679,2323,7079,9743,5112,889,21668,667,377,56.5,290,43.5,10553,62673,32736,771,496,227,576,473,12599,1448
23,Dijon,Ligue 1,26,47.9,38.0,21354,2162,6625,10126,4857,598,21350,602,350,58.1,252,41.9,11125,67253,35482,677,515,115,603,383,12929,1328
24,Dortmund,Bundesliga,23,58.1,34.0,25919,1845,6539,13672,5943,829,25915,737,440,59.7,297,40.3,15941,85698,43630,784,610,207,530,381,18684,1626
25,Dusseldorf,Bundesliga,24,43.2,34.0,18363,2081,6608,8212,3744,572,18356,435,232,53.3,203,46.7,9580,52985,27987,553,346,125,466,257,10988,1199
26,Eibar,La Liga,25,54.0,38.0,22528,1611,4998,10759,6998,907,22520,592,344,58.1,248,41.9,11159,58787,28489,565,523,135,576,387,12814,1596
27,Eint Frankfurt,Bundesliga,30,47.2,34.0,18899,1922,5739,9079,4331,700,18895,522,293,56.1,229,43.9,9030,54681,30101,625,406,175,528,365,10463,1235
28,Empoli,Serie A,29,47.9,38.0,22252,2401,6708,10134,5680,835,22245,556,333,59.9,223,40.1,13042,74663,41211,801,603,185,544,367,14544,1556
