,Squad,Comp,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Alaves,La Liga,26,38.0,700,18.42,458,93,38,47,58,6,59,1.55,36,8,3,6,5,1
1,Amiens,Ligue 1,26,38.0,665,17.5,465,66,33,36,53,12,54,1.42,39,4,4,2,3,2
2,Angers,Ligue 1,24,38.0,781,20.55,531,77,56,44,59,14,68,1.79,46,6,4,7,5,0
3,Arsenal,Premier League,28,38.0,831,21.87,655,58,50,34,22,12,116,3.05,91,6,5,6,7,1
4,Atalanta,Serie A,27,38.0,1148,30.21,864,92,71,75,31,15,137,3.61,100,8,10,12,3,4
5,Athletic Club,La Liga,27,38.0,693,18.24,477,77,43,42,45,9,70,1.84,49,5,3,6,7,0
6,Atletico Madrid,La Liga,29,38.0,788,20.74,569,75,40,40,53,11,89,2.34,63,3,4,11,7,1
7,Augsburg,Bundesliga,30,34.0,766,22.53,540,75,37,54,42,18,81,2.38,54,4,3,12,6,2
8,Barcelona,La Liga,30,38.0,1000,26.32,766,42,75,42,66,9,158,4.16,113,7,13,10,15,0
9,Bayern Munich,Bundesliga,24,34.0,1135,33.38,794,103,84,88,54,12,147,4.32,98,10,13,19,4,3
10,Betis,La Liga,25,38.0,782,20.58,585,47,57,24,55,14,76,2.0,57,0,6,5,7,1
11,Bologna,Serie A,29,38.0,879,23.13,615,101,40,54,53,16,79,2.08,57,9,3,4,4,2
12,Bordeaux,Ligue 1,33,38.0,750,19.74,564,57,44,29,42,14,59,1.55,44,3,5,4,2,1
13,Bournemouth,Premier League,28,38.0,788,20.74,558,83,46,39,47,15,99,2.61,64,9,8,6,9,3
14,Brighton,Premier League,21,38.0,647,17.03,427,87,40,35,45,13,55,1.45,29,9,1,7,8,1
15,Burnley,Premier League,23,38.0,624,16.42,417,81,14,55,52,5,69,1.82,45,8,0,13,3,0
16,Caen,Ligue 1,26,38.0,580,15.26,397,62,28,31,51,11,53,1.39,34,4,3,4,8,0
17,Cagliari,Serie A,30,38.0,757,19.92,541,96,24,48,34,14,64,1.68,43,8,3,5,4,1
18,Cardiff City,Premier League,25,38.0,693,18.24,457,96,32,57,47,4,50,1.32,32,4,3,9,2,0
19,Celta Vigo,La Liga,28,38.0,814,21.42,588,56,63,44,55,8,89,2.34,66,3,5,7,8,0
20,Chelsea,Premier League,24,38.0,1131,29.76,892,58,61,45,54,21,114,3.0,82,5,13,7,6,1
21,Chievo,Serie A,36,38.0,688,18.11,515,60,33,41,33,6,40,1.05,27,4,0,6,3,0
22,Crystal Palace,Premier League,26,38.0,860,22.63,606,72,55,63,50,14,86,2.26,51,6,7,8,13,1
23,Dijon,Ligue 1,26,38.0,805,21.18,551,85,59,48,48,14,50,1.32,31,3,8,6,1,1
24,Dortmund,Bundesliga,23,34.0,796,23.41,583,57,50,46,48,12,142,4.18,105,6,7,11,10,3
25,Dusseldorf,Bundesliga,24,34.0,731,21.5,511,78,38,50,39,15,85,2.5,57,4,9,6,4,5
26,Eibar,La Liga,25,38.0,935,24.61,639,112,57,48,61,18,73,1.92,45,7,3,8,7,3
27,Eint Frankfurt,Bundesliga,30,34.0,710,20.88,481,83,57,38,40,11,97,2.85,70,7,7,10,2,1
28,Empoli,Serie A,29,38.0,787,20.71,587,55,56,47,30,12,85,2.24,62,5,9,5,4,0
29,Espanyol,La Liga,25,38.0,805,21.18,589,58,39,60,39,20,66,1.74,42,4,2,12,3,3
30,Everton,Premier League,23,38.0,845,22.24,573,88,57,61,56,10,93,2.45,65,5,8,12,3,0
31,Fiorentina,Serie A,27,38.0,1002,26.37,722,92,56,69,45,18,69,1.82,44,2,10,6,6,1
32,Freiburg,Bundesliga,28,34.0,734,21.59,515,71,42,47,46,13,71,2.09,44,6,0,10,9,2
33,Frosinone,Serie A,33,38.0,789,20.76,558,89,25,44,62,11,48,1.26,28,6,3,7,4,0
34,Fulham,Premier League,28,38.0,814,21.42,601,73,47,56,28,9,59,1.55,42,3,6,5,3,0
35,Genoa,Serie A,31,38.0,931,24.5,636,103,43,60,60,29,63,1.66,44,7,2,3,4,3
36,Getafe,La Liga,26,38.0,674,17.74,428,90,49,36,56,15,78,2.05,46,7,11,5,8,1
37,Girona,La Liga,26,38.0,692,18.21,462,84,39,39,62,6,63,1.66,39,6,2,9,7,0
38,Guingamp,Ligue 1,30,38.0,718,18.89,495,83,39,37,54,10,50,1.32,31,8,1,4,6,0
39,Hannover 96,Bundesliga,32,34.0,662,19.47,457,64,41,36,49,15,55,1.62,43,2,4,2,4,0
40,Hertha BSC,Bundesliga,26,34.0,711,20.91,496,66,52,51,37,9,83,2.44,51,4,9,10,7,2
41,Hoffenheim,Bundesliga,29,34.0,1081,31.79,786,80,80,69,44,22,118,3.47,84,6,8,12,8,0
42,Huddersfield,Premier League,31,38.0,683,17.97,487,74,27,43,37,15,33,0.87,23,4,0,3,3,0
43,Huesca,La Liga,30,38.0,815,21.45,546,93,45,56,54,21,76,2.0,42,10,4,10,10,0
44,Inter,Serie A,23,38.0,1129,29.71,866,98,42,67,38,18,98,2.58,66,8,6,9,7,2
45,Juventus,Serie A,31,38.0,1103,29.03,816,87,53,72,58,17,108,2.84,71,7,4,14,9,3
46,Lazio,Serie A,30,38.0,1093,28.76,834,81,53,64,44,17,89,2.34,60,7,7,9,4,2
47,Leganes,La Liga,29,38.0,707,18.61,490,86,37,34,45,15,61,1.61,42,8,3,5,3,0
