,Squad,Comp,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Alavés,La Liga,32.0,38.0,579.0,346.0,261.0,265.0,53.0,255.0,619.0,41.2,364.0,385.0,114.0,271.0,392.0,971.0,766.0,7.0
1,Amiens,Ligue 1,27.0,28.0,425.0,238.0,194.0,184.0,47.0,201.0,510.0,39.4,309.0,280.0,87.0,193.0,300.0,725.0,615.0,17.0
2,Angers,Ligue 1,26.0,28.0,439.0,279.0,206.0,178.0,55.0,177.0,452.0,39.2,275.0,229.0,51.0,178.0,267.0,706.0,513.0,8.0
3,Arsenal,Premier League,29.0,38.0,584.0,336.0,296.0,217.0,71.0,249.0,612.0,40.7,363.0,398.0,141.0,257.0,351.0,935.0,754.0,18.0
4,Aston Villa,Premier League,28.0,38.0,523.0,291.0,285.0,174.0,64.0,223.0,597.0,37.4,374.0,456.0,184.0,272.0,423.0,946.0,928.0,26.0
5,Atalanta,Serie A,30.0,38.0,627.0,351.0,252.0,278.0,97.0,263.0,643.0,40.9,380.0,396.0,111.0,285.0,418.0,1045.0,532.0,12.0
6,Athletic Club,La Liga,26.0,38.0,533.0,324.0,262.0,204.0,67.0,217.0,613.0,35.4,396.0,339.0,92.0,247.0,373.0,906.0,755.0,7.0
7,Atlético Madrid,La Liga,30.0,38.0,658.0,406.0,293.0,272.0,93.0,283.0,640.0,44.2,357.0,380.0,108.0,272.0,412.0,1070.0,729.0,18.0
8,Augsburg,Bundesliga,28.0,34.0,534.0,314.0,271.0,215.0,48.0,220.0,563.0,39.1,343.0,362.0,123.0,239.0,434.0,968.0,778.0,8.0
9,Barcelona,La Liga,28.0,38.0,536.0,323.0,216.0,223.0,97.0,211.0,501.0,42.1,290.0,313.0,87.0,226.0,342.0,878.0,529.0,16.0
10,Bayern Munich,Bundesliga,29.0,34.0,500.0,293.0,180.0,222.0,98.0,211.0,503.0,41.9,292.0,290.0,79.0,211.0,341.0,841.0,382.0,9.0
11,Betis,La Liga,27.0,38.0,501.0,299.0,276.0,173.0,52.0,221.0,511.0,43.2,290.0,336.0,119.0,217.0,302.0,803.0,682.0,8.0
12,Bologna,Serie A,31.0,38.0,575.0,338.0,270.0,238.0,67.0,226.0,619.0,36.5,393.0,390.0,125.0,265.0,412.0,987.0,667.0,13.0
13,Bordeaux,Ligue 1,26.0,28.0,483.0,284.0,232.0,206.0,45.0,230.0,595.0,38.7,365.0,237.0,89.0,148.0,302.0,785.0,575.0,13.0
14,Bournemouth,Premier League,27.0,38.0,507.0,299.0,254.0,206.0,47.0,207.0,567.0,36.5,360.0,439.0,160.0,279.0,475.0,982.0,1008.0,16.0
15,Brescia,Serie A,32.0,38.0,507.0,273.0,256.0,195.0,56.0,226.0,559.0,40.4,333.0,399.0,170.0,229.0,361.0,868.0,886.0,12.0
16,Brest,Ligue 1,24.0,28.0,484.0,282.0,238.0,186.0,60.0,184.0,472.0,39.0,288.0,263.0,82.0,181.0,352.0,836.0,537.0,11.0
17,Brighton,Premier League,25.0,38.0,641.0,379.0,295.0,269.0,77.0,245.0,642.0,38.2,397.0,437.0,137.0,300.0,419.0,1060.0,750.0,15.0
