,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Alavés,La Liga,3.0,38.0,38.0,3418.0,38.0,59.0,1.55,161.0,99.0,70.8,10.0,9.0,18.0,9.0,23.7,15.0,12.0,3.0,0.0,20.0
1,Amiens,Ligue 1,1.0,28.0,28.0,2520.0,28.0,50.0,1.79,142.0,93.0,65.5,4.0,11.0,13.0,5.0,17.9,1.0,1.0,0.0,0.0,0.0
2,Angers,Ligue 1,2.0,28.0,28.0,2520.0,28.0,33.0,1.18,90.0,57.0,66.7,11.0,6.0,11.0,12.0,42.9,3.0,3.0,0.0,0.0,0.0
3,Arsenal,Premier League,2.0,38.0,38.0,3420.0,38.0,48.0,1.26,193.0,144.0,78.8,14.0,14.0,9.0,10.0,26.3,8.0,7.0,1.0,0.0,12.5
4,Aston Villa,Premier League,4.0,38.0,38.0,3420.0,38.0,67.0,1.76,182.0,115.0,65.9,8.0,8.0,20.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7
5,Atalanta,Serie A,3.0,38.0,38.0,3420.0,38.0,48.0,1.26,139.0,94.0,69.8,22.0,9.0,5.0,10.0,26.3,6.0,6.0,0.0,0.0,0.0
6,Athletic Club,La Liga,2.0,38.0,38.0,3416.0,38.0,38.0,1.0,128.0,92.0,74.2,13.0,12.0,12.0,12.0,31.6,7.0,5.0,0.0,2.0,0.0
7,Atlético Madrid,La Liga,2.0,38.0,38.0,3420.0,38.0,27.0,0.71,112.0,88.0,78.6,18.0,16.0,3.0,17.0,44.7,4.0,3.0,0.0,1.0,0.0
8,Augsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,63.0,1.85,155.0,94.0,59.4,9.0,9.0,16.0,7.0,20.6,1.0,0.0,1.0,0.0,100.0
9,Barcelona,La Liga,2.0,38.0,38.0,3420.0,38.0,38.0,1.0,119.0,80.0,73.1,25.0,7.0,6.0,15.0,39.5,7.0,6.0,1.0,0.0,14.3
10,Bayern Munich,Bundesliga,2.0,34.0,34.0,3060.0,34.0,32.0,0.94,113.0,81.0,74.3,26.0,4.0,4.0,15.0,44.1,4.0,3.0,1.0,0.0,25.0
11,Betis,La Liga,2.0,38.0,38.0,3418.0,38.0,60.0,1.58,154.0,95.0,68.2,10.0,11.0,16.0,6.0,15.8,11.0,11.0,0.0,0.0,0.0
12,Bologna,Serie A,2.0,38.0,38.0,3420.0,38.0,65.0,1.71,189.0,124.0,68.8,12.0,11.0,15.0,2.0,5.3,8.0,6.0,1.0,1.0,14.3
13,Bordeaux,Ligue 1,1.0,28.0,28.0,2520.0,28.0,34.0,1.21,108.0,74.0,70.4,9.0,10.0,9.0,6.0,21.4,3.0,2.0,1.0,0.0,33.3
14,Bournemouth,Premier League,2.0,38.0,38.0,3420.0,38.0,65.0,1.71,192.0,126.0,68.8,9.0,7.0,22.0,5.0,13.2,6.0,5.0,1.0,0.0,16.7
15,Brescia,Serie A,3.0,38.0,38.0,3420.0,38.0,79.0,2.08,236.0,159.0,70.3,6.0,7.0,24.0,6.0,15.8,11.0,9.0,1.0,1.0,10.0
16,Brest,Ligue 1,2.0,28.0,28.0,2520.0,28.0,37.0,1.32,143.0,104.0,76.9,8.0,10.0,9.0,8.0,28.6,6.0,4.0,2.0,0.0,33.3
17,Brighton,Premier League,1.0,38.0,38.0,3420.0,38.0,54.0,1.42,168.0,116.0,69.0,9.0,14.0,15.0,9.0,23.7,2.0,2.0,0.0,0.0,0.0
18,Burnley,Premier League,1.0,38.0,38.0,3420.0,38.0,50.0,1.32,167.0,117.0,72.5,15.0,9.0,14.0,15.0,39.5,5.0,4.0,1.0,0.0,20.0
19,Cagliari,Serie A,3.0,38.0,38.0,3418.0,38.0,56.0,1.47,195.0,141.0,74.9,11.0,11.0,15.0,7.0,18.4,9.0,7.0,1.0,1.0,12.5
20,Celta Vigo,La Liga,3.0,38.0,38.0,3420.0,38.0,49.0,1.29,149.0,100.0,70.5,7.0,15.0,15.0,12.0,31.6,5.0,5.0,0.0,0.0,0.0
21,Chelsea,Premier League,2.0,38.0,38.0,3420.0,38.0,54.0,1.42,115.0,64.0,54.8,20.0,6.0,12.0,9.0,23.7,2.0,2.0,0.0,0.0,0.0
22,Crystal Palace,Premier League,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,172.0,124.0,70.9,11.0,10.0,17.0,10.0,26.3,1.0,0.0,0.0,1.0,
23,Dijon,Ligue 1,2.0,28.0,28.0,2520.0,28.0,37.0,1.32,128.0,93.0,71.9,7.0,7.0,12.0,6.0,21.4,1.0,1.0,0.0,0.0,0.0
24,Dortmund,Bundesliga,2.0,34.0,34.0,3060.0,34.0,41.0,1.21,102.0,64.0,62.7,20.0,6.0,7.0,15.0,44.1,3.0,3.0,0.0,0.0,0.0
25,Düsseldorf,Bundesliga,2.0,34.0,34.0,3060.0,34.0,67.0,1.97,177.0,112.0,63.8,6.0,12.0,16.0,4.0,11.8,5.0,3.0,2.0,0.0,40.0
26,Eibar,La Liga,2.0,38.0,38.0,3420.0,38.0,56.0,1.47,138.0,81.0,62.3,11.0,9.0,18.0,11.0,28.9,6.0,4.0,2.0,0.0,33.3
27,Eint Frankfurt,Bundesliga,3.0,34.0,34.0,3060.0,34.0,60.0,1.76,174.0,116.0,67.2,13.0,6.0,15.0,5.0,14.7,3.0,3.0,0.0,0.0,0.0
28,Espanyol,La Liga,2.0,38.0,38.0,3412.0,38.0,58.0,1.53,163.0,106.0,68.1,5.0,10.0,22.0,6.0,15.8,7.0,6.0,1.0,0.0,14.3
29,Everton,Premier League,1.0,38.0,38.0,3420.0,38.0,56.0,1.47,147.0,94.0,63.9,13.0,10.0,15.0,9.0,23.7,4.0,3.0,0.0,1.0,0.0
30,Fiorentina,Serie A,3.0,38.0,38.0,3420.0,38.0,48.0,1.26,162.0,112.0,75.9,11.0,13.0,13.0,11.0,28.9,11.0,9.0,2.0,0.0,18.2
31,Freiburg,Bundesliga,3.0,34.0,34.0,3060.0,34.0,47.0,1.38,191.0,144.0,77.0,13.0,9.0,11.0,7.0,20.6,4.0,3.0,0.0,1.0,0.0
32,Genoa,Serie A,2.0,38.0,38.0,3420.0,38.0,73.0,1.92,201.0,130.0,67.2,10.0,9.0,19.0,7.0,18.4,9.0,7.0,0.0,2.0,0.0
33,Getafe,La Liga,1.0,38.0,38.0,3420.0,38.0,37.0,0.97,109.0,73.0,70.6,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7
34,Granada,La Liga,2.0,38.0,38.0,3420.0,38.0,45.0,1.18,156.0,110.0,73.7,16.0,8.0,14.0,13.0,34.2,5.0,4.0,1.0,0.0,20.0
35,Hellas Verona,Serie A,2.0,38.0,38.0,3420.0,38.0,51.0,1.34,174.0,124.0,75.9,12.0,13.0,13.0,10.0,26.3,9.0,9.0,0.0,0.0,0.0
36,Hertha BSC,Bundesliga,3.0,34.0,34.0,3058.0,34.0,59.0,1.74,173.0,116.0,69.9,11.0,8.0,14.0,9.0,26.5,7.0,7.0,0.0,0.0,0.0
37,Hoffenheim,Bundesliga,2.0,34.0,34.0,3060.0,34.0,53.0,1.56,167.0,114.0,71.9,15.0,7.0,12.0,8.0,23.5,8.0,6.0,2.0,0.0,25.0
38,Inter,Serie A,2.0,38.0,38.0,3420.0,38.0,36.0,0.95,118.0,82.0,72.0,24.0,10.0,4.0,14.0,36.8,4.0,3.0,1.0,0.0,25.0
39,Juventus,Serie A,3.0,38.0,38.0,3420.0,38.0,43.0,1.13,162.0,118.0,79.0,26.0,5.0,6.0,12.0,31.6,12.0,9.0,1.0,2.0,10.0
40,Köln,Bundesliga,1.0,34.0,34.0,3060.0,34.0,69.0,2.03,156.0,87.0,58.3,10.0,6.0,18.0,6.0,17.6,6.0,4.0,2.0,0.0,33.3
41,Lazio,Serie A,1.0,38.0,38.0,3420.0,38.0,42.0,1.11,154.0,112.0,77.3,24.0,6.0,8.0,11.0,28.9,9.0,7.0,1.0,1.0,12.5
42,Lecce,Serie A,2.0,38.0,38.0,3420.0,38.0,85.0,2.24,256.0,172.0,71.1,9.0,8.0,20.0,3.0,7.9,13.0,11.0,2.0,0.0,15.4
43,Leganés,La Liga,2.0,38.0,38.0,3419.0,38.0,51.0,1.34,138.0,87.0,67.4,8.0,11.0,18.0,9.0,23.7,7.0,6.0,1.0,0.0,14.3
44,Leicester City,Premier League,1.0,38.0,38.0,3420.0,38.0,41.0,1.08,135.0,94.0,75.6,18.0,8.0,12.0,13.0,34.2,10.0,8.0,2.0,0.0,20.0
45,Levante,La Liga,2.0,38.0,38.0,3420.0,38.0,53.0,1.39,215.0,161.0,76.7,14.0,7.0,17.0,6.0,15.8,6.0,3.0,2.0,1.0,40.0
46,Leverkusen,Bundesliga,1.0,34.0,34.0,3060.0,34.0,44.0,1.29,143.0,99.0,70.6,19.0,6.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,0.0
47,Lille,Ligue 1,1.0,28.0,28.0,2520.0,28.0,27.0,0.96,83.0,58.0,72.3,15.0,4.0,9.0,12.0,42.9,6.0,4.0,1.0,1.0,20.0
48,Liverpool,Premier League,2.0,38.0,38.0,3418.0,38.0,33.0,0.87,107.0,75.0,70.1,30.0,3.0,3.0,15.0,39.5,1.0,1.0,0.0,0.0,0.0
49,Lyon,Ligue 1,2.0,28.0,28.0,2520.0,28.0,27.0,0.96,97.0,73.0,74.2,11.0,7.0,10.0,9.0,32.1,3.0,2.0,0.0,1.0,0.0
50,M'Gladbach,Bundesliga,1.0,34.0,34.0,3060.0,34.0,40.0,1.18,158.0,117.0,75.3,20.0,5.0,9.0,7.0,20.6,2.0,1.0,1.0,0.0,50.0
51,Mainz 05,Bundesliga,2.0,34.0,34.0,3060.0,34.0,65.0,1.91,181.0,115.0,65.7,11.0,3.0,19.0,5.0,14.7,5.0,3.0,2.0,0.0,40.0
52,Mallorca,La Liga,3.0,38.0,38.0,3420.0,38.0,65.0,1.71,190.0,125.0,73.7,9.0,6.0,23.0,5.0,13.2,16.0,15.0,1.0,0.0,6.3
53,Manchester City,Premier League,2.0,38.0,38.0,3418.0,38.0,35.0,0.92,110.0,76.0,70.9,26.0,3.0,8.0,17.0,44.7,3.0,3.0,0.0,0.0,0.0
54,Manchester Utd,Premier League,1.0,38.0,38.0,3420.0,38.0,36.0,0.95,131.0,96.0,74.8,18.0,12.0,8.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0
55,Marseille,Ligue 1,2.0,28.0,28.0,2520.0,28.0,29.0,1.04,99.0,71.0,74.7,16.0,7.0,4.0,11.0,39.3,5.0,4.0,1.0,0.0,20.0
56,Metz,Ligue 1,2.0,28.0,28.0,2520.0,28.0,35.0,1.25,135.0,100.0,77.0,8.0,10.0,9.0,8.0,28.6,4.0,4.0,0.0,0.0,0.0
57,Milan,Serie A,3.0,38.0,38.0,3420.0,38.0,46.0,1.21,154.0,104.0,73.4,19.0,8.0,10.0,12.0,31.6,10.0,5.0,5.0,0.0,50.0
58,Monaco,Ligue 1,1.0,28.0,28.0,2520.0,28.0,44.0,1.57,134.0,91.0,71.6,11.0,7.0,10.0,7.0,25.0,6.0,6.0,0.0,0.0,0.0
59,Montpellier,Ligue 1,3.0,28.0,28.0,2517.0,28.0,34.0,1.22,132.0,98.0,76.5,11.0,7.0,9.0,8.0,28.6,5.0,3.0,2.0,0.0,40.0
60,Nantes,Ligue 1,2.0,28.0,28.0,2520.0,28.0,31.0,1.11,101.0,68.0,72.3,11.0,4.0,13.0,10.0,35.7,6.0,3.0,2.0,1.0,40.0
61,Napoli,Serie A,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,138.0,88.0,68.8,18.0,8.0,11.0,7.0,18.4,8.0,7.0,1.0,0.0,12.5
62,Newcastle Utd,Premier League,1.0,38.0,38.0,3420.0,38.0,58.0,1.53,195.0,139.0,71.3,11.0,11.0,16.0,11.0,28.9,2.0,2.0,0.0,0.0,0.0
63,Nice,Ligue 1,2.0,28.0,28.0,2520.0,28.0,38.0,1.36,137.0,100.0,75.9,11.0,8.0,9.0,4.0,14.3,7.0,5.0,1.0,1.0,16.7
64,Nîmes,Ligue 1,2.0,28.0,28.0,2520.0,28.0,44.0,1.57,127.0,84.0,68.5,7.0,5.0,15.0,7.0,25.0,4.0,4.0,0.0,0.0,0.0
65,Norwich City,Premier League,3.0,38.0,38.0,3420.0,38.0,75.0,1.97,210.0,135.0,66.2,5.0,6.0,26.0,5.0,13.2,7.0,4.0,3.0,0.0,42.9
