,Squad,Comp,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Alavés,La Liga,32.0,38.0,13973.0,11911.0,2001.0,543.0,17.0,108.0,562.0,881.0,136.0,52.0,53.0,0.0,9612.0,61.0,278.0
1,Amiens,Ligue 1,27.0,28.0,12850.0,11356.0,1457.0,350.0,28.0,91.0,463.0,669.0,108.0,53.0,28.0,0.0,9685.0,37.0,229.0
2,Angers,Ligue 1,26.0,28.0,13458.0,12001.0,1429.0,351.0,15.0,97.0,550.0,649.0,146.0,48.0,85.0,2.0,10518.0,28.0,232.0
3,Arsenal,Premier League,29.0,38.0,20410.0,18463.0,1874.0,487.0,67.0,153.0,699.0,756.0,231.0,96.0,71.0,3.0,16634.0,73.0,320.0
4,Aston Villa,Premier League,28.0,38.0,15672.0,13604.0,2006.0,562.0,17.0,153.0,798.0,797.0,200.0,109.0,34.0,8.0,11652.0,62.0,307.0
5,Atalanta,Serie A,30.0,38.0,21860.0,19949.0,1861.0,577.0,40.0,163.0,767.0,715.0,248.0,83.0,132.0,0.0,17945.0,50.0,354.0
6,Athletic Club,La Liga,26.0,38.0,16915.0,14889.0,1942.0,517.0,14.0,200.0,754.0,874.0,178.0,70.0,65.0,6.0,12533.0,84.0,306.0
7,Atlético Madrid,La Liga,30.0,38.0,17765.0,15735.0,1914.0,511.0,62.0,123.0,574.0,835.0,183.0,60.0,92.0,0.0,13595.0,116.0,283.0
8,Augsburg,Bundesliga,28.0,34.0,12287.0,10461.0,1745.0,441.0,18.0,118.0,479.0,772.0,133.0,59.0,60.0,0.0,8439.0,81.0,339.0
9,Barcelona,La Liga,28.0,38.0,28227.0,26418.0,1726.0,573.0,86.0,183.0,417.0,638.0,185.0,92.0,27.0,2.0,24758.0,83.0,337.0
10,Bayern Munich,Bundesliga,29.0,34.0,24272.0,22487.0,1707.0,444.0,69.0,180.0,849.0,767.0,240.0,91.0,100.0,0.0,20586.0,78.0,347.0
11,Betis,La Liga,27.0,38.0,19823.0,17676.0,2063.0,699.0,30.0,205.0,624.0,799.0,185.0,67.0,41.0,2.0,16182.0,84.0,337.0
12,Bologna,Serie A,31.0,38.0,18465.0,16401.0,1979.0,618.0,28.0,134.0,733.0,736.0,228.0,155.0,21.0,2.0,14608.0,85.0,329.0
13,Bordeaux,Ligue 1,26.0,28.0,15092.0,13672.0,1380.0,389.0,35.0,93.0,425.0,546.0,137.0,83.0,42.0,0.0,12252.0,40.0,204.0
14,Bournemouth,Premier League,27.0,38.0,16387.0,14488.0,1832.0,450.0,28.0,92.0,646.0,790.0,194.0,104.0,57.0,0.0,12042.0,67.0,390.0
15,Brescia,Serie A,32.0,38.0,14648.0,12511.0,2069.0,644.0,22.0,160.0,641.0,784.0,160.0,44.0,76.0,1.0,10833.0,68.0,327.0
16,Brest,Ligue 1,24.0,28.0,14206.0,12692.0,1479.0,332.0,32.0,146.0,520.0,722.0,117.0,63.0,28.0,1.0,11054.0,35.0,245.0
17,Brighton,Premier League,25.0,38.0,20056.0,18194.0,1791.0,394.0,34.0,200.0,689.0,853.0,178.0,78.0,78.0,0.0,15881.0,71.0,365.0
18,Burnley,Premier League,22.0,38.0,14694.0,12767.0,1838.0,408.0,29.0,99.0,743.0,868.0,170.0,158.0,1.0,0.0,10049.0,89.0,287.0
19,Cagliari,Serie A,33.0,38.0,16868.0,14891.0,1921.0,562.0,24.0,167.0,762.0,749.0,154.0,63.0,67.0,1.0,13131.0,56.0,289.0
20,Celta Vigo,La Liga,30.0,38.0,18557.0,16543.0,1944.0,593.0,38.0,138.0,636.0,749.0,176.0,61.0,78.0,2.0,14552.0,70.0,367.0
21,Chelsea,Premier League,27.0,38.0,25213.0,23308.0,1842.0,401.0,61.0,215.0,862.0,876.0,247.0,106.0,82.0,2.0,20958.0,63.0,361.0
22,Crystal Palace,Premier League,25.0,38.0,16395.0,14377.0,1965.0,501.0,19.0,79.0,588.0,886.0,177.0,93.0,32.0,36.0,12274.0,53.0,318.0
23,Dijon,Ligue 1,28.0,28.0,13029.0,11560.0,1437.0,380.0,30.0,90.0,451.0,622.0,121.0,43.0,57.0,3.0,10073.0,32.0,213.0
24,Dortmund,Bundesliga,27.0,34.0,24071.0,22420.0,1595.0,410.0,63.0,188.0,510.0,694.0,190.0,64.0,77.0,2.0,20601.0,56.0,353.0
25,Düsseldorf,Bundesliga,28.0,34.0,15164.0,13381.0,1727.0,493.0,19.0,225.0,705.0,730.0,148.0,27.0,98.0,0.0,11367.0,56.0,296.0
26,Eibar,La Liga,26.0,38.0,15551.0,13381.0,2097.0,531.0,11.0,221.0,870.0,1015.0,189.0,69.0,101.0,1.0,10439.0,73.0,286.0
27,Eint Frankfurt,Bundesliga,27.0,34.0,16602.0,14737.0,1808.0,457.0,16.0,126.0,892.0,813.0,213.0,64.0,120.0,1.0,12302.0,57.0,375.0
28,Espanyol,La Liga,31.0,38.0,16363.0,14389.0,1909.0,543.0,19.0,146.0,710.0,800.0,156.0,59.0,64.0,6.0,11881.0,65.0,281.0
29,Everton,Premier League,24.0,38.0,17736.0,15790.0,1888.0,463.0,55.0,165.0,804.0,853.0,203.0,105.0,80.0,2.0,13433.0,58.0,362.0
30,Fiorentina,Serie A,33.0,38.0,17172.0,15265.0,1857.0,576.0,41.0,173.0,726.0,705.0,209.0,70.0,112.0,0.0,13589.0,50.0,313.0
31,Freiburg,Bundesliga,26.0,34.0,15762.0,13890.0,1816.0,454.0,31.0,152.0,649.0,766.0,151.0,96.0,35.0,1.0,12085.0,56.0,349.0
32,Genoa,Serie A,34.0,38.0,18157.0,16145.0,1955.0,555.0,13.0,142.0,723.0,782.0,166.0,51.0,71.0,0.0,14305.0,57.0,329.0
33,Getafe,La Liga,30.0,38.0,13715.0,11368.0,2241.0,630.0,27.0,215.0,833.0,1094.0,185.0,41.0,69.0,2.0,8319.0,106.0,377.0
34,Granada,La Liga,27.0,38.0,14105.0,12058.0,1977.0,582.0,16.0,133.0,670.0,825.0,163.0,64.0,57.0,0.0,9810.0,70.0,306.0
35,Hellas Verona,Serie A,30.0,38.0,17641.0,15621.0,1929.0,555.0,29.0,94.0,750.0,734.0,207.0,83.0,112.0,0.0,13348.0,91.0,310.0
36,Hertha BSC,Bundesliga,32.0,34.0,14961.0,13249.0,1655.0,423.0,13.0,184.0,527.0,742.0,125.0,37.0,72.0,2.0,11361.0,57.0,302.0
37,Hoffenheim,Bundesliga,31.0,34.0,17932.0,16146.0,1725.0,472.0,40.0,89.0,579.0,700.0,174.0,58.0,98.0,3.0,14392.0,61.0,339.0
38,Inter,Serie A,29.0,38.0,20842.0,18974.0,1772.0,469.0,20.0,243.0,790.0,704.0,235.0,92.0,65.0,1.0,17232.0,96.0,348.0
39,Juventus,Serie A,30.0,38.0,23408.0,21548.0,1787.0,509.0,54.0,209.0,698.0,713.0,235.0,74.0,105.0,1.0,20149.0,73.0,299.0
40,Köln,Bundesliga,29.0,34.0,15108.0,13248.0,1785.0,475.0,33.0,106.0,708.0,735.0,175.0,77.0,79.0,2.0,11195.0,75.0,314.0
41,Lazio,Serie A,27.0,38.0,19415.0,17695.0,1649.0,449.0,63.0,186.0,741.0,610.0,218.0,72.0,102.0,0.0,15875.0,71.0,327.0
42,Lecce,Serie A,30.0,38.0,17104.0,15195.0,1842.0,563.0,16.0,208.0,711.0,600.0,182.0,15.0,27.0,1.0,13640.0,67.0,336.0
43,Leganés,La Liga,29.0,38.0,14838.0,12774.0,1989.0,565.0,20.0,160.0,771.0,886.0,157.0,42.0,83.0,3.0,10336.0,75.0,296.0
44,Leicester City,Premier League,24.0,38.0,21800.0,19817.0,1919.0,495.0,68.0,126.0,779.0,883.0,221.0,70.0,100.0,7.0,17600.0,64.0,368.0
45,Levante,La Liga,29.0,38.0,16332.0,14321.0,1930.0,548.0,34.0,227.0,697.0,749.0,189.0,91.0,42.0,6.0,12415.0,81.0,335.0
46,Leverkusen,Bundesliga,24.0,34.0,22954.0,21080.0,1782.0,475.0,40.0,124.0,713.0,782.0,215.0,127.0,68.0,2.0,19042.0,92.0,368.0
47,Lille,Ligue 1,25.0,28.0,14278.0,12765.0,1453.0,387.0,47.0,113.0,528.0,657.0,154.0,61.0,70.0,1.0,11263.0,60.0,259.0
