,Squad,Comp,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Alavés,La Liga,32.0,38.0,9612.0,13973.0,68.8,182168.0,82563.0,4283.0,5328.0,80.4,3614.0,4788.0,75.5,1385.0,2920.0,47.4,20.0,26.9,22.0,-6.9,236.0,723.0,171.0,56.0,721.0
1,Amiens,Ligue 1,27.0,28.0,9685.0,12850.0,75.4,167666.0,69294.0,4758.0,5530.0,86.0,3638.0,4570.0,79.6,1006.0,2015.0,49.9,20.0,16.9,17.5,3.1,161.0,739.0,127.0,41.0,793.0
2,Angers,Ligue 1,26.0,28.0,10518.0,13458.0,78.2,183652.0,73743.0,4767.0,5387.0,88.5,4021.0,4778.0,84.2,1219.0,2274.0,53.6,21.0,23.0,21.8,-2.0,267.0,736.0,195.0,68.0,803.0
3,Arsenal,Premier League,29.0,38.0,16634.0,20410.0,81.5,292657.0,94433.0,7259.0,8103.0,89.6,7300.0,8331.0,87.6,1596.0,2772.0,57.6,35.0,31.4,28.5,3.6,298.0,1164.0,311.0,63.0,1114.0
4,Aston Villa,Premier League,28.0,38.0,11652.0,15672.0,74.3,217478.0,84204.0,5074.0,5895.0,86.1,4810.0,5882.0,81.8,1480.0,3002.0,49.3,32.0,34.2,27.7,-2.2,369.0,908.0,270.0,95.0,899.0
5,Atalanta,Serie A,30.0,38.0,17945.0,21860.0,82.1,301979.0,102759.0,8671.0,9684.0,89.5,6817.0,7927.0,86.0,1732.0,2818.0,61.5,68.0,58.9,46.2,9.1,535.0,1291.0,440.0,99.0,1330.0
6,Athletic Club,La Liga,26.0,38.0,12533.0,16915.0,74.1,234527.0,90251.0,5521.0,6494.0,85.0,4692.0,5831.0,80.5,1830.0,3367.0,54.4,23.0,26.2,25.2,-3.2,277.0,967.0,217.0,85.0,894.0
7,Atlético Madrid,La Liga,30.0,38.0,13595.0,17765.0,76.5,221969.0,88353.0,6783.0,7777.0,87.2,4581.0,5696.0,80.4,1344.0,2676.0,50.2,35.0,39.4,37.1,-4.4,330.0,904.0,289.0,49.0,1024.0
8,Augsburg,Bundesliga,28.0,34.0,8439.0,12287.0,68.7,157794.0,67038.0,3561.0,4445.0,80.1,3403.0,4308.0,79.0,1149.0,2545.0,45.1,29.0,29.7,22.9,-0.7,256.0,542.0,169.0,53.0,624.0
9,Barcelona,La Liga,28.0,38.0,24758.0,28227.0,87.7,391043.0,119999.0,12607.0,13663.0,92.3,9116.0,9973.0,91.4,1888.0,2617.0,72.1,62.0,49.5,51.2,12.5,384.0,1827.0,417.0,31.0,1415.0
