,Squad,Comp,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90
0,Alavés,La Liga,32.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,133.0,22.0,187.0,1.03,34.0,59.0,-25.0,-0.66,39.3,57.8,-18.5,-0.49
1,Amiens,Ligue 1,27.0,27.4,28.0,2520.0,90.0,100.0,28.0,308.0,84.0,,83.0,19.0,113.0,0.82,31.0,50.0,-19.0,-0.68,27.4,39.3,-11.9,-0.43
2,Angers,Ligue 1,26.0,28.0,28.0,2520.0,90.0,100.0,28.0,308.0,84.0,,80.0,23.0,116.0,1.39,28.0,33.0,-5.0,-0.18,29.3,28.4,0.9,0.03
3,Arsenal,Premier League,29.0,25.8,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,123.0,21.0,163.0,1.47,56.0,48.0,8.0,0.21,47.0,55.3,-8.3,-0.22
4,Aston Villa,Premier League,28.0,25.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,,113.0,22.0,173.0,0.92,41.0,67.0,-26.0,-0.68,44.3,67.8,-23.5,-0.62
5,Atalanta,Serie A,30.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,,134.0,23.0,268.0,2.05,98.0,48.0,50.0,1.32,83.5,41.3,42.2,1.11
6,Athletic Club,La Liga,26.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,130.0,21.0,189.0,1.34,41.0,38.0,3.0,0.08,41.5,48.8,-7.3,-0.19
7,Atlético Madrid,La Liga,30.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,,130.0,23.0,187.0,1.84,51.0,27.0,24.0,0.63,56.8,32.5,24.4,0.64
8,Augsburg,Bundesliga,28.0,26.2,34.0,3060.0,90.0,100.0,34.0,374.0,84.0,,111.0,19.0,193.0,1.06,45.0,63.0,-18.0,-0.53,43.1,56.6,-13.5,-0.4
9,Barcelona,La Liga,28.0,27.8,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,123.0,22.0,183.0,2.16,86.0,38.0,48.0,1.26,66.3,38.3,28.0,0.74
10,Bayern Munich,Bundesliga,29.0,26.7,34.0,3060.0,90.0,100.0,34.0,374.0,84.0,,104.0,21.0,163.0,2.41,100.0,32.0,68.0,2.0,89.5,37.9,51.6,1.52
11,Betis,La Liga,27.0,27.5,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,132.0,20.0,182.0,1.08,48.0,60.0,-12.0,-0.32,51.0,54.8,-3.7,-0.1
