,Squad,Comp,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Dribbles - Succ,Dribbles - Att,Dribbles - Succ%,Dribbles - Mis,Dribbles - Dis,Receiving - Rec,Receiving - Prog
0,Alavés,La Liga,32.0,41.5,38.0,17794.0,2034.0,6072.0,8330.0,3580.0,500.0,17788.0,251.0,497.0,50.5,535.0,309.0,9464.0,708.0
1,Amiens,Ligue 1,27.0,45.6,28.0,15927.0,1598.0,4742.0,8174.0,3162.0,340.0,15923.0,244.0,409.0,59.7,543.0,358.0,9570.0,772.0
2,Angers,Ligue 1,26.0,45.3,28.0,16367.0,1350.0,5091.0,7640.0,3810.0,504.0,16366.0,291.0,479.0,60.8,455.0,344.0,10405.0,785.0
3,Arsenal,Premier League,29.0,53.8,38.0,24349.0,2763.0,8384.0,10618.0,5565.0,803.0,24346.0,411.0,697.0,59.0,547.0,370.0,16466.0,1091.0
4,Aston Villa,Premier League,28.0,44.1,38.0,19887.0,2668.0,7047.0,8158.0,4916.0,691.0,19884.0,352.0,569.0,61.9,546.0,313.0,11497.0,879.0
5,Atalanta,Serie A,30.0,57.2,38.0,25937.0,1886.0,6559.0,12142.0,7471.0,1107.0,25927.0,347.0,616.0,56.3,595.0,358.0,17770.0,1309.0
6,Athletic Club,La Liga,26.0,48.7,38.0,20745.0,2070.0,6211.0,9802.0,4959.0,584.0,20735.0,337.0,587.0,57.4,576.0,299.0,12360.0,868.0
7,Atlético Madrid,La Liga,30.0,48.6,38.0,21803.0,1930.0,6199.0,10558.0,5225.0,798.0,21795.0,348.0,543.0,64.1,586.0,377.0,13447.0,1005.0
8,Augsburg,Bundesliga,28.0,38.6,34.0,16110.0,2340.0,6423.0,6767.0,3152.0,502.0,16105.0,233.0,473.0,49.3,512.0,304.0,8297.0,611.0
9,Barcelona,La Liga,28.0,66.4,38.0,31608.0,2437.0,7687.0,15579.0,8550.0,1051.0,31602.0,524.0,793.0,66.1,444.0,354.0,24534.0,1390.0
10,Bayern Munich,Bundesliga,29.0,65.1,34.0,27783.0,1932.0,7313.0,13368.0,7324.0,1206.0,27777.0,480.0,741.0,64.8,514.0,309.0,20420.0,1579.0
11,Betis,La Liga,27.0,56.7,38.0,23601.0,2497.0,7853.0,10399.0,5595.0,842.0,23593.0,445.0,713.0,62.4,548.0,355.0,15991.0,949.0
12,Bologna,Serie A,31.0,52.6,38.0,22632.0,2327.0,6601.0,10499.0,5747.0,793.0,22626.0,349.0,628.0,55.6,617.0,331.0,14408.0,1191.0
13,Bordeaux,Ligue 1,26.0,53.6,28.0,18167.0,1728.0,5741.0,9699.0,2903.0,376.0,18165.0,273.0,507.0,53.8,457.0,285.0,12148.0,727.0
14,Bournemouth,Premier League,27.0,44.1,38.0,20778.0,2558.0,7479.0,8660.0,4848.0,709.0,20774.0,325.0,602.0,54.0,571.0,384.0,11897.0,876.0
15,Brescia,Serie A,32.0,40.6,38.0,18672.0,2540.0,6854.0,7785.0,4250.0,652.0,18668.0,275.0,450.0,61.1,557.0,316.0,10721.0,933.0
16,Brest,Ligue 1,24.0,49.8,28.0,17197.0,2050.0,5994.0,7864.0,3516.0,468.0,17192.0,209.0,364.0,57.4,464.0,283.0,10949.0,791.0
17,Brighton,Premier League,25.0,52.2,38.0,24294.0,2737.0,8189.0,10703.0,5620.0,759.0,24292.0,335.0,584.0,57.4,626.0,399.0,15708.0,1204.0
18,Burnley,Premier League,22.0,41.9,38.0,18796.0,2240.0,5624.0,8973.0,4373.0,614.0,18792.0,246.0,454.0,54.2,509.0,291.0,9922.0,690.0
19,Cagliari,Serie A,33.0,45.7,38.0,20943.0,2591.0,7168.0,9226.0,4777.0,579.0,20938.0,324.0,538.0,60.2,543.0,337.0,12963.0,929.0
20,Celta Vigo,La Liga,30.0,51.7,38.0,22467.0,2306.0,7520.0,10311.0,4854.0,579.0,22458.0,370.0,610.0,60.7,541.0,375.0,14377.0,938.0
21,Chelsea,Premier League,27.0,60.4,38.0,29409.0,2285.0,8316.0,13980.0,7362.0,1059.0,29402.0,460.0,718.0,64.1,583.0,414.0,20797.0,1280.0
22,Crystal Palace,Premier League,25.0,44.8,38.0,20833.0,2395.0,7284.0,8983.0,4817.0,789.0,20830.0,432.0,698.0,61.9,611.0,479.0,12121.0,896.0
23,Dijon,Ligue 1,28.0,46.5,28.0,16251.0,1859.0,5953.0,7487.0,3011.0,492.0,16250.0,312.0,543.0,57.5,469.0,303.0,9964.0,677.0
24,Dortmund,Bundesliga,27.0,60.4,34.0,27521.0,1959.0,7862.0,13599.0,6277.0,845.0,27519.0,468.0,750.0,62.4,494.0,351.0,20447.0,1230.0
25,Düsseldorf,Bundesliga,28.0,45.6,34.0,18652.0,2038.0,6474.0,8166.0,4198.0,541.0,18648.0,257.0,453.0,56.7,476.0,272.0,11205.0,935.0
26,Eibar,La Liga,26.0,46.3,38.0,19410.0,1786.0,5173.0,9065.0,5411.0,628.0,19400.0,260.0,458.0,56.8,564.0,355.0,10265.0,814.0
27,Eint Frankfurt,Bundesliga,27.0,50.9,34.0,20273.0,1994.0,6424.0,9254.0,4836.0,754.0,20271.0,330.0,520.0,63.5,523.0,301.0,12104.0,1025.0
28,Espanyol,La Liga,31.0,47.4,38.0,20200.0,2105.0,6862.0,9222.0,4355.0,591.0,20196.0,281.0,489.0,57.5,576.0,331.0,11711.0,880.0
29,Everton,Premier League,24.0,49.0,38.0,21914.0,2523.0,7396.0,9517.0,5228.0,831.0,21913.0,374.0,609.0,61.4,593.0,345.0,13301.0,1009.0
30,Fiorentina,Serie A,33.0,47.4,38.0,21259.0,2217.0,6737.0,9356.0,5429.0,842.0,21248.0,428.0,670.0,63.9,595.0,388.0,13429.0,1061.0
31,Freiburg,Bundesliga,26.0,48.1,34.0,19508.0,2569.0,7342.0,8218.0,4140.0,651.0,19502.0,249.0,452.0,55.1,521.0,259.0,11888.0,808.0
32,Genoa,Serie A,34.0,49.5,38.0,22054.0,2714.0,7633.0,9810.0,4848.0,640.0,22039.0,335.0,565.0,59.3,558.0,349.0,14155.0,926.0
