,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Alavés,La Liga,32.0,38.0,34.0,307.0,98.0,31.9,8.08,2.58,0.09,0.29,16.7,11.0,6.0,6.0,39.3,34.7,0.12,-5.3,-6.7
1,Amiens,Ligue 1,27.0,28.0,30.0,229.0,77.0,33.6,8.18,2.75,0.12,0.35,19.3,13.0,3.0,5.0,27.4,23.4,0.1,2.6,3.6
2,Angers,Ligue 1,26.0,28.0,27.0,363.0,113.0,31.1,12.96,4.04,0.07,0.23,19.2,16.0,1.0,1.0,29.3,28.5,0.08,-2.3,-2.5
3,Arsenal,Premier League,29.0,38.0,56.0,403.0,146.0,36.2,10.61,3.84,0.13,0.36,16.4,19.0,3.0,3.0,47.0,44.6,0.11,9.0,8.4
4,Aston Villa,Premier League,28.0,38.0,40.0,453.0,147.0,32.5,11.92,3.87,0.09,0.27,17.5,21.0,1.0,3.0,44.3,41.8,0.09,-4.3,-2.8
5,Atalanta,Serie A,30.0,38.0,96.0,700.0,256.0,36.6,18.42,6.74,0.13,0.35,17.3,31.0,7.0,10.0,83.5,75.6,0.11,12.5,13.4
6,Athletic Club,La Liga,26.0,38.0,40.0,401.0,126.0,31.4,10.55,3.32,0.08,0.25,18.8,16.0,8.0,10.0,41.5,33.8,0.09,-1.5,-1.8
7,Atlético Madrid,La Liga,30.0,38.0,50.0,440.0,136.0,30.9,11.58,3.58,0.1,0.32,17.3,14.0,6.0,8.0,56.8,50.6,0.12,-6.8,-6.6
8,Augsburg,Bundesliga,28.0,34.0,45.0,358.0,129.0,36.0,10.53,3.79,0.12,0.33,18.9,24.0,3.0,5.0,43.1,39.1,0.11,1.9,2.9
9,Barcelona,La Liga,28.0,38.0,84.0,488.0,213.0,43.6,12.84,5.61,0.16,0.37,17.4,46.0,6.0,6.0,66.3,61.7,0.13,17.7,16.3
10,Bayern Munich,Bundesliga,29.0,34.0,97.0,609.0,243.0,39.9,17.91,7.15,0.15,0.37,16.5,13.0,6.0,6.0,89.5,84.8,0.14,7.5,6.2
11,Betis,La Liga,27.0,38.0,48.0,471.0,152.0,32.3,12.39,4.0,0.09,0.28,18.4,20.0,6.0,8.0,51.0,45.2,0.1,-3.0,-3.2
12,Bologna,Serie A,31.0,38.0,48.0,549.0,160.0,29.1,14.45,4.21,0.08,0.27,18.8,29.0,5.0,6.0,56.9,52.2,0.1,-8.9,-9.2
