,Squad,Comp,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - Drib,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - Drib,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Alavés,La Liga,32.0,38.0,545.0,14.34,329.0,85.0,28.0,36.0,46.0,21.0,60.0,1.58,31.0,7.0,4.0,6.0,8.0,4.0
1,Amiens,Ligue 1,27.0,28.0,411.0,14.68,283.0,33.0,35.0,12.0,31.0,17.0,52.0,1.86,36.0,0.0,4.0,4.0,5.0,3.0
2,Angers,Ligue 1,26.0,28.0,623.0,22.25,445.0,64.0,35.0,34.0,35.0,10.0,48.0,1.71,36.0,2.0,3.0,4.0,3.0,0.0
3,Arsenal,Premier League,29.0,38.0,704.0,18.53,492.0,59.0,51.0,48.0,33.0,21.0,85.0,2.24,57.0,5.0,4.0,9.0,4.0,6.0
4,Aston Villa,Premier League,28.0,38.0,845.0,22.24,594.0,86.0,42.0,36.0,56.0,31.0,74.0,1.95,48.0,8.0,5.0,4.0,7.0,2.0
5,Atalanta,Serie A,30.0,38.0,1239.0,32.61,922.0,91.0,67.0,75.0,51.0,33.0,169.0,4.45,117.0,8.0,10.0,16.0,12.0,6.0
6,Athletic Club,La Liga,26.0,38.0,686.0,18.05,460.0,84.0,37.0,36.0,54.0,15.0,67.0,1.76,43.0,4.0,3.0,6.0,8.0,3.0
7,Atlético Madrid,La Liga,30.0,38.0,788.0,20.74,543.0,87.0,42.0,51.0,48.0,17.0,86.0,2.26,56.0,5.0,11.0,5.0,8.0,1.0
8,Augsburg,Bundesliga,28.0,34.0,597.0,17.56,385.0,70.0,41.0,33.0,49.0,19.0,69.0,2.03,43.0,4.0,7.0,4.0,8.0,3.0
9,Barcelona,La Liga,28.0,38.0,900.0,23.68,669.0,38.0,81.0,32.0,60.0,20.0,148.0,3.89,113.0,6.0,9.0,5.0,12.0,3.0
