,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alavés,La Liga,32.0,27.6,41.5,38.0,418.0,3420.0,38.0,34.0,20.0,28.0,6.0,6.0,111.0,7.0,0.89,0.53,1.42,0.74,1.26,39.3,34.7,26.9,61.6,1.03,0.71,1.74,0.91,1.62
1,Amiens,Ligue 1,27.0,27.4,45.6,28.0,308.0,2520.0,28.0,30.0,20.0,27.0,3.0,5.0,57.0,4.0,1.07,0.71,1.79,0.96,1.68,27.4,23.4,16.9,40.4,0.98,0.6,1.58,0.84,1.44
2,Angers,Ligue 1,26.0,28.0,45.3,28.0,308.0,2520.0,28.0,27.0,21.0,26.0,1.0,1.0,42.0,2.0,0.96,0.75,1.71,0.93,1.68,29.3,28.5,23.0,51.5,1.05,0.82,1.87,1.02,1.84
3,Arsenal,Premier League,29.0,25.8,53.8,38.0,418.0,3420.0,38.0,56.0,35.0,53.0,3.0,3.0,88.0,5.0,1.47,0.92,2.39,1.39,2.32,47.0,44.6,31.4,76.1,1.24,0.83,2.06,1.17,2.0
4,Aston Villa,Premier League,28.0,25.7,44.1,38.0,418.0,3420.0,38.0,40.0,32.0,39.0,1.0,3.0,70.0,1.0,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,1.16,0.9,2.06,1.1,2.0
5,Atalanta,Serie A,30.0,27.2,57.2,38.0,418.0,3420.0,38.0,96.0,68.0,89.0,7.0,10.0,80.0,2.0,2.53,1.79,4.32,2.34,4.13,83.5,75.6,58.9,134.5,2.2,1.55,3.75,1.99,3.54
6,Athletic Club,La Liga,26.0,26.7,48.7,38.0,418.0,3420.0,38.0,40.0,23.0,32.0,8.0,10.0,90.0,2.0,1.05,0.61,1.66,0.84,1.45,41.5,33.8,26.2,60.0,1.09,0.69,1.78,0.89,1.58
7,Atlético Madrid,La Liga,30.0,26.1,48.6,38.0,418.0,3420.0,38.0,50.0,35.0,44.0,6.0,8.0,93.0,3.0,1.32,0.92,2.24,1.16,2.08,56.8,50.6,39.4,90.0,1.5,1.04,2.53,1.33,2.37
8,Augsburg,Bundesliga,28.0,26.2,38.6,34.0,374.0,3060.0,34.0,45.0,29.0,42.0,3.0,5.0,68.0,2.0,1.32,0.85,2.18,1.24,2.09,43.1,39.1,29.7,68.8,1.27,0.87,2.14,1.15,2.02
9,Barcelona,La Liga,28.0,27.8,66.4,38.0,418.0,3420.0,38.0,84.0,62.0,78.0,6.0,6.0,92.0,6.0,2.21,1.63,3.84,2.05,3.68,66.3,61.7,49.5,111.2,1.75,1.3,3.05,1.62,2.93
10,Bayern Munich,Bundesliga,29.0,26.7,65.1,34.0,374.0,3060.0,34.0,97.0,75.0,91.0,6.0,6.0,54.0,3.0,2.85,2.21,5.06,2.68,4.88,89.5,84.8,73.1,157.9,2.63,2.15,4.78,2.49,4.64
11,Betis,La Liga,27.0,27.5,56.7,38.0,418.0,3420.0,38.0,48.0,35.0,42.0,6.0,8.0,108.0,9.0,1.26,0.92,2.18,1.11,2.03,51.0,45.2,36.9,82.0,1.34,0.97,2.31,1.19,2.16
12,Bologna,Serie A,31.0,27.2,52.6,38.0,418.0,3420.0,38.0,48.0,31.0,43.0,5.0,6.0,109.0,7.0,1.26,0.82,2.08,1.13,1.95,56.9,52.2,41.3,93.5,1.5,1.09,2.58,1.37,2.46
13,Bordeaux,Ligue 1,26.0,26.9,53.6,28.0,308.0,2520.0,28.0,40.0,29.0,38.0,2.0,2.0,55.0,0.0,1.43,1.04,2.46,1.36,2.39,30.0,28.5,21.2,49.7,1.07,0.76,1.83,1.02,1.78
14,Bournemouth,Premier League,27.0,25.2,44.1,38.0,418.0,3420.0,38.0,38.0,24.0,34.0,4.0,4.0,78.0,3.0,1.0,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,1.18,0.8,1.98,1.1,1.9
15,Brescia,Serie A,32.0,25.6,40.6,38.0,418.0,3420.0,38.0,34.0,22.0,30.0,4.0,4.0,95.0,6.0,0.89,0.58,1.47,0.79,1.37,43.4,40.2,28.8,69.0,1.14,0.76,1.9,1.06,1.82
16,Brest,Ligue 1,24.0,26.1,49.8,28.0,308.0,2520.0,28.0,32.0,27.0,31.0,1.0,5.0,45.0,2.0,1.14,0.96,2.11,1.11,2.07,30.7,26.8,22.1,48.9,1.1,0.79,1.89,0.96,1.75
17,Brighton,Premier League,25.0,26.4,52.2,38.0,418.0,3420.0,38.0,35.0,24.0,34.0,1.0,2.0,59.0,2.0,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,1.2,0.83,2.03,1.15,1.99
18,Burnley,Premier League,22.0,28.0,41.9,38.0,418.0,3420.0,38.0,41.0,30.0,38.0,3.0,3.0,67.0,0.0,1.08,0.79,1.87,1.0,1.79,47.4,45.3,32.4,77.7,1.25,0.85,2.1,1.19,2.04
19,Cagliari,Serie A,33.0,27.4,45.7,38.0,418.0,3420.0,38.0,50.0,34.0,46.0,4.0,6.0,108.0,6.0,1.32,0.89,2.21,1.21,2.11,41.8,37.1,32.0,69.0,1.1,0.84,1.94,0.98,1.82
20,Celta Vigo,La Liga,30.0,25.8,51.7,38.0,418.0,3420.0,38.0,37.0,26.0,31.0,6.0,9.0,104.0,6.0,0.97,0.68,1.66,0.82,1.5,39.2,32.4,26.2,58.7,1.03,0.69,1.72,0.85,1.54
21,Chelsea,Premier League,27.0,25.5,60.4,38.0,418.0,3420.0,38.0,69.0,46.0,62.0,7.0,7.0,60.0,0.0,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,1.82,1.23,3.05,1.7,2.92
22,Crystal Palace,Premier League,25.0,29.4,44.8,38.0,418.0,3420.0,38.0,29.0,20.0,26.0,3.0,3.0,62.0,2.0,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26.0,59.5,0.94,0.68,1.63,0.88,1.57
23,Dijon,Ligue 1,28.0,26.9,46.5,28.0,308.0,2520.0,28.0,26.0,17.0,25.0,1.0,1.0,43.0,2.0,0.93,0.61,1.54,0.89,1.5,30.5,29.9,22.9,52.8,1.09,0.82,1.91,1.07,1.88
24,Dortmund,Bundesliga,27.0,25.8,60.4,34.0,374.0,3060.0,34.0,84.0,74.0,82.0,2.0,2.0,49.0,1.0,2.47,2.18,4.65,2.41,4.59,61.0,59.5,50.6,110.1,1.8,1.49,3.28,1.75,3.24
25,Düsseldorf,Bundesliga,28.0,27.1,45.6,34.0,374.0,3060.0,34.0,36.0,26.0,32.0,4.0,4.0,78.0,0.0,1.06,0.76,1.82,0.94,1.71,35.9,32.7,24.2,56.9,1.06,0.71,1.77,0.96,1.67
26,Eibar,La Liga,26.0,29.3,46.3,38.0,418.0,3420.0,38.0,38.0,24.0,31.0,7.0,10.0,92.0,3.0,1.0,0.63,1.63,0.82,1.45,42.0,34.2,26.0,60.2,1.1,0.68,1.79,0.9,1.58
27,Eint Frankfurt,Bundesliga,27.0,27.0,50.9,34.0,374.0,3060.0,34.0,57.0,45.0,55.0,2.0,2.0,71.0,4.0,1.68,1.32,3.0,1.62,2.94,59.5,58.0,44.8,102.8,1.75,1.32,3.07,1.71,3.02
28,Espanyol,La Liga,31.0,27.7,47.4,38.0,418.0,3420.0,38.0,25.0,17.0,21.0,4.0,4.0,107.0,9.0,0.66,0.45,1.11,0.55,1.0,38.6,35.6,27.3,62.9,1.02,0.72,1.74,0.94,1.66
29,Everton,Premier League,24.0,25.5,49.0,38.0,418.0,3420.0,38.0,42.0,32.0,41.0,1.0,1.0,76.0,3.0,1.11,0.84,1.95,1.08,1.92,50.8,50.0,38.1,88.1,1.34,1.0,2.34,1.32,2.32
30,Fiorentina,Serie A,33.0,25.1,47.4,38.0,418.0,3420.0,38.0,48.0,30.0,39.0,9.0,11.0,105.0,5.0,1.26,0.79,2.05,1.03,1.82,53.6,45.4,34.5,79.8,1.41,0.91,2.32,1.19,2.1
31,Freiburg,Bundesliga,26.0,26.4,48.1,34.0,374.0,3060.0,34.0,46.0,27.0,41.0,5.0,6.0,43.0,2.0,1.35,0.79,2.15,1.21,2.0,46.7,42.0,33.0,75.0,1.37,0.97,2.34,1.24,2.21
32,Genoa,Serie A,34.0,26.8,49.5,38.0,418.0,3420.0,38.0,46.0,28.0,35.0,11.0,16.0,107.0,10.0,1.21,0.74,1.95,0.92,1.66,48.7,36.2,27.6,63.7,1.28,0.73,2.01,0.95,1.68
