,Unnamed: 0,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Unnamed: 0,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,Unnamed: 0,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - Drib,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - Drib,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Unnamed: 0,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Unnamed: 0,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Dribbles - Succ,Dribbles - Att,Dribbles - Succ%,Dribbles - Mis,Dribbles - Dis,Receiving - Rec,Receiving - Prog,Unnamed: 0,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Unnamed: 0,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Unnamed: 0,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,0,Alaves,La Liga,32.0,27.6,41.5,38.0,418.0,3420.0,38.0,34.0,20.0,28.0,6.0,6.0,111.0,7.0,0.89,0.53,1.42,0.74,1.26,39.3,34.7,26.9,61.6,1.03,0.71,1.74,0.91,1.62,0,32.0,38.0,34.0,307.0,98.0,31.9,8.08,2.58,0.09,0.29,16.7,11.0,6.0,6.0,39.3,34.7,0.12,-5.3,-6.7,0,32.0,38.0,9612.0,13973.0,68.8,182168.0,82563.0,4283.0,5328.0,80.4,3614.0,4788.0,75.5,1385.0,2920.0,47.4,20.0,26.9,22.0,-6.9,236.0,723.0,171.0,56.0,721.0,0,32.0,38.0,13973.0,11911.0,2001.0,543.0,17.0,108.0,562.0,881.0,136.0,52.0,53.0,0.0,9612.0,61.0,278.0,0,32.0,38.0,545.0,14.34,329.0,85.0,28.0,36.0,46.0,21.0,60.0,1.58,31.0,7.0,4.0,6.0,8.0,4.0,0,32.0,38.0,579.0,346.0,261.0,265.0,53.0,255.0,619.0,41.2,364.0,385.0,114.0,271.0,392.0,971.0,766.0,7.0,0,32.0,41.5,38.0,17794.0,2034.0,6072.0,8330.0,3580.0,500.0,17788.0,251.0,497.0,50.5,535.0,309.0,9464.0,708.0,0,32.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,133.0,22.0,187.0,1.03,34.0,59.0,-25.0,-0.66,39.3,57.8,-18.5,-0.49,0,32.0,38.0,111.0,7.0,3.0,621.0,432.0,61.0,562.0,392.0,346.0,5.0,15.0,0.0,1766.0,905.0,712.0,56.0,0,3.0,38.0,38.0,3418.0,38.0,59.0,1.55,161.0,99.0,70.8,10.0,9.0,18.0,9.0,23.7,15.0,12.0,3.0,0.0,20.0
1,1,Amiens,Ligue 1,27.0,27.4,45.6,28.0,308.0,2520.0,28.0,30.0,20.0,27.0,3.0,5.0,57.0,4.0,1.07,0.71,1.79,0.96,1.68,27.4,23.4,16.9,40.4,0.98,0.6,1.58,0.84,1.44,1,27.0,28.0,30.0,229.0,77.0,33.6,8.18,2.75,0.12,0.35,19.3,13.0,3.0,5.0,27.4,23.4,0.1,2.6,3.6,1,27.0,28.0,9685.0,12850.0,75.4,167666.0,69294.0,4758.0,5530.0,86.0,3638.0,4570.0,79.6,1006.0,2015.0,49.9,20.0,16.9,17.5,3.1,161.0,739.0,127.0,41.0,793.0,1,27.0,28.0,12850.0,11356.0,1457.0,350.0,28.0,91.0,463.0,669.0,108.0,53.0,28.0,0.0,9685.0,37.0,229.0,1,27.0,28.0,411.0,14.68,283.0,33.0,35.0,12.0,31.0,17.0,52.0,1.86,36.0,0.0,4.0,4.0,5.0,3.0,1,27.0,28.0,425.0,238.0,194.0,184.0,47.0,201.0,510.0,39.4,309.0,280.0,87.0,193.0,300.0,725.0,615.0,17.0,1,27.0,45.6,28.0,15927.0,1598.0,4742.0,8174.0,3162.0,340.0,15923.0,244.0,409.0,59.7,543.0,358.0,9570.0,772.0,1,27.0,27.4,28.0,2520.0,90.0,100.0,28.0,308.0,84.0,,83.0,19.0,113.0,0.82,31.0,50.0,-19.0,-0.68,27.4,39.3,-11.9,-0.43,1,27.0,28.0,57.0,4.0,2.0,403.0,320.0,37.0,463.0,300.0,238.0,5.0,1.0,1.0,1543.0,470.0,551.0,46.0,1,1.0,28.0,28.0,2520.0,28.0,50.0,1.79,142.0,93.0,65.5,4.0,11.0,13.0,5.0,17.9,1.0,1.0,0.0,0.0,0.0
2,2,Angers,Ligue 1,26.0,28.0,45.3,28.0,308.0,2520.0,28.0,27.0,21.0,26.0,1.0,1.0,42.0,2.0,0.96,0.75,1.71,0.93,1.68,29.3,28.5,23.0,51.5,1.05,0.82,1.87,1.02,1.84,2,26.0,28.0,27.0,363.0,113.0,31.1,12.96,4.04,0.07,0.23,19.2,16.0,1.0,1.0,29.3,28.5,0.08,-2.3,-2.5,2,26.0,28.0,10518.0,13458.0,78.2,183652.0,73743.0,4767.0,5387.0,88.5,4021.0,4778.0,84.2,1219.0,2274.0,53.6,21.0,23.0,21.8,-2.0,267.0,736.0,195.0,68.0,803.0,2,26.0,28.0,13458.0,12001.0,1429.0,351.0,15.0,97.0,550.0,649.0,146.0,48.0,85.0,2.0,10518.0,28.0,232.0,2,26.0,28.0,623.0,22.25,445.0,64.0,35.0,34.0,35.0,10.0,48.0,1.71,36.0,2.0,3.0,4.0,3.0,0.0,2,26.0,28.0,439.0,279.0,206.0,178.0,55.0,177.0,452.0,39.2,275.0,229.0,51.0,178.0,267.0,706.0,513.0,8.0,2,26.0,45.3,28.0,16367.0,1350.0,5091.0,7640.0,3810.0,504.0,16366.0,291.0,479.0,60.8,455.0,344.0,10405.0,785.0,2,26.0,28.0,28.0,2520.0,90.0,100.0,28.0,308.0,84.0,,80.0,23.0,116.0,1.39,28.0,33.0,-5.0,-0.18,29.3,28.4,0.9,0.03,2,26.0,28.0,42.0,2.0,1.0,336.0,315.0,28.0,550.0,267.0,279.0,1.0,3.0,0.0,1511.0,449.0,455.0,49.7,2,2.0,28.0,28.0,2520.0,28.0,33.0,1.18,90.0,57.0,66.7,11.0,6.0,11.0,12.0,42.9,3.0,3.0,0.0,0.0,0.0
3,3,Arsenal,Premier League,29.0,25.8,53.8,38.0,418.0,3420.0,38.0,56.0,35.0,53.0,3.0,3.0,88.0,5.0,1.47,0.92,2.39,1.39,2.32,47.0,44.6,31.4,76.1,1.24,0.83,2.06,1.17,2.0,3,29.0,38.0,56.0,403.0,146.0,36.2,10.61,3.84,0.13,0.36,16.4,19.0,3.0,3.0,47.0,44.6,0.11,9.0,8.4,3,29.0,38.0,16634.0,20410.0,81.5,292657.0,94433.0,7259.0,8103.0,89.6,7300.0,8331.0,87.6,1596.0,2772.0,57.6,35.0,31.4,28.5,3.6,298.0,1164.0,311.0,63.0,1114.0,3,29.0,38.0,20410.0,18463.0,1874.0,487.0,67.0,153.0,699.0,756.0,231.0,96.0,71.0,3.0,16634.0,73.0,320.0,3,29.0,38.0,704.0,18.53,492.0,59.0,51.0,48.0,33.0,21.0,85.0,2.24,57.0,5.0,4.0,9.0,4.0,6.0,3,29.0,38.0,584.0,336.0,296.0,217.0,71.0,249.0,612.0,40.7,363.0,398.0,141.0,257.0,351.0,935.0,754.0,18.0,3,29.0,53.8,38.0,24349.0,2763.0,8384.0,10618.0,5565.0,803.0,24346.0,411.0,697.0,59.0,547.0,370.0,16466.0,1091.0,3,29.0,25.8,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,123.0,21.0,163.0,1.47,56.0,48.0,8.0,0.21,47.0,55.3,-8.3,-0.22,3,29.0,38.0,88.0,5.0,1.0,421.0,437.0,73.0,699.0,351.0,336.0,2.0,8.0,0.0,1861.0,501.0,589.0,46.0,3,2.0,38.0,38.0,3420.0,38.0,48.0,1.26,193.0,144.0,78.8,14.0,14.0,9.0,10.0,26.3,8.0,7.0,1.0,0.0,12.5
4,4,Aston Villa,Premier League,28.0,25.7,44.1,38.0,418.0,3420.0,38.0,40.0,32.0,39.0,1.0,3.0,70.0,1.0,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,1.16,0.9,2.06,1.1,2.0,4,28.0,38.0,40.0,453.0,147.0,32.5,11.92,3.87,0.09,0.27,17.5,21.0,1.0,3.0,44.3,41.8,0.09,-4.3,-2.8,4,28.0,38.0,11652.0,15672.0,74.3,217478.0,84204.0,5074.0,5895.0,86.1,4810.0,5882.0,81.8,1480.0,3002.0,49.3,32.0,34.2,27.7,-2.2,369.0,908.0,270.0,95.0,899.0,4,28.0,38.0,15672.0,13604.0,2006.0,562.0,17.0,153.0,798.0,797.0,200.0,109.0,34.0,8.0,11652.0,62.0,307.0,4,28.0,38.0,845.0,22.24,594.0,86.0,42.0,36.0,56.0,31.0,74.0,1.95,48.0,8.0,5.0,4.0,7.0,2.0,4,28.0,38.0,523.0,291.0,285.0,174.0,64.0,223.0,597.0,37.4,374.0,456.0,184.0,272.0,423.0,946.0,928.0,26.0,4,28.0,44.1,38.0,19887.0,2668.0,7047.0,8158.0,4916.0,691.0,19884.0,352.0,569.0,61.9,546.0,313.0,11497.0,879.0,4,28.0,25.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,,113.0,22.0,173.0,0.92,41.0,67.0,-26.0,-0.68,44.3,67.8,-23.5,-0.62,4,28.0,38.0,70.0,1.0,1.0,451.0,525.0,62.0,798.0,423.0,291.0,2.0,6.0,1.0,1900.0,705.0,742.0,48.7,4,4.0,38.0,38.0,3420.0,38.0,67.0,1.76,182.0,115.0,65.9,8.0,8.0,20.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7
5,5,Atalanta,Serie A,30.0,27.2,57.2,38.0,418.0,3420.0,38.0,96.0,68.0,89.0,7.0,10.0,80.0,2.0,2.53,1.79,4.32,2.34,4.13,83.5,75.6,58.9,134.5,2.2,1.55,3.75,1.99,3.54,5,30.0,38.0,96.0,700.0,256.0,36.6,18.42,6.74,0.13,0.35,17.3,31.0,7.0,10.0,83.5,75.6,0.11,12.5,13.4,5,30.0,38.0,17945.0,21860.0,82.1,301979.0,102759.0,8671.0,9684.0,89.5,6817.0,7927.0,86.0,1732.0,2818.0,61.5,68.0,58.9,46.2,9.1,535.0,1291.0,440.0,99.0,1330.0,5,30.0,38.0,21860.0,19949.0,1861.0,577.0,40.0,163.0,767.0,715.0,248.0,83.0,132.0,0.0,17945.0,50.0,354.0,5,30.0,38.0,1239.0,32.61,922.0,91.0,67.0,75.0,51.0,33.0,169.0,4.45,117.0,8.0,10.0,16.0,12.0,6.0,5,30.0,38.0,627.0,351.0,252.0,278.0,97.0,263.0,643.0,40.9,380.0,396.0,111.0,285.0,418.0,1045.0,532.0,12.0,5,30.0,57.2,38.0,25937.0,1886.0,6559.0,12142.0,7471.0,1107.0,25927.0,347.0,616.0,56.3,595.0,358.0,17770.0,1309.0,5,30.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,,134.0,23.0,268.0,2.05,98.0,48.0,50.0,1.32,83.5,41.3,42.2,1.11,5,30.0,38.0,80.0,2.0,1.0,534.0,518.0,50.0,767.0,418.0,351.0,9.0,6.0,3.0,2145.0,624.0,500.0,55.5,5,3.0,38.0,38.0,3420.0,38.0,48.0,1.26,139.0,94.0,69.8,22.0,9.0,5.0,10.0,26.3,6.0,6.0,0.0,0.0,0.0
6,6,Athletic Club,La Liga,26.0,26.7,48.7,38.0,418.0,3420.0,38.0,40.0,23.0,32.0,8.0,10.0,90.0,2.0,1.05,0.61,1.66,0.84,1.45,41.5,33.8,26.2,60.0,1.09,0.69,1.78,0.89,1.58,6,26.0,38.0,40.0,401.0,126.0,31.4,10.55,3.32,0.08,0.25,18.8,16.0,8.0,10.0,41.5,33.8,0.09,-1.5,-1.8,6,26.0,38.0,12533.0,16915.0,74.1,234527.0,90251.0,5521.0,6494.0,85.0,4692.0,5831.0,80.5,1830.0,3367.0,54.4,23.0,26.2,25.2,-3.2,277.0,967.0,217.0,85.0,894.0,6,26.0,38.0,16915.0,14889.0,1942.0,517.0,14.0,200.0,754.0,874.0,178.0,70.0,65.0,6.0,12533.0,84.0,306.0,6,26.0,38.0,686.0,18.05,460.0,84.0,37.0,36.0,54.0,15.0,67.0,1.76,43.0,4.0,3.0,6.0,8.0,3.0,6,26.0,38.0,533.0,324.0,262.0,204.0,67.0,217.0,613.0,35.4,396.0,339.0,92.0,247.0,373.0,906.0,755.0,7.0,6,26.0,48.7,38.0,20745.0,2070.0,6211.0,9802.0,4959.0,584.0,20735.0,337.0,587.0,57.4,576.0,299.0,12360.0,868.0,6,26.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,130.0,21.0,189.0,1.34,41.0,38.0,3.0,0.08,41.5,48.8,-7.3,-0.19,6,26.0,38.0,90.0,2.0,0.0,522.0,436.0,84.0,754.0,373.0,324.0,4.0,7.0,2.0,1911.0,912.0,683.0,57.2,6,2.0,38.0,38.0,3416.0,38.0,38.0,1.0,128.0,92.0,74.2,13.0,12.0,12.0,12.0,31.6,7.0,5.0,0.0,2.0,0.0
7,7,Atletico Madrid,La Liga,30.0,26.1,48.6,38.0,418.0,3420.0,38.0,50.0,35.0,44.0,6.0,8.0,93.0,3.0,1.32,0.92,2.24,1.16,2.08,56.8,50.6,39.4,90.0,1.5,1.04,2.53,1.33,2.37,7,30.0,38.0,50.0,440.0,136.0,30.9,11.58,3.58,0.1,0.32,17.3,14.0,6.0,8.0,56.8,50.6,0.12,-6.8,-6.6,7,30.0,38.0,13595.0,17765.0,76.5,221969.0,88353.0,6783.0,7777.0,87.2,4581.0,5696.0,80.4,1344.0,2676.0,50.2,35.0,39.4,37.1,-4.4,330.0,904.0,289.0,49.0,1024.0,7,30.0,38.0,17765.0,15735.0,1914.0,511.0,62.0,123.0,574.0,835.0,183.0,60.0,92.0,0.0,13595.0,116.0,283.0,7,30.0,38.0,788.0,20.74,543.0,87.0,42.0,51.0,48.0,17.0,86.0,2.26,56.0,5.0,11.0,5.0,8.0,1.0,7,30.0,38.0,658.0,406.0,293.0,272.0,93.0,283.0,640.0,44.2,357.0,380.0,108.0,272.0,412.0,1070.0,729.0,18.0,7,30.0,48.6,38.0,21803.0,1930.0,6199.0,10558.0,5225.0,798.0,21795.0,348.0,543.0,64.1,586.0,377.0,13447.0,1005.0,7,30.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,,130.0,23.0,187.0,1.84,51.0,27.0,24.0,0.63,56.8,32.5,24.4,0.64,7,30.0,38.0,93.0,3.0,2.0,513.0,479.0,116.0,574.0,412.0,406.0,6.0,4.0,3.0,1950.0,827.0,723.0,53.4,7,2.0,38.0,38.0,3420.0,38.0,27.0,0.71,112.0,88.0,78.6,18.0,16.0,3.0,17.0,44.7,4.0,3.0,0.0,1.0,0.0
8,8,Augsburg,Bundesliga,28.0,26.2,38.6,34.0,374.0,3060.0,34.0,45.0,29.0,42.0,3.0,5.0,68.0,2.0,1.32,0.85,2.18,1.24,2.09,43.1,39.1,29.7,68.8,1.27,0.87,2.14,1.15,2.02,8,28.0,34.0,45.0,358.0,129.0,36.0,10.53,3.79,0.12,0.33,18.9,24.0,3.0,5.0,43.1,39.1,0.11,1.9,2.9,8,28.0,34.0,8439.0,12287.0,68.7,157794.0,67038.0,3561.0,4445.0,80.1,3403.0,4308.0,79.0,1149.0,2545.0,45.1,29.0,29.7,22.9,-0.7,256.0,542.0,169.0,53.0,624.0,8,28.0,34.0,12287.0,10461.0,1745.0,441.0,18.0,118.0,479.0,772.0,133.0,59.0,60.0,0.0,8439.0,81.0,339.0,8,28.0,34.0,597.0,17.56,385.0,70.0,41.0,33.0,49.0,19.0,69.0,2.03,43.0,4.0,7.0,4.0,8.0,3.0,8,28.0,34.0,534.0,314.0,271.0,215.0,48.0,220.0,563.0,39.1,343.0,362.0,123.0,239.0,434.0,968.0,778.0,8.0,8,28.0,38.6,34.0,16110.0,2340.0,6423.0,6767.0,3152.0,502.0,16105.0,233.0,473.0,49.3,512.0,304.0,8297.0,611.0,8,28.0,26.2,34.0,3060.0,90.0,100.0,34.0,374.0,84.0,,111.0,19.0,193.0,1.06,45.0,63.0,-18.0,-0.53,43.1,56.6,-13.5,-0.4,8,28.0,34.0,68.0,2.0,2.0,378.0,384.0,81.0,479.0,434.0,314.0,4.0,1.0,3.0,1765.0,545.0,612.0,47.1,8,2.0,34.0,34.0,3060.0,34.0,63.0,1.85,155.0,94.0,59.4,9.0,9.0,16.0,7.0,20.6,1.0,0.0,1.0,0.0,100.0
9,9,Barcelona,La Liga,28.0,27.8,66.4,38.0,418.0,3420.0,38.0,84.0,62.0,78.0,6.0,6.0,92.0,6.0,2.21,1.63,3.84,2.05,3.68,66.3,61.7,49.5,111.2,1.75,1.3,3.05,1.62,2.93,9,28.0,38.0,84.0,488.0,213.0,43.6,12.84,5.61,0.16,0.37,17.4,46.0,6.0,6.0,66.3,61.7,0.13,17.7,16.3,9,28.0,38.0,24758.0,28227.0,87.7,391043.0,119999.0,12607.0,13663.0,92.3,9116.0,9973.0,91.4,1888.0,2617.0,72.1,62.0,49.5,51.2,12.5,384.0,1827.0,417.0,31.0,1415.0,9,28.0,38.0,28227.0,26418.0,1726.0,573.0,86.0,183.0,417.0,638.0,185.0,92.0,27.0,2.0,24758.0,83.0,337.0,9,28.0,38.0,900.0,23.68,669.0,38.0,81.0,32.0,60.0,20.0,148.0,3.89,113.0,6.0,9.0,5.0,12.0,3.0,9,28.0,38.0,536.0,323.0,216.0,223.0,97.0,211.0,501.0,42.1,290.0,313.0,87.0,226.0,342.0,878.0,529.0,16.0,9,28.0,66.4,38.0,31608.0,2437.0,7687.0,15579.0,8550.0,1051.0,31602.0,524.0,793.0,66.1,444.0,354.0,24534.0,1390.0,9,28.0,27.8,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,,123.0,22.0,183.0,2.16,86.0,38.0,48.0,1.26,66.3,38.3,28.0,0.74,9,28.0,38.0,92.0,6.0,3.0,416.0,529.0,83.0,417.0,342.0,323.0,3.0,7.0,0.0,1874.0,455.0,364.0,55.6,9,2.0,38.0,38.0,3420.0,38.0,38.0,1.0,119.0,80.0,73.1,25.0,7.0,6.0,15.0,39.5,7.0,6.0,1.0,0.0,14.3
