,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,33,38.0,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8
1,30,38.0,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5
2,26,34.0,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,26.3,24.7,0.07,-0.3,-0.7
3,27,38.0,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,21,5,8,60.5,55.1,0.1,-0.5,-0.1
4,31,38.0,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,44.0,42.0,0.09,6.0,5.0
5,32,38.0,62,598,167,27.9,15.74,4.39,0.1,0.34,16.5,16,5,6,62.4,58.1,0.1,-0.4,-1.1
6,26,38.0,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0
7,26,38.0,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4
8,26,34.0,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,36.7,32.8,0.09,2.3,1.2
9,38,38.0,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1
10,30,34.0,92,668,255,38.2,19.65,7.5,0.13,0.34,16.7,12,5,5,89.0,85.1,0.13,3.0,1.9
11,31,38.0,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2
12,28,34.0,37,409,136,33.3,12.03,4.0,0.08,0.24,18.2,17,4,6,40.6,35.9,0.09,-3.6,-2.9
13,36,38.0,43,434,143,32.9,11.42,3.76,0.09,0.27,18.1,14,4,5,44.9,41.0,0.1,-1.9,-2.0
14,39,38.0,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,44.9,41.9,0.1,5.1,6.1
15,29,38.0,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1
16,25,38.0,48,394,138,35.0,10.37,3.63,0.1,0.3,17.4,12,7,8,43.4,37.0,0.1,4.6,4.0
17,26,38.0,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,46.2,40.7,0.09,-6.2,-4.7
18,23,38.0,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,14,1,2,39.7,38.1,0.1,-7.7,-7.1
19,33,38.0,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8
20,33,38.0,34,420,117,27.9,11.05,3.08,0.07,0.26,17.3,17,3,4,39.0,36.4,0.09,-5.0,-5.4
21,25,38.0,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7
22,26,38.0,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,26,8,9,63.4,56.6,0.1,11.6,10.4
23,28,38.0,36,436,134,30.7,11.47,3.53,0.08,0.25,17.7,10,2,3,44.4,41.9,0.1,-8.4,-7.9
24,24,38.0,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,46.4,40.1,0.1,3.6,3.9
25,33,34.0,81,442,165,37.3,13.0,4.85,0.16,0.42,16.7,20,11,11,64.0,55.9,0.13,17.0,14.1
26,27,34.0,43,446,136,30.5,13.12,4.0,0.09,0.31,17.8,14,1,2,41.6,40.1,0.09,1.4,1.9
27,28,38.0,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,33.7,32.9,0.1,5.3,5.1
28,28,38.0,47,490,151,30.8,12.89,3.97,0.08,0.26,18.5,16,7,7,44.9,39.3,0.08,2.1,0.7
29,34,38.0,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1
30,33,38.0,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,18,6,7,41.2,35.8,0.08,0.8,0.2
31,28,38.0,59,501,172,34.3,13.18,4.53,0.1,0.29,17.2,25,9,12,60.0,50.8,0.11,-1.0,-0.8
32,26,34.0,55,457,153,33.5,13.44,4.5,0.11,0.33,16.7,20,5,6,50.4,45.7,0.1,4.6,4.3
33,40,38.0,26,397,106,26.7,10.45,2.79,0.05,0.19,18.8,12,6,7,37.2,31.8,0.08,-11.2,-11.8
34,31,38.0,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7
35,32,38.0,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9
36,29,34.0,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,30.0,26.2,0.09,-4.0,-5.2
37,31,38.0,63,455,152,33.4,11.97,4.0,0.12,0.37,16.9,15,7,8,50.4,44.2,0.1,12.6,11.8
38,36,34.0,35,365,119,32.6,10.74,3.5,0.09,0.27,17.5,15,3,3,33.3,30.9,0.09,1.7,1.1
39,32,34.0,55,452,150,33.2,13.29,4.41,0.12,0.37,15.1,13,0,0,58.3,58.3,0.13,-3.3,-3.3
40,27,38.0,83,667,239,35.8,17.55,6.29,0.11,0.32,15.9,13,7,11,81.6,73.6,0.11,1.4,2.4
41,32,38.0,56,517,166,32.1,13.61,4.37,0.1,0.31,17.5,18,5,6,51.4,46.7,0.09,4.6,4.3
42,26,34.0,52,467,149,31.9,13.74,4.38,0.11,0.34,16.3,9,1,1,50.1,49.3,0.11,1.9,1.7
43,27,38.0,74,445,185,41.6,11.71,4.87,0.15,0.36,17.4,14,7,9,55.3,48.2,0.11,18.7,18.8
44,29,38.0,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,44.4,40.4,0.09,-2.4,-3.4
45,28,38.0,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,47.8,46.2,0.11,14.2,13.8
46,28,38.0,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,50.2,46.4,0.09,9.8,8.6
47,31,38.0,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1
48,29,34.0,76,453,184,40.6,13.32,5.41,0.16,0.4,16.4,11,2,6,62.6,57.8,0.13,13.4,16.2
49,26,38.0,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,50.5,46.6,0.1,-5.5,-5.6
50,27,38.0,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,88.7,82.7,0.12,5.3,4.3
51,29,38.0,35,442,146,33.0,11.63,3.84,0.07,0.22,19.3,32,3,3,41.3,39.0,0.09,-6.3,-7.0
52,30,38.0,64,546,192,35.2,14.37,5.05,0.1,0.29,17.1,18,8,8,66.9,60.7,0.11,-2.9,-4.7
53,26,34.0,54,489,174,35.6,14.38,5.12,0.1,0.28,16.8,13,5,7,56.2,50.6,0.11,-2.2,-1.6
54,28,34.0,49,465,151,32.5,13.68,4.44,0.1,0.3,17.6,22,4,4,50.4,47.2,0.1,-1.4,-2.2
55,33,38.0,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3
56,26,38.0,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,88.7,81.4,0.12,7.3,7.6
57,29,38.0,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,55.8,51.9,0.11,0.2,1.1
58,27,38.0,61,489,157,32.1,12.87,4.13,0.1,0.32,17.8,28,10,10,58.2,50.5,0.1,2.8,0.5
