,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,36,38.0,86,10,2,541,495,63,631,420,382,8,10,2,2053,602,711,45.8
1,29,38.0,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6
2,33,38.0,69,5,3,492,422,47,584,375,386,4,11,4,2025,436,441,49.7
3,26,38.0,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5
4,26,38.0,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7
5,27,38.0,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3
6,26,38.0,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2
7,27,38.0,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7
8,34,34.0,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2
9,33,38.0,54,6,4,462,419,48,617,454,378,6,6,1,2078,487,566,46.2
10,29,38.0,83,6,3,433,452,98,744,253,324,0,3,3,1994,467,358,56.6
11,28,34.0,49,3,2,306,335,84,603,287,387,5,10,0,2085,471,381,55.3
12,30,38.0,82,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4
13,26,34.0,64,1,0,429,354,66,568,337,386,3,14,3,1991,770,737,51.1
14,27,38.0,84,3,2,477,426,77,558,302,373,5,9,3,2080,369,447,45.2
15,31,38.0,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2
16,25,38.0,57,1,1,354,399,72,661,341,337,7,2,3,1959,665,618,51.8
17,29,38.0,63,2,0,499,462,59,755,475,417,7,9,2,2115,633,569,52.7
18,29,38.0,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4
19,38,38.0,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2
20,26,38.0,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9
21,32,38.0,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1
22,28,38.0,72,5,2,426,592,52,564,440,398,7,12,0,2051,410,427,49.0
23,33,38.0,81,3,0,458,407,68,659,393,400,5,5,1,2059,562,730,43.5
24,26,38.0,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2
25,30,34.0,66,0,0,322,407,41,677,298,334,6,1,1,1958,425,364,53.9
26,28,34.0,71,1,1,429,377,70,616,284,357,6,2,1,2088,467,555,45.7
27,32,38.0,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0
28,32,38.0,88,7,3,441,459,54,611,280,364,2,6,1,1815,434,519,45.5
29,33,38.0,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1
30,28,38.0,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7
31,30,38.0,93,3,2,488,511,56,880,260,337,3,8,2,2016,588,517,53.2
32,27,34.0,62,2,1,404,424,57,547,325,289,7,6,0,1754,743,686,52.0
33,29,38.0,80,1,0,411,405,60,769,340,349,8,8,2,1979,511,550,48.2
34,25,38.0,125,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6
35,29,38.0,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6
36,36,38.0,103,3,0,540,383,74,652,337,357,1,2,3,2238,810,735,52.4
37,32,34.0,82,1,1,422,394,58,516,366,344,4,6,0,1835,633,701,47.5
38,31,34.0,80,5,3,471,368,78,577,285,323,7,3,1,1843,550,557,49.7
39,25,38.0,65,3,2,444,406,68,885,315,325,4,3,3,1948,500,415,54.6
40,29,38.0,74,6,1,456,409,62,731,307,352,6,5,0,1951,486,477,50.5
41,27,34.0,75,3,3,400,352,68,790,372,370,2,5,3,2022,659,608,52.0
42,24,38.0,86,2,0,400,471,54,483,310,349,6,2,1,1979,399,381,51.2
43,29,38.0,86,2,1,553,439,68,709,368,430,4,5,3,2120,567,728,43.8
44,29,38.0,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1
45,28,38.0,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9
46,29,38.0,63,3,0,492,481,62,791,339,323,7,3,1,1975,406,369,52.4
47,27,34.0,75,7,3,382,409,51,461,294,280,6,7,2,1918,430,492,46.6
48,26,38.0,82,1,0,497,480,64,624,301,370,10,5,3,2138,440,463,48.7
49,28,38.0,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4
