,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,36,38.0,11216,15286,73.4,206467,81586,4741,5780,82.0,4578,5701,80.3,1448,2889,50.1,12,22.7,23.4,-10.7,234,954,188,71,1169
1,29,38.0,12151,15855,76.6,225475,89276,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,0.5,316,846,218,81,1090
2,33,38.0,14103,17463,80.8,252709,88748,5934,6810,87.1,6249,7208,86.7,1435,2536,56.6,18,28.0,27.6,-10.0,276,1124,214,65,1393
3,26,38.0,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.8,46.8,10.2,443,1637,459,62,2049
4,26,38.0,13782,17396,79.2,244084,87581,6109,6945,88.0,5981,6936,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,1242
5,27,38.0,15462,19507,79.3,267971,97492,7245,8234,88.0,6234,7350,84.8,1525,2778,54.9,42,42.7,40.8,-0.7,405,1184,385,89,1637
6,26,38.0,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816
7,27,38.0,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.5,40.0,2.5,418,1200,335,68,1571
8,34,34.0,8422,12742,66.1,169408,75215,3104,4032,77.0,3844,5050,76.1,1253,2819,44.4,29,24.3,24.6,4.7,240,662,191,44,847
9,33,38.0,12386,15989,77.5,240572,90967,4837,5709,84.7,5262,6177,85.2,1838,3237,56.8,17,27.4,25.6,-10.4,301,1020,243,82,1284
10,29,38.0,21293,24725,86.1,364326,115126,10262,11168,91.9,8599,9542,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,481,104,2180
11,28,34.0,19404,22716,85.4,335478,115394,8781,9678,90.7,8580,9490,90.4,1653,2553,64.7,67,56.6,63.6,10.4,488,1561,474,70,2041
12,30,38.0,14678,18249,80.4,245275,92460,7288,8070,90.3,5334,6273,85.0,1432,2667,53.7,26,35.1,31.7,-9.1,310,988,270,54,1272
13,26,34.0,9209,13549,68.0,185905,86106,3742,4704,79.5,3734,4954,75.4,1534,3145,48.8,28,28.4,31.4,-0.4,289,856,225,73,1022
14,27,38.0,16763,20552,81.6,290293,103110,7901,8808,89.7,6726,7738,86.9,1675,2874,58.3,41,31.5,26.0,9.5,371,1120,246,67,1366
15,31,38.0,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.5,26.3,-4.5,261,850,237,75,1006
16,25,38.0,11317,15551,72.8,209961,87006,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.7,30.5,-2.7,284,922,279,87,1131
17,29,38.0,12486,16452,75.9,242407,93329,4874,5833,83.6,5395,6456,83.6,1807,3246,55.7,28,29.6,30.9,-1.6,314,1027,243,94,1311
18,29,38.0,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1849
19,38,38.0,9940,13952,71.2,190101,78677,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.8,24.7,-7.8,269,830,192,93,969
20,26,38.0,14700,18499,79.5,267004,91075,6259,7148,87.6,6536,7569,86.4,1565,2844,55.0,31,30.9,31.6,0.1,353,1143,274,77,1403
21,32,38.0,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,1737
22,28,38.0,14212,17961,79.1,256952,96617,6081,7055,86.2,6018,7037,85.5,1613,2887,55.9,26,27.7,28.5,-1.7,267,1004,239,62,1304
23,33,38.0,10872,15041,72.3,200114,82419,4733,5616,84.3,4640,5790,80.1,1236,2782,44.4,18,24.3,21.9,-6.3,325,936,275,107,1107
24,26,38.0,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,1243
25,30,34.0,16445,19889,82.7,290786,100043,7277,8180,89.0,6704,7585,88.4,1853,2872,64.5,61,51.9,50.6,9.1,423,1265,341,78,1628
26,28,34.0,13930,17975,77.5,240605,87723,6239,7247,86.1,6164,7319,84.2,1196,2423,49.4,33,36.2,40.1,-3.2,289,1003,263,64,1372
