,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,22,9.0,3617,3130,466,107,6,26,206,219,37,7,10,0,2578,21,78
1,26,9.0,4238,3770,456,137,8,32,183,174,41,15,19,0,3405,12,63
2,22,8.0,4901,4535,348,89,20,19,146,134,69,51,1,0,4208,18,65
3,23,8.0,3883,3482,395,134,16,31,138,140,47,29,3,0,3206,6,70
4,24,8.0,4312,3933,360,77,10,29,149,174,44,15,17,1,3454,19,84
5,22,9.0,4434,3938,479,136,8,24,203,223,47,15,24,0,3416,17,84
6,22,8.0,4016,3623,379,106,13,40,109,147,35,11,18,0,3231,14,82
7,22,7.0,2981,2627,337,103,9,14,124,135,31,17,12,0,2196,17,61
8,23,9.0,6261,5799,443,144,29,51,177,166,62,25,14,1,5506,19,70
9,20,7.0,4851,4527,315,73,26,19,142,137,54,22,26,1,4226,9,80
10,27,9.0,4586,4146,420,140,12,35,152,142,42,17,15,0,3786,20,83
11,23,7.0,2840,2500,322,75,6,14,120,139,25,7,15,0,1965,18,42
12,23,8.0,4365,3988,366,111,8,22,111,148,33,18,10,0,3695,11,71
13,23,8.0,3336,2933,392,101,11,17,125,159,38,25,1,3,2545,11,75
14,24,8.0,3889,3511,365,95,12,35,137,148,41,21,6,4,3067,13,60
15,22,8.0,3648,3245,397,113,8,38,219,166,51,26,22,0,2768,6,85
16,25,8.0,4874,4488,362,126,15,22,123,110,47,17,13,0,4244,24,59
17,24,8.0,4146,3765,361,96,12,21,104,140,46,18,10,3,3346,20,72
18,25,9.0,2971,2529,427,124,5,26,177,157,39,20,9,0,2034,15,65
19,23,8.0,3213,2845,357,81,5,39,156,150,29,11,13,0,2434,11,78
20,22,9.0,3996,3507,470,126,16,27,182,186,55,17,24,0,3064,19,79
21,22,8.0,5315,4923,367,107,26,29,159,149,42,12,17,0,4590,25,87
22,22,7.9,3886,3526,347,102,9,16,188,135,49,22,18,0,3133,13,74
23,19,8.0,3570,3211,351,108,12,21,124,145,28,9,14,1,2838,8,79
24,26,7.0,3106,2797,297,86,5,21,107,104,24,8,14,0,2385,12,52
25,21,7.0,4080,3710,360,124,12,44,126,129,33,12,17,1,3356,10,69
26,25,7.0,4033,3659,365,98,15,9,96,163,35,11,21,0,3221,9,79
27,28,8.0,3508,3060,432,116,12,16,152,184,40,15,16,0,2726,16,80
28,23,8.0,3623,3211,396,94,14,20,177,184,45,31,12,1,2743,16,78
29,25,8.0,4354,3961,379,101,14,39,115,185,32,6,15,1,3570,14,91
30,22,7.0,3332,2994,324,85,1,18,107,130,23,10,8,0,2518,14,56
31,26,8.0,3674,3261,395,108,6,12,86,153,36,13,11,0,2916,18,64
32,23,8.0,4337,3964,362,107,11,26,142,149,42,10,22,0,3562,11,81
33,24,8.0,2771,2403,361,104,3,13,91,139,14,4,8,0,2046,7,54
34,23,9.0,3152,2706,434,133,4,46,181,168,28,15,8,1,2146,12,62
35,22,9.0,4680,4247,413,134,12,35,167,144,36,13,12,0,3945,20,66
36,26,9.0,3477,2959,495,162,9,19,162,187,40,15,12,0,2588,23,86
37,20,7.0,2972,2578,386,77,4,21,146,173,46,24,19,0,2160,8,96
38,24,8.0,3182,2790,376,107,9,37,120,159,21,6,12,0,2298,16,58
39,23,7.0,3284,2917,353,88,9,17,120,150,31,9,13,0,2489,14,77
40,23,8.0,4537,4160,365,93,16,55,185,162,45,15,22,0,3804,12,73
41,22,8.0,4002,3632,355,100,12,35,129,122,40,10,19,0,3305,15,56
42,21,7.0,3196,2820,361,86,4,15,171,163,43,21,15,0,2392,15,104
43,23,9.0,5245,4765,462,176,15,20,115,178,34,14,7,0,4424,18,72
44,20,8.0,4548,4172,364,104,11,16,125,138,38,12,20,0,3804,12,87
45,22,8.0,3456,3112,328,93,6,8,102,136,25,14,9,0,2716,16,66
46,23,8.0,3385,2962,413,116,4,18,130,175,28,8,3,0,2681,10,64
47,25,8.0,4255,3838,392,109,13,20,180,162,55,18,28,0,3431,25,99
48,21,7.0,4905,4619,273,62,17,24,85,121,39,12,13,1,4304,13,85
49,22,8.0,4937,4522,409,155,11,32,141,155,40,10,19,0,4212,6,71
50,21,8.0,4604,4229,360,94,24,31,114,139,47,20,25,0,3883,15,80
51,27,8.0,3912,3562,340,94,7,26,108,112,31,11,9,0,3271,10,63
52,20,8.0,2858,2441,402,96,0,31,196,157,50,24,24,2,1939,15,89
53,27,8.0,3952,3581,360,100,10,32,113,142,36,7,22,0,3213,11,65
54,23,7.0,3369,3031,329,87,13,18,149,111,50,22,23,0,2616,9,74
55,22,7.0,3321,2973,335,89,3,11,118,159,29,14,11,1,2434,13,84
56,21,9.0,3252,2813,406,103,14,28,130,159,34,11,18,1,2354,33,62
57,24,8.0,5553,5215,333,99,30,22,133,130,51,13,21,0,4901,5,74
58,25,8.0,4526,4137,367,81,16,36,157,155,58,18,25,2,3738,22,77
59,22,8.0,4126,3729,381,106,13,17,159,154,48,7,31,0,3356,16,76
60,28,8.0,2869,2481,376,97,2,32,110,151,23,12,11,0,2185,12,62
61,23,8.0,4447,4121,313,99,13,14,105,110,29,13,10,0,3812,13,54
62,19,8.0,4427,4044,363,116,19,22,101,142,39,7,22,0,3590,20,77
63,22,7.9,3148,2761,366,109,10,23,121,150,26,7,15,0,2428,21,63
64,24,8.0,4500,4119,368,99,7,35,134,147,43,9,24,0,3826,13,81
65,26,8.0,3464,3073,373,96,5,20,125,128,37,18,11,0,2737,18,55
66,21,8.0,4774,4401,354,100,10,29,149,153,52,16,23,2,4092,19,83
67,20,8.0,4496,4135,352,117,17,35,113,133,34,13,11,0,3747,9,62
68,21,8.0,4450,4125,307,92,14,12,113,122,39,17,14,0,3783,18,67
69,25,8.0,3203,2855,330,85,8,16,108,135,31,12,16,0,2422,18,52
70,22,9.0,4005,3505,481,120,4,34,193,213,41,22,14,0,2942,19,86
71,21,8.0,6325,5998,318,92,20,24,122,118,49,11,16,0,5671,9,87
72,22,9.0,3818,3298,495,148,5,49,145,203,36,16,11,0,2835,25,81
73,21,7.0,4105,3768,325,90,18,15,123,135,37,16,12,0,3417,12,75
74,21,9.0,5836,5383,430,119,27,45,171,153,57,16,26,0,5118,23,61
75,24,9.0,4673,4228,422,125,15,34,129,186,38,16,15,0,3748,23,72
76,21,8.0,3703,3304,374,85,12,30,149,169,38,18,16,0,2852,25,81
77,24,8.0,4618,4229,379,112,5,18,109,174,32,10,17,0,3905,10,70
78,23,8.0,4328,3934,382,83,5,31,143,178,44,22,19,0,3553,12,70
79,23,8.0,3491,3070,407,123,7,26,108,162,34,5,9,0,2665,14,84
80,26,8.0,3400,2979,413,104,12,32,121,146,49,26,8,0,2704,8,62
81,27,8.0,3743,3260,460,116,5,49,262,209,53,19,20,0,2783,23,80
82,25,8.0,3076,2694,366,82,6,15,93,148,29,9,16,2,2230,16,89
83,20,8.0,3476,3079,391,135,9,16,114,148,17,6,10,0,2783,6,49
84,22,7.0,4159,3835,312,97,10,23,108,129,31,15,6,0,3500,12,75
